S5,Unnamed: 1,Unnamed: 2
Default Batch 1,"Date : 27/04/2021, 12:58:03",
Wavelength (nm),ABS,%T
190,1.486,3.3
191,1.561,2.8
192,1.598,2.5
193,1.62,2.4
194,1.638,2.3
195,1.644,2.3
196,1.65,2.2
197,1.653,2.2
198,1.661,2.2
199,1.665,2.2
200,1.662,2.2
201,1.658,2.2
202,1.646,2.3
203,1.636,2.3
204,1.621,2.4
205,1.605,2.5
206,1.58,2.6
207,1.547,2.8
208,1.509,3.1
209,1.465,3.4
210,1.416,3.8
211,1.366,4.3
212,1.312,4.9
213,1.259,5.5
214,1.208,6.2
215,1.195,6.4
216,1.16,6.9
217,1.111,7.7
218,1.062,8.7
219,1.016,9.6
220,0.973,10.6
221,0.932,11.7
222,0.896,12.7
223,0.851,14.1
224,0.819,15.2
225,0.797,16
226,0.781,16.6
227,0.766,17.1
228,0.755,17.6
229,0.755,17.6
230,0.758,17.5
231,0.765,17.2
232,0.772,16.9
233,0.778,16.7
234,0.785,16.4
235,0.794,16.1
236,0.807,15.6
237,0.819,15.2
238,0.83,14.8
239,0.839,14.5
240,0.846,14.2
241,0.849,14.2
242,0.849,14.2
243,0.851,14.1
244,0.853,14
245,0.85,14.1
246,0.835,14.6
247,0.816,15.3
248,0.801,15.8
249,0.79,16.2
250,0.775,16.8
251,0.749,17.8
252,0.722,19
253,0.695,20.2
254,0.672,21.3
255,0.649,22.4
256,0.625,23.7
257,0.601,25.1
258,0.575,26.6
259,0.555,27.9
260,0.54,28.9
261,0.533,29.3
262,0.524,29.9
263,0.516,30.5
264,0.506,31.2
265,0.497,31.8
266,0.489,32.5
267,0.481,33
268,0.476,33.4
269,0.472,33.7
270,0.467,34.1
271,0.461,34.6
272,0.458,34.9
273,0.458,34.8
274,0.458,34.8
275,0.458,34.8
276,0.456,35
277,0.454,35.1
278,0.451,35.4
279,0.451,35.4
280,0.45,35.4
281,0.448,35.7
282,0.445,35.9
283,0.445,35.9
284,0.445,35.9
285,0.442,36.1
286,0.439,36.4
287,0.438,36.5
288,0.438,36.5
289,0.436,36.6
290,0.435,36.7
291,0.432,37
292,0.431,37
293,0.431,37.1
294,0.427,37.4
295,0.425,37.6
296,0.422,37.9
297,0.421,37.9
298,0.421,37.9
299,0.421,37.9
300,0.421,37.9
301,0.419,38.1
302,0.418,38.2
303,0.415,38.5
304,0.414,38.5
305,0.413,38.6
306,0.41,38.9
307,0.405,39.3
308,0.402,39.7
309,0.4,39.8
310,0.4,39.8
311,0.398,39.9
312,0.397,40.1
313,0.394,40.4
314,0.391,40.6
315,0.39,40.7
316,0.39,40.7
317,0.39,40.7
318,0.386,41.1
319,0.385,41.3
320,0.383,41.4
321,0.38,41.7
322,0.375,42.1
323,0.373,42.4
324,0.372,42.4
325,0.372,42.4
326,0.372,42.5
327,0.371,42.6
328,0.369,42.7
329,0.366,43
330,0.364,43.3
331,0.36,43.7
332,0.357,43.9
333,0.357,44
334,0.357,44
335,0.356,44
336,0.354,44.2
337,0.351,44.6
338,0.35,44.7
339,0.348,44.9
340,0.346,45.1
341,0.343,45.4
342,0.34,45.7
343,0.337,46
344,0.337,46
345,0.337,46
346,0.338,46
347,0.337,46
348,0.337,46.1
349,0.333,46.4
350,0.331,46.7
351,0.329,46.9
352,0.326,47.2
353,0.325,47.3
354,0.324,47.4
355,0.323,47.6
356,0.321,47.7
357,0.321,47.8
358,0.321,47.8
359,0.32,47.9
360,0.319,48
361,0.318,48.1
362,0.32,47.9
363,0.32,47.9
364,0.32,47.9
365,0.319,48
366,0.317,48.2
367,0.317,48.2
368,0.316,48.3
369,0.315,48.4
370,0.315,48.4
371,0.315,48.4
372,0.315,48.4
373,0.314,48.5
374,0.314,48.6
375,0.313,48.7
376,0.313,48.7
377,0.313,48.7
378,0.316,48.4
379,0.318,48.1
380,0.318,48
381,0.318,48
382,0.318,48.1
383,0.318,48.1
384,0.318,48.1
385,0.318,48.1
386,0.318,48
387,0.318,48.1
388,0.317,48.2
389,0.317,48.2
390,0.305,49.5
391,0.301,50
392,0.299,50.3
393,0.298,50.4
394,0.296,50.6
395,0.296,50.6
396,0.296,50.6
397,0.295,50.7
398,0.295,50.8
399,0.294,50.8
400,0.294,50.8
401,0.294,50.8
402,0.292,51
403,0.292,51
404,0.292,51.1
405,0.291,51.2
406,0.291,51.2
407,0.29,51.2
