wavelength,S8 Irrad 1,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Postheat,S8 Preheat,blank
190,2.1132,2.3180000000000005,2.3602499999999997,2.37425,2.416,2.4385,2.3765,2.175,2.1655,2.1689999999999996,2.222,2.291,2.2736,2.3365,2.33575,1.6845,1.7135,0.047
191,2.173,2.4050000000000002,2.45075,2.47525,2.483,2.5192499999999995,2.453,2.25825,2.24775,2.23175,2.315,2.36475,2.3842,2.37075,2.4175,1.72125,1.7515,0.046
192,2.2274000000000003,2.4930000000000003,2.49525,2.52925,2.5225,2.5652500000000003,2.55875,2.312,2.3432500000000003,2.3115,2.37125,2.42225,2.4351999999999996,2.4215,2.46125,1.7389999999999999,1.77375,0.037
193,2.2802,2.5349999999999997,2.5515,2.584,2.60525,2.6285,2.61875,2.35825,2.4044999999999996,2.36875,2.42525,2.4947500000000002,2.4966,2.4979999999999998,2.5244999999999997,1.7615,1.79075,0.034
194,2.3108,2.5827500000000003,2.59575,2.64375,2.65375,2.67775,2.6635,2.40175,2.432,2.42075,2.46525,2.5355,2.535,2.5665,2.592,1.77325,1.8032499999999998,0.03
195,2.3415999999999997,2.6025,2.646,2.65375,2.7342500000000003,2.7115,2.673,2.4379999999999997,2.4715,2.47575,2.4865,2.583,2.5758,2.58675,2.6197500000000002,1.7765,1.808,0.024
196,2.3738,2.629,2.6972500000000004,2.7102500000000003,2.77175,2.755,2.7452500000000004,2.4852499999999997,2.49,2.52125,2.5187500000000003,2.62325,2.62,2.6307500000000004,2.6745,1.7825,1.81525,0.021
197,2.4013999999999998,2.66275,2.74025,2.74125,2.782,2.8045,2.7755,2.534,2.544,2.5462499999999997,2.57125,2.6475,2.6468,2.68675,2.69925,1.7879999999999998,1.82025,0.021
198,2.4312,2.6912499999999997,2.7527500000000003,2.7615,2.81025,2.8209999999999997,2.7895,2.563,2.57025,2.57625,2.6035000000000004,2.6645,2.6838,2.72375,2.74275,1.7894999999999999,1.8247499999999999,0.021
199,2.4586,2.7182500000000003,2.763,2.7835,2.85525,2.8545,2.79725,2.6062499999999997,2.5869999999999997,2.612,2.62075,2.69375,2.7138,2.73425,2.766,1.79075,1.8255000000000001,0.02
200,2.4636,2.72625,2.7785,2.794,2.85925,2.86375,2.7994999999999997,2.617,2.6117500000000002,2.612,2.64225,2.6975000000000002,2.7216,2.751,2.78025,1.789,1.8207499999999999,0.019
201,2.4706,2.74925,2.78725,2.7985,2.8607500000000003,2.9055,2.80225,2.62275,2.6145000000000005,2.6294999999999997,2.65425,2.71725,2.7507999999999995,2.74775,2.7807500000000003,1.7825,1.8085,0.016
202,2.4915999999999996,2.779,2.79275,2.8165,2.8655,2.91575,2.8314999999999997,2.6494999999999997,2.6287499999999997,2.6397500000000003,2.687,2.7350000000000003,2.7592,2.77325,2.8070000000000004,1.779,1.8002500000000001,0.013
203,2.5286,2.8062500000000004,2.80575,2.8415,2.8945,2.94175,2.8535000000000004,2.6845,2.6627500000000004,2.6640000000000006,2.72425,2.76,2.7600000000000002,2.78675,2.8305,1.76925,1.78925,0.013
204,2.5408,2.8529999999999998,2.84225,2.8575,2.92,2.96625,2.87775,2.704,2.674,2.68975,2.7482500000000005,2.7895000000000003,2.7893999999999997,2.802,2.846,1.7530000000000001,1.77,0.012
205,2.5691999999999995,2.863,2.87975,2.87425,2.955,2.9699999999999998,2.89425,2.72575,2.7,2.7245,2.7672499999999998,2.81575,2.8002,2.82825,2.875,1.73225,1.7455,0.012
206,2.5791999999999997,2.8747499999999997,2.9007500000000004,2.9065,2.94975,2.982,2.923,2.75725,2.72675,2.755,2.7817499999999997,2.8365,2.8398,2.8365,2.90525,1.7025,1.71525,0.012
207,2.5873999999999997,2.8847500000000004,2.90225,2.91075,2.96825,2.983,2.9405,2.7625,2.74225,2.7670000000000003,2.79375,2.8485,2.8436,2.8572499999999996,2.9137500000000003,1.66825,1.6780000000000002,0.011
208,2.594,2.89975,2.92525,2.92875,2.9715000000000003,2.9855,2.936,2.7735000000000003,2.75725,2.77475,2.7985,2.853,2.8556,2.86925,2.92425,1.6275,1.6355,0.011
209,2.5951999999999997,2.9014999999999995,2.9307499999999997,2.9322500000000002,2.97275,2.9875,2.9385000000000003,2.7787500000000005,2.7595,2.7904999999999998,2.80075,2.857,2.8652,2.88225,2.92875,1.581,1.5865,0.012
210,2.5984000000000003,2.91025,2.9337500000000003,2.9405,2.9837499999999997,2.9965,2.9490000000000003,2.78925,2.76325,2.78875,2.81575,2.865,2.872,2.89425,2.9452499999999997,1.53275,1.5355,0.012
211,2.5976,2.91125,2.9375,2.9477499999999996,2.9907500000000002,3.0,2.9577500000000003,2.7962499999999997,2.76625,2.7975000000000003,2.8360000000000003,2.8725000000000005,2.8772,2.89575,2.9475,1.48275,1.483,0.012
212,2.5967999999999996,2.92375,2.9444999999999997,2.96225,2.9895000000000005,3.0,2.9667499999999998,2.7984999999999998,2.78475,2.7997499999999995,2.84225,2.889,2.8903999999999996,2.9034999999999997,2.95,1.43,1.4332500000000001,0.012
