wavelength,S8 Irrad 1,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Postheat,S8 Preheat,bla
190,0.7799999999999999,0.475,0.42500000000000004,0.4,0.375,0.375,0.42500000000000004,0.6499999999999999,0.7,0.675,0.6,0.5,0.54,0.475,0.475,2.075,1.9249999999999998,89.8
191,0.6599999999999999,0.4,0.35,0.3,0.375,0.3,0.375,0.55,0.575,0.6,0.5,0.42500000000000004,0.42000000000000004,0.4,0.4,1.9249999999999998,1.8,90.0
192,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.45,0.5,0.42500000000000004,0.4,0.36,0.4,0.325,1.825,1.7,91.9
193,0.5,0.3,0.3,0.275,0.22499999999999998,0.22499999999999998,0.25,0.42500000000000004,0.4,0.42500000000000004,0.35000000000000003,0.3,0.3,0.32499999999999996,0.3,1.725,1.625,92.5
194,0.5,0.275,0.275,0.22499999999999998,0.2,0.2,0.2,0.4,0.375,0.375,0.35000000000000003,0.3,0.3,0.3,0.25,1.7000000000000002,1.5750000000000002,93.4
195,0.45999999999999996,0.25,0.22499999999999998,0.2,0.2,0.2,0.2,0.35,0.35,0.35,0.325,0.3,0.28,0.3,0.25,1.6749999999999998,1.55,94.7
196,0.4,0.22500000000000003,0.2,0.2,0.2,0.2,0.2,0.325,0.35,0.32499999999999996,0.3,0.22499999999999998,0.24,0.22499999999999998,0.2,1.625,1.55,95.2
197,0.4,0.2,0.2,0.2,0.2,0.175,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,1.6,1.5,95.2
198,0.38,0.2,0.2,0.2,0.175,0.15000000000000002,0.2,0.3,0.3,0.275,0.25,0.2,0.2,0.2,0.2,1.6,1.5,95.4
199,0.34,0.2,0.2,0.175,0.1,0.125,0.2,0.22500000000000003,0.275,0.22500000000000003,0.2,0.2,0.2,0.2,0.2,1.6,1.5,95.5
200,0.34,0.2,0.175,0.175,0.1,0.1,0.175,0.22500000000000003,0.22500000000000003,0.22500000000000003,0.2,0.2,0.2,0.2,0.2,1.625,1.5,95.8
201,0.32,0.2,0.175,0.175,0.1,0.1,0.175,0.22500000000000003,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.65,1.5750000000000002,96.3
202,0.3,0.2,0.175,0.15,0.1,0.1,0.15000000000000002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,1.6749999999999998,1.5750000000000002,97.0
203,0.3,0.2,0.175,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,1.7,1.6,97.0
204,0.3,0.125,0.15,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.125,1.8,1.7,97.2
205,0.28,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.175,0.18,0.15000000000000002,0.1,1.825,1.8,97.2
206,0.28,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.125,0.12,0.125,0.1,2.0,1.9249999999999998,97.4
207,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.17500000000000002,0.125,0.12,0.1,0.1,2.125,2.1,97.4
208,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.17500000000000002,0.1,0.1,0.1,0.1,2.3499999999999996,2.3,97.4
209,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.17500000000000002,0.1,0.1,0.1,0.1,2.625,2.6,97.3
210,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.15,0.1,0.1,0.1,0.1,2.9250000000000003,2.9250000000000003,97.3
211,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.125,0.1,0.1,0.1,0.1,3.3,3.2749999999999995,97.3
212,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.125,0.1,0.1,0.1,0.1,3.7249999999999996,3.6750000000000003,97.3
213,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.175,0.175,0.2,0.1,0.1,0.1,0.1,0.1,4.15,4.15,97.3
214,0.28,0.1,0.1,0.1,0.1,0.1,0.1,0.175,0.175,0.15000000000000002,0.1,0.1,0.1,0.1,0.1,4.65,4.65,97.4
215,0.2,0.1,0.1,0.1,0.07500000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8,4.8,97.5
216,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,5.125,97.6
217,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.725,5.725,98.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.325,6.3500000000000005,98.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.975,7.0,98.0
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.675000000000001,7.65,98.0
221,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.325000000000001,8.350000000000001,98.3
222,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95,8.95,98.5
223,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.850000000000001,98.5
224,0.6599999999999999,0.07500000000000001,0.1,0.1,0.07500000000000001,0.025,0.1,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0.07500000000000001,10.424999999999999,10.45,98.5
225,0.86,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.22500000000000003,0.125,0.1,0.1,0.1,0.1,0.1,0.1,10.875,10.924999999999999,98.6
226,1.06,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,11.25,11.3,98.6
227,1.2599999999999998,0.1,0.1,0.1,0.1,0.07500000000000001,0.1,0.375,0.2,0.1,0.1,0.1,0.1,0.1,0.1,11.525,11.55,98.7
228,1.44,0.1,0.1,0.1,0.1,0.1,0.1,0.45,0.25,0.15000000000000002,0.1,0.1,0.1,0.1,0.1,11.6,11.625,98.9
229,1.58,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,11.55,11.55,98.9
230,1.7,0.1,0.1,0.1,0.1,0.1,0.1,0.5750000000000001,0.3,0.2,0.1,0.1,0.1,0.1,0.1,11.350000000000001,11.4,99.5
231,1.8800000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.6499999999999999,0.375,0.2,0.1,0.1,0.1,0.1,0.1,11.125,11.225000000000001,99.5
232,2.06,0.1,0.1,0.1,0.1,0.1,0.1,0.7749999999999999,0.45,0.3,0.2,0.1,0.1,0.1,0.1,10.924999999999999,11.0,99.5
233,2.2,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.55,0.32499999999999996,0.2,0.1,0.1,0.1,0.1,10.700000000000001,10.775000000000002,99.4
234,2.38,0.1,0.1,0.1,0.1,0.1,0.1,1.025,0.6499999999999999,0.4,0.22500000000000003,0.1,0.1,0.1,0.1,10.45,10.5,99.3
235,2.5799999999999996,0.1,0.1,0.1,0.1,0.1,0.1,1.2,0.75,0.5,0.3,0.1,0.1,0.1,0.1,10.175,10.2,99.1
236,2.7,0.1,0.1,0.1,0.1,0.1,0.1,1.325,0.875,0.6,0.35,0.1,0.1,0.1,0.1,9.924999999999999,9.95,99.0
237,2.8600000000000003,0.1,0.1,0.1,0.1,0.1,0.1,1.425,0.975,0.6749999999999999,0.4,0.1,0.1,0.1,0.1,9.65,9.7,98.9
238,2.9799999999999995,0.1,0.1,0.1,0.1,0.1,0.1,1.6,1.1500000000000001,0.8,0.5,0.1,0.1,0.1,0.1,9.375,9.45,98.8
239,3.1399999999999997,0.1,0.1,0.1,0.1,0.1,0.1,1.75,1.275,0.9,0.6,0.1,0.1,0.1,0.1,9.2,9.275,98.8
240,3.2800000000000002,0.1,0.1,0.1,0.1,0.1,0.1,1.925,1.45,1.05,0.7,0.125,0.1,0.1,0.1,9.075,9.15,98.8
241,3.46,0.1,0.1,0.1,0.1,0.1,0.1,2.125,1.625,1.2249999999999999,0.8250000000000001,0.2,0.1,0.1,0.1,9.075,9.1,98.9
242,3.6,0.1,0.1,0.1,0.1,0.1,0.1,2.325,1.7999999999999998,1.375,0.95,0.2,0.1,0.1,0.1,9.075,9.075,99.1
243,3.7399999999999998,0.1,0.1,0.1,0.1,0.1,0.1,2.4499999999999997,1.95,1.525,1.05,0.2,0.1,0.1,0.1,9.0,9.075,99.1
244,3.88,0.1,0.1,0.1,0.1,0.1,0.1,2.5999999999999996,2.0999999999999996,1.6500000000000001,1.1500000000000001,0.3,0.1,0.1,0.1,8.975,9.025,99.1
245,4.08,0.1,0.1,0.1,0.1,0.1,0.1,2.8000000000000003,2.3,1.85,1.2999999999999998,0.3,0.2,0.1,0.1,9.075,9.149999999999999,99.1
246,4.38,0.1,0.1,0.1,0.1,0.1,0.1,3.075,2.525,2.0749999999999997,1.5,0.4,0.2,0.1,0.1,9.475,9.525,99.1
247,4.66,0.1,0.1,0.1,0.1,0.1,0.1,3.35,2.825,2.3,1.7,0.5,0.26,0.2,0.1,9.924999999999999,9.924999999999999,99.3
248,4.88,0.1,0.1,0.1,0.1,0.1,0.1,3.55,3.025,2.5,1.85,0.5750000000000001,0.3,0.2,0.1,10.225,10.2,99.2
249,5.1,0.1,0.1,0.1,0.1,0.1,0.1,3.7250000000000005,3.2250000000000005,2.675,2.0,0.625,0.3,0.2,0.1,10.475,10.525,99.2
250,5.34,0.2,0.1,0.1,0.1,0.1,0.1,3.925,3.425,2.85,2.1750000000000003,0.7,0.4,0.2,0.2,10.825,10.875,99.5
251,5.680000000000001,0.2,0.1,0.1,0.1,0.1,0.1,4.175,3.7,3.0999999999999996,2.375,0.8250000000000001,0.48,0.3,0.2,11.424999999999999,11.5,99.5
252,6.02,0.2,0.15000000000000002,0.1,0.1,0.1,0.1,4.525,4.0,3.375,2.625,0.975,0.56,0.35,0.275,12.125,12.200000000000001,99.3
253,6.4,0.3,0.2,0.175,0.1,0.1,0.1,4.825,4.275,3.6500000000000004,2.85,1.125,0.6799999999999999,0.4,0.3,12.875,12.875,99.4
254,6.779999999999999,0.3,0.2,0.2,0.15000000000000002,0.1,0.1,5.05,4.55,3.9,3.05,1.275,0.7799999999999999,0.5,0.4,13.525,13.525,99.3
255,7.1,0.4,0.25,0.2,0.2,0.2,0.2,5.35,4.825,4.1499999999999995,3.2750000000000004,1.4249999999999998,0.8800000000000001,0.6,0.4,14.15,14.175,99.2
256,7.460000000000001,0.5,0.3,0.275,0.2,0.2,0.2,5.65,5.125,4.4,3.5,1.6,1.02,0.7,0.5,14.825,14.850000000000001,99.1
257,7.8,0.5750000000000001,0.4,0.3,0.3,0.2,0.22500000000000003,6.0,5.4,4.7,3.75,1.775,1.1600000000000001,0.8,0.6,15.675,15.65,99.1
258,8.2,0.7,0.45,0.4,0.3,0.3,0.3,6.324999999999999,5.7250000000000005,5.0,4.0,2.0,1.36,0.9,0.7,16.5,16.425,99.1
259,8.639999999999999,0.8,0.55,0.475,0.4,0.375,0.4,6.65,6.05,5.300000000000001,4.25,2.2,1.5399999999999998,1.0750000000000002,0.875,17.349999999999998,17.25,99.1
260,9.020000000000001,0.9,0.6499999999999999,0.55,0.5,0.4,0.45,6.949999999999999,6.324999999999999,5.6,4.525,2.425,1.6800000000000002,1.2,1.0,18.125,18.05,99.4
261,9.2,1.025,0.75,0.6,0.55,0.5,0.5,7.15,6.525,5.775,4.625,2.5999999999999996,1.8400000000000003,1.3250000000000002,1.1,18.625,18.5,99.4
262,9.4,1.125,0.8250000000000001,0.7,0.6,0.5750000000000001,0.6,7.225,6.675,5.9,4.775,2.7250000000000005,1.9600000000000002,1.45,1.2,18.775000000000002,18.700000000000003,99.4
263,9.6,1.2249999999999999,0.925,0.8,0.7,0.6499999999999999,0.7,7.35,6.85,5.975,4.875,2.85,2.1,1.5499999999999998,1.3,18.925,18.975,99.3
264,9.8,1.35,1.05,0.9,0.8,0.75,0.8,7.55,7.025,6.1499999999999995,5.025,2.975,2.22,1.675,1.4,19.35,19.349999999999998,99.3
265,9.98,1.5,1.175,1.0,0.9,0.875,0.9,7.7250000000000005,7.15,6.300000000000001,5.125,3.1500000000000004,2.3600000000000003,1.8,1.5499999999999998,19.825000000000003,19.775000000000002,99.3
266,10.180000000000001,1.6500000000000001,1.3250000000000002,1.125,1.05,1.0,1.0750000000000002,7.85,7.324999999999999,6.45,5.300000000000001,3.3000000000000003,2.54,1.975,1.7,20.3,20.125,98.9
267,10.34,1.8,1.475,1.275,1.2,1.125,1.2,8.05,7.449999999999999,6.6,5.425,3.45,2.66,2.0749999999999997,1.8250000000000002,20.825000000000003,20.549999999999997,98.8
268,10.42,1.9,1.5750000000000002,1.4,1.3,1.25,1.35,8.125,7.55,6.7250000000000005,5.525,3.5749999999999997,2.8000000000000003,2.2,1.95,21.075,20.85,98.6
269,10.52,2.025,1.7249999999999999,1.5,1.4249999999999998,1.375,1.475,8.15,7.625,6.775,5.6,3.675,2.9,2.3,2.025,21.325000000000003,21.049999999999997,98.6
270,10.62,2.125,1.8250000000000002,1.6,1.525,1.475,1.6,8.25,7.7250000000000005,6.85,5.625,3.75,3.0,2.375,2.125,21.5,21.25,98.6
271,10.72,2.225,1.95,1.7,1.6500000000000001,1.5750000000000002,1.7249999999999999,8.35,7.824999999999999,6.95,5.7250000000000005,3.85,3.0799999999999996,2.475,2.225,21.750000000000004,21.549999999999997,98.6
272,10.799999999999999,2.3249999999999997,2.0749999999999997,1.8250000000000002,1.75,1.7249999999999999,1.85,8.425,7.85,6.975,5.775,3.925,3.16,2.5749999999999997,2.3249999999999997,22.025,21.75,98.6
273,10.759999999999998,2.4,2.1500000000000004,1.9,1.85,1.8250000000000002,1.95,8.35,7.85,6.975,5.75,3.95,3.2400000000000007,2.6,2.375,22.075,21.775,98.6
274,10.72,2.45,2.2,1.95,1.9,1.875,2.05,8.35,7.824999999999999,6.95,5.75,3.975,3.2600000000000002,2.6500000000000004,2.425,22.075,21.65,98.5
275,10.739999999999998,2.525,2.275,2.025,1.975,1.975,2.1500000000000004,8.35,7.824999999999999,6.95,5.75,3.975,3.2800000000000002,2.7,2.45,22.075,21.725,98.6
276,10.739999999999998,2.5749999999999997,2.375,2.1,2.0749999999999997,2.05,2.25,8.35,7.85,6.95,5.75,4.025,3.34,2.7750000000000004,2.5,22.15,21.825000000000003,98.3
277,10.8,2.625,2.45,2.2,2.1500000000000004,2.1500000000000004,2.35,8.35,7.875,6.95,5.75,4.05,3.3600000000000003,2.8,2.6,22.35,21.925,98.2
278,10.78,2.7,2.5,2.275,2.225,2.225,2.425,8.35,7.875,6.95,5.75,4.074999999999999,3.4200000000000004,2.8,2.6,22.475,21.999999999999996,98.2
279,10.78,2.7250000000000005,2.5749999999999997,2.3,2.275,2.275,2.5,8.35,7.824999999999999,6.925000000000001,5.7,4.074999999999999,3.44,2.85,2.6,22.549999999999997,21.999999999999996,98.2
280,10.8,2.75,2.6,2.3249999999999997,2.35,2.35,2.5749999999999997,8.35,7.824999999999999,6.925000000000001,5.7,4.074999999999999,3.44,2.9,2.7,22.575,22.025,98.2
281,10.8,2.7750000000000004,2.675,2.4,2.4,2.425,2.625,8.35,7.824999999999999,6.9,5.7,4.074999999999999,3.46,2.9,2.7,22.775000000000002,22.1,98.2
282,10.8,2.8,2.7250000000000005,2.45,2.45,2.475,2.7250000000000005,8.35,7.85,6.9,5.7,4.074999999999999,3.46,2.9,2.7,22.925,22.325000000000003,98.2
283,10.8,2.8249999999999997,2.7250000000000005,2.475,2.45,2.525,2.75,8.325,7.800000000000001,6.875,5.675,4.074999999999999,3.46,2.9,2.7250000000000005,22.925,22.375,98.1
284,10.759999999999998,2.8249999999999997,2.7250000000000005,2.475,2.5,2.55,2.7750000000000004,8.3,7.775,6.824999999999999,5.6499999999999995,4.074999999999999,3.46,2.9,2.7250000000000005,22.925,22.35,98.1
285,10.739999999999998,2.85,2.75,2.5,2.5,2.5749999999999997,2.8249999999999997,8.3,7.75,6.75,5.624999999999999,4.074999999999999,3.46,2.9,2.7250000000000005,22.974999999999998,22.400000000000002,98.3
286,10.739999999999998,2.9,2.8,2.55,2.5749999999999997,2.5999999999999996,2.85,8.3,7.75,6.75,5.624999999999999,4.074999999999999,3.46,2.9250000000000003,2.75,23.125,22.575000000000003,98.5
287,10.72,2.9,2.8249999999999997,2.5749999999999997,2.5749999999999997,2.6500000000000004,2.925,8.275,7.7250000000000005,6.75,5.574999999999999,4.05,3.46,2.9250000000000003,2.7750000000000004,23.225,22.65,98.5
288,10.66,2.9,2.8249999999999997,2.5749999999999997,2.6,2.6500000000000004,2.925,8.2,7.7250000000000005,6.7,5.550000000000001,4.05,3.46,2.9250000000000003,2.7750000000000004,23.225,22.65,98.4
289,10.64,2.9,2.8249999999999997,2.5749999999999997,2.6,2.6500000000000004,2.95,8.2,7.675,6.675,5.5,4.05,3.46,2.95,2.8,23.225,22.725,98.2
290,10.64,2.9,2.875,2.6,2.6500000000000004,2.7,2.975,8.2,7.675,6.675,5.475,4.05,3.46,2.95,2.8,23.45,22.875,98.3
291,10.66,2.95,2.9,2.625,2.675,2.7250000000000005,3.0,8.2,7.6499999999999995,6.675,5.475,4.05,3.46,2.975,2.8,23.575000000000003,23.049999999999997,97.8
292,10.62,2.95,2.9,2.625,2.675,2.7250000000000005,3.025,8.125,7.6,6.624999999999999,5.45,4.05,3.46,2.95,2.8,23.575000000000003,23.075000000000003,97.7
293,10.6,2.95,2.9,2.6500000000000004,2.675,2.75,3.05,8.125,7.6,6.624999999999999,5.425000000000001,4.05,3.46,2.975,2.8,23.6,23.1,97.6
294,10.6,2.975,2.925,2.675,2.7,2.7750000000000004,3.05,8.15,7.6,6.624999999999999,5.425000000000001,4.05,3.46,2.975,2.8,23.8,23.15,97.7
295,10.62,3.0,2.975,2.7,2.7250000000000005,2.7750000000000004,3.125,8.15,7.6,6.624999999999999,5.425000000000001,4.05,3.5,3.0,2.8,23.925,23.375,97.6
296,10.62,3.0,2.975,2.7,2.7250000000000005,2.8,3.125,8.15,7.6,6.624999999999999,5.45,4.05,3.5,3.0,2.8,24.025,23.375,97.6
297,10.66,3.025,2.975,2.7,2.7750000000000004,2.8249999999999997,3.125,8.125,7.6,6.6,5.425000000000001,4.05,3.56,3.0,2.8249999999999997,24.125,23.55,97.8
298,10.62,3.025,3.0,2.7250000000000005,2.7750000000000004,2.85,3.1500000000000004,8.125,7.575,6.6,5.4,4.05,3.56,3.0,2.8249999999999997,24.15,23.575,97.8
299,10.6,3.025,3.0,2.7250000000000005,2.8,2.875,3.175,8.125,7.525,6.6,5.375,4.05,3.56,3.0,2.875,24.125,23.55,97.7
300,10.6,3.05,3.025,2.75,2.8,2.875,3.2,8.125,7.525,6.550000000000001,5.375,4.05,3.56,3.0,2.9,24.075000000000003,23.55,97.5
301,10.6,3.1,3.1,2.8,2.8249999999999997,2.9,3.2250000000000005,8.125,7.575,6.550000000000001,5.4,4.074999999999999,3.56,3.1,2.9,24.15,23.575,97.5
302,10.62,3.125,3.1,2.8249999999999997,2.875,2.975,3.2750000000000004,8.15,7.6,6.574999999999999,5.425,4.1,3.6399999999999997,3.1,2.9,24.225,23.599999999999998,97.5
303,10.62,3.2,3.175,2.85,2.9,2.975,3.3249999999999997,8.15,7.625,6.6,5.45,4.1499999999999995,3.66,3.125,3.0,24.375000000000004,23.775,97.7
