wavelength,Tim Quartz Clear,Tim Quartz Dark
190,1.16075,1.71425
191,1.1745,1.7217500000000001
192,1.1845,1.72775
193,1.192,1.7317500000000001
194,1.199,1.73725
195,1.2,1.7375
196,1.203,1.73675
197,1.205,1.73725
198,1.2095000000000002,1.7385000000000002
199,1.21,1.73925
200,1.2087500000000002,1.7375
201,1.20525,1.7289999999999999
202,1.19875,1.72625
203,1.19075,1.726
204,1.1820000000000002,1.7240000000000002
205,1.168,1.7225000000000001
206,1.1497499999999998,1.7209999999999999
207,1.1269999999999998,1.71625
208,1.1,1.70775
209,1.0675000000000001,1.7032500000000002
210,1.03525,1.6955
211,1.00225,1.6895
212,0.96875,1.68175
213,0.9349999999999999,1.6760000000000002
214,0.9052500000000001,1.66975
215,0.889,1.70525
216,0.868,1.7352499999999997
217,0.844,1.74025
218,0.818,1.741
219,0.797,1.733
220,0.77575,1.72075
221,0.75575,1.7045
222,0.7377499999999999,1.69
223,0.7144999999999999,1.63275
224,0.6984999999999999,1.59375
225,0.6855,1.5652499999999998
226,0.67425,1.5402500000000001
227,0.665,1.51575
228,0.6597500000000001,1.5045
229,0.65725,1.49925
230,0.655,1.50025
231,0.6545000000000001,1.4995
232,0.65425,1.486
233,0.6535,1.468
234,0.6532500000000001,1.447
235,0.6532500000000001,1.4252500000000001
236,0.6532500000000001,1.4064999999999999
237,0.65375,1.3889999999999998
238,0.6545000000000001,1.371
239,0.6535000000000001,1.3487500000000001
240,0.65175,1.322
241,0.64675,1.2952499999999998
242,0.6432500000000001,1.27125
243,0.6392500000000001,1.258
244,0.63425,1.2465000000000002
245,0.6247499999999999,1.229
246,0.61225,1.1965
247,0.599,1.169
248,0.589,1.155
249,0.58,1.1435
250,0.571,1.12975
251,0.559,1.1115
252,0.5445,1.087
253,0.53,1.06725
254,0.518,1.0507499999999999
255,0.50675,1.0382500000000001
256,0.49575,1.0215
257,0.48375,1.0045
258,0.4725,0.988
259,0.4595,0.971
260,0.4515,0.9584999999999999
261,0.44575,0.9510000000000001
262,0.4415,0.949
263,0.43775,0.94675
264,0.4325,0.941
265,0.42775,0.9337500000000001
266,0.422,0.9285
267,0.418,0.9215000000000001
268,0.414,0.91625
269,0.412,0.9139999999999999
270,0.41,0.9135
271,0.40750000000000003,0.91
272,0.40575000000000006,0.9067500000000001
273,0.404,0.906
274,0.4045,0.907
275,0.405,0.90875
276,0.405,0.9092500000000001
277,0.404,0.9092500000000001
278,0.40275000000000005,0.9092500000000001
279,0.40225,0.9095
280,0.40225,0.9097500000000001
281,0.40125000000000005,0.9095000000000001
282,0.40025,0.90925
283,0.39825,0.9095000000000001
284,0.3965000000000001,0.91
285,0.39625000000000005,0.911
286,0.39525,0.9107500000000001
287,0.392,0.9107500000000001
288,0.39025,0.911
289,0.38725,0.911
