wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
190,1.9249999999999998,1.8499999999999999,1.9249999999999998,2.0666666666666664,2.025,1.9600000000000002
191,1.75,1.7,1.725,1.8999999999999997,1.9,1.8199999999999998
192,1.7000000000000002,1.625,1.7,1.7666666666666666,1.75,1.7399999999999998
193,1.625,1.6,1.625,1.6666666666666667,1.7000000000000002,1.6599999999999997
194,1.5750000000000002,1.5750000000000002,1.5499999999999998,1.6666666666666667,1.6749999999999998,1.6599999999999997
195,1.5750000000000002,1.525,1.525,1.6666666666666667,1.625,1.6599999999999997
196,1.5750000000000002,1.525,1.525,1.6333333333333335,1.6,1.6
197,1.525,1.5,1.5,1.6000000000000003,1.5750000000000002,1.6
198,1.525,1.5,1.5,1.6000000000000003,1.6,1.58
199,1.525,1.5,1.5,1.6000000000000003,1.6,1.6
200,1.55,1.5,1.5,1.6000000000000003,1.6,1.6
201,1.6,1.5750000000000002,1.5,1.6000000000000003,1.675,1.6599999999999997
202,1.625,1.6,1.525,1.6333333333333335,1.7,1.7
203,1.7,1.625,1.5750000000000002,1.7,1.75,1.7
204,1.7750000000000001,1.7,1.625,1.7333333333333334,1.8,1.8
205,1.8499999999999999,1.8,1.7,1.8,1.9249999999999998,1.9
206,2.025,1.9500000000000002,1.8499999999999999,2.0,2.1,2.1
207,2.225,2.15,2.0,2.1,2.275,2.3
208,2.45,2.4,2.2,2.333333333333333,2.525,2.54
209,2.75,2.7,2.4250000000000003,2.6,2.8499999999999996,2.8600000000000003
210,3.075,3.0,2.7249999999999996,2.9333333333333336,3.2,3.2
211,3.525,3.4,3.1,3.2999999999999994,3.625,3.6
212,3.95,3.8499999999999996,3.475,3.7000000000000006,4.05,4.08
213,4.425000000000001,4.2749999999999995,3.9,4.166666666666667,4.55,4.58
214,4.975,4.8500000000000005,4.3500000000000005,4.666666666666667,5.125,5.140000000000001
215,5.175000000000001,5.025,4.45,4.8,5.375,5.380000000000001
216,5.6,5.425,4.8,5.199999999999999,5.75,5.840000000000001
217,6.175000000000001,6.025,5.3,5.766666666666667,6.3500000000000005,6.42
218,6.875,6.625,5.875,6.333333333333333,7.025,7.12
219,7.5,7.3,6.425000000000001,7.0,7.75,7.76
220,8.225,7.975,7.075,7.666666666666667,8.475,8.48
221,8.925,8.625,7.7,8.3,9.15,9.219999999999999
222,9.575,9.25,8.275,8.966666666666667,9.825,9.879999999999999
223,10.425,10.05,9.225,9.866666666666667,10.725,10.780000000000001
224,11.049999999999999,10.625,9.825000000000001,10.466666666666667,11.350000000000001,11.42
225,11.549999999999999,11.05,10.275,10.933333333333332,11.850000000000001,11.92
226,11.95,11.425,10.65,11.333333333333334,12.225,12.280000000000001
227,12.175,11.674999999999999,10.875,11.633333333333333,12.5,12.5
228,12.275000000000002,11.700000000000001,10.975,11.733333333333334,12.55,12.5
