Heat Sweep RT,,
Heat Sweep RT 2,"Date : 20/07/2021, 10:44:07",
Wavelength (nm),ABS,%T
190,1.709,2
191,1.737,1.8
192,1.75,1.8
193,1.758,1.7
194,1.772,1.7
195,1.777,1.7
196,1.787,1.6
197,1.789,1.6
198,1.792,1.6
199,1.792,1.6
200,1.786,1.6
201,1.782,1.7
202,1.768,1.7
203,1.761,1.7
204,1.74,1.8
205,1.71,1.9
206,1.676,2.1
207,1.635,2.3
208,1.59,2.6
209,1.54,2.9
210,1.491,3.2
211,1.439,3.6
212,1.385,4.1
213,1.336,4.6
214,1.284,5.2
215,1.268,5.4
216,1.23,5.9
217,1.186,6.5
218,1.143,7.2
219,1.109,7.8
220,1.069,8.5
221,1.033,9.3
222,1.003,9.9
223,0.966,10.8
224,0.94,11.5
225,0.922,12
226,0.909,12.3
227,0.902,12.5
228,0.902,12.5
229,0.906,12.4
230,0.915,12.2
231,0.918,12.1
232,0.927,11.8
233,0.936,11.6
234,0.947,11.3
235,0.956,11.1
236,0.97,10.7
237,0.983,10.4
238,0.993,10.2
239,1.001,10
240,1.006,9.9
241,1.007,9.8
242,1.009,9.8
243,1.012,9.7
244,1.012,9.7
245,0.999,10
246,0.98,10.5
247,0.965,10.8
248,0.953,11.1
249,0.939,11.5
250,0.92,12
251,0.893,12.8
252,0.868,13.5
253,0.849,14.2
254,0.831,14.7
255,0.81,15.5
256,0.786,16.4
257,0.763,17.3
258,0.741,18.1
259,0.721,19
260,0.705,19.7
261,0.697,20.1
262,0.691,20.4
263,0.685,20.6
264,0.677,21
265,0.668,21.5
266,0.659,21.9
267,0.651,22.3
268,0.646,22.6
269,0.642,22.8
270,0.638,23
271,0.632,23.3
272,0.629,23.5
273,0.631,23.4
274,0.631,23.4
275,0.631,23.4
276,0.628,23.6
277,0.626,23.7
278,0.625,23.7
279,0.625,23.7
280,0.625,23.7
281,0.621,24
282,0.619,24.1
283,0.618,24.1
284,0.618,24.1
285,0.618,24.1
286,0.616,24.2
287,0.616,24.2
288,0.615,24.2
289,0.614,24.3
290,0.611,24.5
291,0.609,24.6
292,0.609,24.6
293,0.609,24.6
294,0.608,24.6
295,0.606,24.8
296,0.603,24.9
297,0.603,24.9
298,0.603,25
299,0.604,24.9
300,0.603,24.9
301,0.603,25
302,0.602,25
303,0.601,25
304,0.6,25.1
305,0.594,25.5
306,0.592,25.6
307,0.587,25.9
308,0.585,26
309,0.584,26.1
310,0.584,26.1
311,0.583,26.1
312,0.582,26.2
313,0.579,26.4
314,0.576,26.6
315,0.579,26.4
316,0.579,26.4
317,0.576,26.5
318,0.573,26.8
319,0.572,26.8
320,0.572,26.8
321,0.567,27.1
322,0.56,27.5
323,0.559,27.6
324,0.561,27.5
325,0.562,27.4
326,0.562,27.4
327,0.562,27.4
328,0.559,27.6
329,0.555,27.8
330,0.551,28.1
331,0.548,28.3
332,0.548,28.3
333,0.548,28.3
334,0.548,28.3
335,0.547,28.3
336,0.544,28.6
337,0.542,28.7
338,0.541,28.7
339,0.539,28.9
340,0.536,29.1
341,0.532,29.4
342,0.529,29.6
343,0.529,29.6
344,0.532,29.4
345,0.534,29.2
346,0.534,29.2
347,0.53,29.5
348,0.526,29.8
349,0.525,29.9
350,0.522,30.1
351,0.521,30.1
352,0.521,30.2
353,0.518,30.3
354,0.517,30.4
355,0.515,30.6
356,0.519,30.3
357,0.518,30.3
358,0.515,30.6
359,0.513,30.7
360,0.514,30.6
361,0.518,30.3
362,0.519,30.3
363,0.519,30.3
364,0.518,30.4
365,0.517,30.4
366,0.517,30.4
367,0.513,30.7
368,0.512,30.8
369,0.51,30.9
370,0.509,30.9
371,0.509,31
372,0.507,31.1
373,0.506,31.2
374,0.504,31.3
375,0.504,31.3
376,0.508,31.1
377,0.51,30.9
378,0.513,30.7
379,0.513,30.7
380,0.51,30.9
381,0.509,30.9
382,0.509,31
383,0.509,31
384,0.509,31
385,0.51,30.9
386,0.51,30.9
387,0.511,30.8
388,0.511,30.8
389,0.509,30.9
390,0.498,31.8
391,0.496,31.9
392,0.496,31.9
393,0.495,32
394,0.495,32
395,0.494,32.1
396,0.493,32.2
397,0.492,32.2
398,0.491,32.3
399,0.49,32.3
400,0.489,32.4
401,0.487,32.6
402,0.487,32.6
403,0.487,32.6
404,0.487,32.6
405,0.488,32.5
406,0.488,32.5
407,0.488,32.5
408,0.488,32.5
409,0.487,32.6
410,0.487,32.6
411,0.487,32.6
412,0.487,32.6
413,0.486,32.6
414,0.486,32.7
415,0.484,32.8
416,0.483,32.9
417,0.483,32.9
418,0.481,33
419,0.481,33
420,0.481,33
421,0.482,32.9
422,0.482,32.9
423,0.482,33
424,0.482,32.9
425,0.482,33
426,0.482,33
427,0.483,32.9
428,0.483,32.9
429,0.483,32.9
430,0.483,32.9
431,0.482,33
432,0.481,33
433,0.481,33.1
434,0.48,33.1
435,0.48,33.1
436,0.48,33.1
437,0.48,33.1
438,0.479,33.2
439,0.478,33.3
440,0.477,33.3
441,0.477,33.3
442,0.477,33.3
443,0.477,33.3
444,0.477,33.4
445,0.476,33.4
446,0.475,33.5
447,0.474,33.5
448,0.474,33.5
449,0.474,33.5
450,0.474,33.6
451,0.473,33.6
452,0.472,33.7
453,0.472,33.7
454,0.472,33.7
455,0.471,33.8
456,0.47,33.9
457,0.468,34
458,0.467,34.1
459,0.466,34.2
460,0.466,34.2
461,0.467,34.1
462,0.467,34.1
463,0.467,34.1
464,0.466,34.2
465,0.465,34.3
466,0.463,34.4
467,0.462,34.5
468,0.462,34.5
