wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
190,1.7207500000000002,1.7345000000000002,1.71125,1.6853333333333333,1.69475,1.7120000000000002
191,1.756,1.76325,1.76025,1.7273333333333334,1.72325,1.7396
192,1.77025,1.786,1.77075,1.7530000000000001,1.754,1.764
193,1.7915,1.79925,1.793,1.7696666666666665,1.7697500000000002,1.7742
194,1.80425,1.8112499999999998,1.8085,1.7766666666666666,1.7802499999999999,1.7824000000000002
195,1.80725,1.81225,1.81125,1.782,1.78725,1.7863999999999998
196,1.8085,1.8159999999999998,1.8177499999999998,1.790333333333333,1.79475,1.7939999999999998
197,1.818,1.8215,1.8219999999999998,1.798,1.7972499999999998,1.7974
198,1.81975,1.82275,1.828,1.804,1.798,1.7998
199,1.82,1.82275,1.82825,1.8063333333333336,1.7987499999999998,1.7993999999999999
200,1.80975,1.8185,1.8257500000000002,1.803,1.7927499999999998,1.7932
201,1.799,1.8092499999999998,1.8195000000000001,1.7906666666666666,1.78125,1.7845999999999997
202,1.788,1.799,1.81225,1.7826666666666666,1.7715,1.7730000000000001
203,1.77125,1.7854999999999999,1.8055,1.7753333333333332,1.7572499999999998,1.7614
204,1.7525,1.76525,1.78525,1.758,1.74,1.7426000000000001
205,1.728,1.7397500000000001,1.7625,1.7353333333333334,1.714,1.7152
206,1.6935,1.7077499999999999,1.7335,1.7060000000000002,1.6805,1.6804
207,1.65375,1.6677499999999998,1.70025,1.6703333333333334,1.64175,1.6396000000000002
208,1.6075,1.6225,1.6597499999999998,1.6306666666666667,1.59525,1.5942
209,1.5595,1.5705,1.61225,1.5816666666666668,1.54525,1.5441999999999998
210,1.5114999999999998,1.5222499999999999,1.5625,1.531,1.4945,1.4946
211,1.4555000000000002,1.4685000000000001,1.5119999999999998,1.4786666666666666,1.44325,1.4427999999999999
212,1.40225,1.418,1.46,1.4280000000000002,1.3915,1.3893999999999997
213,1.35275,1.36775,1.40975,1.3816666666666666,1.3405,1.3392000000000002
214,1.303,1.3165,1.3587500000000001,1.3313333333333333,1.291,1.2879999999999998
215,1.2845,1.3007499999999999,1.35175,1.3166666666666667,1.27025,1.2706
216,1.25225,1.26675,1.319,1.2856666666666667,1.24025,1.234
217,1.20875,1.2215,1.2767499999999998,1.2409999999999999,1.19675,1.1916
218,1.1635,1.17825,1.23225,1.1963333333333332,1.15175,1.1468
219,1.12575,1.136,1.1905000000000001,1.155,1.11075,1.1108
220,1.0855000000000001,1.09875,1.1515,1.1153333333333333,1.0707499999999999,1.0714000000000001
221,1.05025,1.0645000000000002,1.1125,1.08,1.038,1.035
222,1.01925,1.0335,1.0812500000000003,1.0473333333333332,1.0065,1.0048
223,0.9822500000000001,0.998,1.0355,1.0066666666666666,0.97,0.9676
224,0.9564999999999999,0.9734999999999999,1.008,0.98,0.945,0.9418
225,0.938,0.95575,0.9882500000000001,0.9606666666666666,0.9262500000000001,0.9238000000000002
226,0.9225000000000001,0.9417499999999999,0.9735,0.945,0.913,0.9103999999999999
227,0.9135,0.93275,0.9632499999999999,0.934,0.9032500000000001,0.9034000000000001
228,0.9117500000000001,0.9317500000000001,0.9599999999999999,0.9296666666666668,0.902,0.9034000000000001
229,0.919,0.93875,0.96175,0.9346666666666668,0.9095,0.907
230,0.9265000000000001,0.944,0.96675,0.9419999999999998,0.9135000000000001,0.9156000000000001
231,0.93325,0.9512499999999999,0.97,0.9486666666666667,0.92025,0.9202
232,0.9427499999999999,0.9595,0.979,0.9603333333333334,0.9285000000000001,0.9288000000000001
233,0.9505,0.9684999999999999,0.9877499999999999,0.9696666666666666,0.9382499999999999,0.9384
234,0.962,0.98025,0.999,0.98,0.9482499999999999,0.9490000000000001
235,0.9737499999999999,0.99225,1.012,0.9906666666666667,0.96075,0.9597999999999999
236,0.9855,1.0045,1.0225,1.0033333333333332,0.971,0.9728
237,0.996,1.0154999999999998,1.0364999999999998,1.0159999999999998,0.984,0.9848000000000001
238,1.0070000000000001,1.0262499999999999,1.0455,1.0276666666666667,0.9940000000000001,0.9948
239,1.0150000000000001,1.0337500000000002,1.0545,1.0363333333333333,1.0010000000000001,1.0026
240,1.01825,1.03775,1.0595,1.0423333333333333,1.00525,1.0074
241,1.01825,1.03925,1.0619999999999998,1.0439999999999998,1.0065,1.0086
242,1.01975,1.04025,1.0635,1.0439999999999998,1.008,1.0105999999999997
243,1.021,1.042,1.0665,1.0466666666666666,1.01,1.0146000000000002
