wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
190,1.98425,2.06725,2.08375,2.164,2.1175,2.1077500000000002,2.104,2.079,1.69575,1.67,0.048
191,2.0629999999999997,2.1565,2.1725,2.2394,2.2,2.2025,2.18175,2.183,1.727,1.707,0.043
192,2.1464999999999996,2.25225,2.2562499999999996,2.2880000000000003,2.2712499999999998,2.2575000000000003,2.255,2.243,1.7542499999999999,1.7297500000000001,0.039
193,2.19275,2.2872500000000002,2.3074999999999997,2.362,2.3407500000000003,2.3375,2.32475,2.286,1.7702499999999999,1.753,0.036
194,2.222,2.3535000000000004,2.37025,2.4370000000000003,2.397,2.4019999999999997,2.3899999999999997,2.37,1.77925,1.7602499999999999,0.032
195,2.25825,2.3817500000000003,2.424,2.4662,2.439,2.45125,2.4205,2.391,1.7882500000000001,1.7647499999999998,0.031
196,2.27875,2.4425,2.45225,2.5324,2.47875,2.48675,2.45825,2.421,1.7914999999999999,1.769,0.026
197,2.31725,2.4655,2.4892499999999997,2.5571999999999995,2.5285,2.5227500000000003,2.4985,2.446,1.79575,1.7774999999999999,0.025
198,2.337,2.487,2.51275,2.5731999999999995,2.5564999999999998,2.5397499999999997,2.5185,2.477,1.8005,1.7802499999999999,0.024
199,2.36375,2.516,2.53375,2.5916,2.56225,2.56175,2.5367499999999996,2.513,1.8017500000000002,1.78175,0.02
200,2.3725,2.519,2.5495,2.6062,2.5772500000000003,2.57125,2.5507500000000003,2.534,1.8005,1.7782499999999999,0.02
201,2.395,2.52775,2.56,2.6226,2.61075,2.5765,2.5595000000000003,2.556,1.7962500000000001,1.7682499999999999,0.019
202,2.4145,2.5467500000000003,2.57625,2.6632000000000002,2.6155,2.59525,2.5925000000000002,2.585,1.7854999999999999,1.7590000000000001,0.018
203,2.4275,2.577,2.5985,2.6784,2.63725,2.6107499999999995,2.6195,2.597,1.774,1.7497500000000001,0.015
204,2.45125,2.61225,2.62875,2.6936,2.671,2.6487499999999997,2.66,2.63,1.759,1.7312500000000002,0.015
205,2.474,2.634,2.651,2.7234000000000003,2.70725,2.6695,2.68325,2.642,1.7355,1.708,0.012
