wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
190,1.025,0.875,0.8500000000000001,0.7,0.7750000000000001,0.7749999999999999,0.7750000000000001,0.8,2.025,2.1500000000000004,89.4
191,0.875,0.7,0.675,0.58,0.6,0.6,0.65,0.7,1.8499999999999999,1.9500000000000002,90.6
192,0.7,0.575,0.525,0.5,0.5,0.575,0.55,0.6,1.75,1.8499999999999999,91.5
193,0.625,0.5,0.5,0.42000000000000004,0.44999999999999996,0.475,0.5,0.5,1.725,1.7750000000000001,92.0
194,0.6,0.45,0.42500000000000004,0.38000000000000006,0.4,0.4,0.4,0.4,1.6749999999999998,1.75,92.9
195,0.5750000000000001,0.4,0.375,0.36000000000000004,0.375,0.35000000000000003,0.4,0.4,1.625,1.725,93.2
196,0.5,0.37500000000000006,0.35,0.3,0.3,0.3,0.325,0.4,1.625,1.725,94.1
197,0.5,0.325,0.3,0.3,0.3,0.3,0.3,0.4,1.6,1.6749999999999998,94.4
198,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.6,1.65,94.6
199,0.4,0.3,0.3,0.27999999999999997,0.3,0.3,0.3,0.3,1.6,1.65,95.5
200,0.4,0.3,0.3,0.24,0.3,0.3,0.3,0.3,1.6,1.65,95.5
201,0.4,0.3,0.3,0.21999999999999997,0.25,0.3,0.3,0.3,1.6,1.7,95.8
202,0.4,0.3,0.3,0.2,0.22499999999999998,0.275,0.275,0.3,1.625,1.75,95.8
203,0.4,0.3,0.25,0.2,0.2,0.25,0.2,0.3,1.7,1.8,96.6
204,0.375,0.22499999999999998,0.2,0.2,0.2,0.2,0.2,0.2,1.725,1.8749999999999998,96.7
205,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.825,1.975,97.3
206,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.975,2.1,97.3
207,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.125,2.3,97.4
208,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.3499999999999996,2.525,97.5
209,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.6,2.825,97.5
210,0.3,0.2,0.2,0.18000000000000002,0.2,0.2,0.2,0.2,2.9,3.15,97.8
211,0.3,0.2,0.2,0.16,0.2,0.2,0.2,0.2,3.25,3.55,97.9
212,0.3,0.2,0.2,0.18000000000000002,0.2,0.2,0.2,0.2,3.65,4.025,97.7
213,0.3,0.2,0.2,0.13999999999999999,0.2,0.2,0.2,0.2,4.125,4.5,97.5
214,0.3,0.2,0.2,0.13999999999999999,0.175,0.2,0.2,0.2,4.625,5.05,97.7
215,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.725,5.25,97.8
216,0.1,0.1,0.05,0.0,0.0,0.05,0.0,0.0,5.025,5.65,97.8
217,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,6.275,97.8
218,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.225,6.9,97.9
219,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,7.574999999999999,98.2
220,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55,8.325,98.1
221,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.075,98.2
222,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.825000000000001,9.725,98.4
223,0.625,0.1,0.1,0.0,0.07500000000000001,0.07500000000000001,0.0,0.0,9.65,10.700000000000001,98.4
224,0.875,0.2,0.1,0.1,0.1,0.1,0.1,0.1,10.275,11.350000000000001,98.4
225,1.1,0.3,0.125,0.1,0.1,0.1,0.1,0.1,10.75,11.850000000000001,98.4
226,1.3250000000000002,0.4,0.2,0.1,0.1,0.1,0.1,0.1,11.125,12.250000000000002,98.4
227,1.5499999999999998,0.475,0.2,0.1,0.2,0.2,0.17500000000000002,0.2,11.424999999999999,12.549999999999999,98.9
228,1.75,0.55,0.275,0.12000000000000002,0.2,0.2,0.2,0.2,11.45,12.675,98.9
229,1.95,0.6499999999999999,0.3,0.2,0.2,0.2,0.2,0.2,11.424999999999999,12.575,99.1
230,2.0999999999999996,0.7249999999999999,0.32499999999999996,0.2,0.2,0.2,0.2,0.2,11.3,12.325,99.2
231,2.275,0.8250000000000001,0.4,0.2,0.3,0.3,0.3,0.3,11.15,12.174999999999999,99.3
232,2.5,0.975,0.5,0.3,0.3,0.3,0.3,0.3,10.924999999999999,11.975,99.3
233,2.7,1.125,0.6,0.38,0.4,0.4,0.4,0.4,10.65,11.75,98.9
234,2.9,1.275,0.7,0.42000000000000004,0.5,0.5,0.5,0.5,10.424999999999999,11.5,98.9
235,3.0999999999999996,1.475,0.85,0.5,0.6,0.6,0.6,0.6,10.175,11.200000000000001,98.9
236,3.2750000000000004,1.6500000000000001,0.975,0.6199999999999999,0.7,0.7,0.7,0.7,9.875,10.899999999999999,98.9
237,3.45,1.85,1.125,0.7399999999999999,0.8,0.9,0.8,0.9,9.625,10.6,98.8
238,3.625,2.025,1.3,0.8800000000000001,1.0,1.0,1.0,1.0,9.399999999999999,10.35,98.8
239,3.8,2.225,1.475,1.0,1.1,1.125,1.1,1.2,9.225,10.125,98.8
240,4.0,2.45,1.675,1.1800000000000002,1.3,1.3,1.3,1.4,9.075,10.0,98.6
241,4.2,2.675,1.875,1.3400000000000003,1.5,1.5,1.5,1.6,9.025,10.0,98.6
242,4.375,2.875,2.0749999999999997,1.5399999999999998,1.7,1.7,1.7,1.8,9.025,9.95,98.7
243,4.525,3.0749999999999997,2.25,1.7,1.85,1.9,1.9,2.0,9.0,9.924999999999999,98.9
244,4.675,3.2250000000000005,2.425,1.8400000000000003,2.0,2.0,2.0,2.2,9.0,9.899999999999999,98.9
245,4.9,3.475,2.6500000000000004,2.04,2.2,2.225,2.2,2.4,9.1,10.0,98.9
246,5.2,3.7750000000000004,2.95,2.3,2.5,2.5,2.5,2.7,9.5,10.399999999999999,99.0
247,5.5,4.074999999999999,3.25,2.54,2.7,2.8,2.8,2.9,9.825000000000001,10.875,99.2
248,5.7250000000000005,4.324999999999999,3.45,2.72,2.9,3.0,3.0,3.2,10.2,11.25,99.3
