wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
190,0.049,1.726666667,1.7905,2.14675,2.25275,2.2755,2.203,2.227,2.22525,2.25825,2.30275,2.2835,2.285,2.4065,2.40175,2.404,2.425,2.3885,2.39575,2.52525,2.48125
191,0.048,1.757,1.82525,2.1915,2.3205,2.334,2.282,2.31775,2.3085,2.32775,2.381,2.367,2.351,2.47925,2.45975,2.45925,2.48325,2.4675,2.474,2.629,2.538
192,0.04,1.784333333,1.84475,2.254,2.36375,2.39375,2.33425,2.3735,2.39075,2.39725,2.4485,2.42325,2.425,2.52975,2.5135,2.5415,2.57,2.52775,2.5365,2.67025,2.587
193,0.037,1.802666667,1.858,2.30575,2.44425,2.4455,2.38,2.414,2.4465,2.453,2.503,2.499,2.50075,2.56475,2.541,2.58225,2.62425,2.607,2.56825,2.72825,2.6405
194,0.03,1.811,1.8625,2.34025,2.47125,2.49775,2.44125,2.46475,2.48375,2.499,2.534,2.54475,2.5535,2.63275,2.614,2.599,2.6675,2.651,2.61875,2.7445,2.716
195,0.026,1.815333333,1.86875,2.37275,2.507,2.53825,2.4745,2.50725,2.5515,2.543,2.5645,2.57775,2.59525,2.6855,2.653,2.6415,2.70075,2.677,2.672,2.785,2.75625
196,0.024,1.819666667,1.877,2.40525,2.54425,2.59025,2.504,2.559,2.5775,2.5875,2.60825,2.59125,2.62775,2.72625,2.7065,2.684,2.726,2.70575,2.7115,2.84525,2.80675
197,0.023,1.823666667,1.88725,2.44125,2.57675,2.61925,2.56425,2.5845,2.59625,2.6215,2.649,2.62175,2.63425,2.73975,2.74475,2.7385,2.77525,2.7285,2.7535,2.91375,2.8665
198,0.021,1.826333333,1.89175,2.4505,2.596,2.65,2.5805,2.59625,2.615,2.657,2.68425,2.65275,2.689,2.76475,2.76375,2.77875,2.79975,2.7405,2.7835,2.92425,2.889
199,0.02,1.826666667,1.8915,2.4665,2.61,2.65975,2.5995,2.601,2.622,2.67775,2.69375,2.68675,2.69425,2.774,2.77075,2.783,2.82075,2.75675,2.81075,2.93775,2.90175
200,0.018,1.817333333,1.887,2.47925,2.6215,2.66925,2.60625,2.6095,2.64075,2.68825,2.6885,2.691,2.70075,2.781,2.79325,2.79375,2.8345,2.76825,2.81925,2.9675,2.90025
201,0.014,1.799666667,1.879,2.4895,2.64875,2.6865,2.6115,2.62575,2.6475,2.69725,2.701,2.702,2.70925,2.80625,2.8,2.80325,2.85225,2.782,2.8375,2.969,2.903
202,0.013,1.789333333,1.8735,2.51475,2.6665,2.70425,2.646,2.64325,2.6605,2.726,2.718,2.72175,2.72525,2.8235,2.81325,2.818,2.883,2.8145,2.849,2.98675,2.92175
203,0.012,1.773,1.85725,2.54125,2.70175,2.72775,2.66875,2.6675,2.69525,2.7655,2.7575,2.76,2.7935,2.8535,2.8475,2.84625,2.904,2.85175,2.86475,3,2.94375
204,0.012,1.751,1.83675,2.55675,2.7465,2.75725,2.685,2.71075,2.7175,2.793,2.781,2.79175,2.831,2.8615,2.87375,2.88125,2.92625,2.8805,2.886,3,2.9585
205,0.01,1.723333333,1.81275,2.5825,2.7505,2.7725,2.72025,2.7355,2.7345,2.80825,2.821,2.826,2.863,2.867,2.907,2.89525,2.95725,2.9,2.89225,3,2.98175
206,0.01,1.688,1.78125,2.58925,2.781,2.7935,2.73775,2.7495,2.7705,2.825,2.829,2.84575,2.87275,2.8845,2.91675,2.917,2.9685,2.9185,2.9065,3,2.98925
207,0.01,1.646333333,1.742,2.59525,2.78475,2.796,2.75775,2.7585,2.79075,2.84675,2.85425,2.84975,2.88625,2.90275,2.93,2.94625,2.981,2.92575,2.93225,3,2.99225
208,0.01,1.600666667,1.7005,2.5995,2.793,2.803,2.761,2.7675,2.80475,2.85175,2.86725,2.851,2.88975,2.914,2.949,2.94775,2.98675,2.92275,2.94,3,2.99575
209,0.01,1.549333333,1.651,2.60925,2.79725,2.81,2.76575,2.78675,2.8155,2.853,2.8735,2.85725,2.89875,2.9345,2.9545,2.96,2.9895,2.92575,2.944,3,2.99775
210,0.011,1.497333333,1.603,2.6095,2.8075,2.82375,2.7765,2.79425,2.8265,2.85475,2.87275,2.86375,2.914,2.95525,2.9585,2.97075,2.99625,2.9315,2.95475,3,3
211,0.011,1.444666667,1.55325,2.60575,2.8125,2.84525,2.78,2.8115,2.829,2.86325,2.8785,2.86375,2.92325,2.95425,2.972,2.9735,2.998,2.95375,2.96375,3,3
212,0.011,1.390333333,1.50075,2.6005,2.82425,2.84475,2.7915,2.815,2.8395,2.872,2.8935,2.86975,2.9205,2.95975,2.977,2.979,3,2.967,2.97525,3,2.9995
213,0.011,1.339,1.452,2.59325,2.8305,2.84975,2.80175,2.822,2.8545,2.8925,2.89925,2.87725,2.93575,2.96575,2.981,2.97875,3,2.9725,2.98275,3,3
214,0.01,1.287666667,1.405,2.58425,2.83825,2.8565,2.80875,2.8235,2.87275,2.90075,2.909,2.87875,2.93725,2.97275,2.98025,2.9865,3,2.97425,2.9865,3,2.99975
215,0.009,1.264,1.393,2.742,3,2.99925,3,2.9775,3,3,3,3,3,3,3,3,3,3,3,3,3
216,0.008,1.228666667,1.35975,2.98,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
217,0.008,1.187666667,1.319,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
218,0.008,1.144333333,1.27525,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
219,0.006,1.103,1.23525,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
220,0.006,1.065666667,1.1985,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
221,0.006,1.027666667,1.163,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
222,0.006,0.996,1.13225,2.8805,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
223,0.006,0.959333333,1.0935,2.36375,2.993,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
224,0.006,0.934333333,1.06675,2.16975,2.69575,2.9265,2.99475,3,3,3,3,3,3,3,3,3,3,3,3,3,3
225,0.006,0.916,1.048,2.0575,2.5525,2.79475,2.896,2.97625,3,3,3,3,3,3,3,3,3,3,3,3,3
226,0.006,0.901,1.0335,1.976,2.44725,2.70225,2.822,2.93425,3,3,3,3,3,3,3,3,3,3,3,3,2.972
227,0.006,0.892333333,1.02325,1.91,2.36075,2.62675,2.764,2.89575,3,3,3,3,3,3,3,3,3,3,3,3,2.94475
228,0.005,0.890666667,1.02275,1.862,2.29625,2.5655,2.7085,2.85775,2.9915,3,3,3,3,3,3,3,3,3,3,3,2.92675
229,0.005,0.895,1.0305,1.82575,2.2425,2.51175,2.65825,2.81325,2.95225,3,3,3,3,3,3,3,3,3,3,3,2.9065
230,0.005,0.903,1.0395,1.79625,2.18925,2.4555,2.59975,2.759,2.895,2.98375,3,3,3,3,3,3,3,3,3,3,2.90425
231,0.004,0.910666667,1.0485,1.76425,2.13225,2.3905,2.529,2.69025,2.82325,2.919,2.9785,3,3,3,3,3,3,3,3,3,2.90025
232,0.004,0.919,1.057,1.728,2.0695,2.31475,2.44625,2.60875,2.73675,2.83225,2.91025,2.95025,3,3,3,3,3,3,3,3,2.887
233,0.005,0.929,1.06425,1.69575,2.00975,2.2395,2.3665,2.52475,2.65375,2.748,2.835,2.8795,2.98525,3,3,3,3,3,3,3,2.86675
234,0.005,0.939666667,1.07425,1.6675,1.95675,2.1745,2.29475,2.44725,2.57175,2.6665,2.7595,2.815,2.9165,3,3,3,3,3,3,3,2.844
235,0.005,0.950333333,1.087,1.6405,1.911,2.113,2.228,2.3765,2.49475,2.586,2.68575,2.74425,2.8525,3,3,3,3,3,3,3,2.824
236,0.005,0.962,1.099,1.61925,1.86925,2.05975,2.1645,2.3075,2.42075,2.51375,2.609,2.67275,2.775,3,3,3,3,3,3,3,2.805
