wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
190,2.14675,2.285,2.25275,2.2755,2.2030000000000003,2.227,2.22525,2.2582500000000003,2.3027499999999996,2.2835,2.4065,2.40175,2.404,2.425,2.3885,2.3957499999999996,2.52525,2.48125,1.7904999999999998,1.7266666666666666,0.049
191,2.1915,2.351,2.3205,2.3339999999999996,2.282,2.31775,2.3085,2.32775,2.3810000000000002,2.367,2.47925,2.45975,2.45925,2.48325,2.4675,2.474,2.629,2.5380000000000003,1.82525,1.757,0.048
192,2.254,2.425,2.3637499999999996,2.39375,2.33425,2.3735,2.3907499999999997,2.39725,2.4485,2.42325,2.52975,2.5135,2.5415,2.57,2.52775,2.5365,2.67025,2.587,1.84475,1.7843333333333333,0.04
193,2.3057499999999997,2.50075,2.4442500000000003,2.4455,2.3800000000000003,2.414,2.4465,2.4530000000000003,2.5029999999999997,2.499,2.56475,2.541,2.58225,2.62425,2.6069999999999998,2.56825,2.72825,2.6405000000000003,1.858,1.8026666666666664,0.037
194,2.34025,2.5535,2.47125,2.49775,2.44125,2.46475,2.48375,2.499,2.5340000000000003,2.5447499999999996,2.6327499999999997,2.614,2.599,2.6675,2.651,2.6187500000000004,2.7445000000000004,2.716,1.8625,1.811,0.03
195,2.37275,2.59525,2.507,2.53825,2.4745000000000004,2.50725,2.5515,2.543,2.5645,2.57775,2.6854999999999998,2.653,2.6414999999999997,2.70075,2.6769999999999996,2.672,2.785,2.75625,1.86875,1.8153333333333332,0.026
196,2.40525,2.62775,2.54425,2.59025,2.504,2.559,2.5774999999999997,2.5875,2.60825,2.59125,2.72625,2.7065,2.684,2.7259999999999995,2.70575,2.7114999999999996,2.84525,2.80675,1.877,1.8196666666666665,0.024
197,2.44125,2.6342499999999998,2.57675,2.61925,2.56425,2.5845000000000002,2.5962500000000004,2.6215,2.649,2.6217499999999996,2.73975,2.74475,2.7385,2.7752499999999998,2.7285000000000004,2.7535,2.9137500000000003,2.8665,1.8872499999999999,1.8236666666666668,0.023
198,2.4505,2.689,2.596,2.6500000000000004,2.5805000000000002,2.59625,2.615,2.657,2.68425,2.6527499999999997,2.76475,2.76375,2.77875,2.79975,2.7405,2.7835,2.92425,2.889,1.8917499999999998,1.8263333333333334,0.021
199,2.4665,2.69425,2.61,2.65975,2.5995000000000004,2.601,2.6220000000000003,2.67775,2.69375,2.68675,2.774,2.77075,2.783,2.82075,2.7567500000000003,2.81075,2.93775,2.90175,1.8915,1.8266666666666669,0.02
200,2.4792500000000004,2.70075,2.6214999999999997,2.66925,2.60625,2.6094999999999997,2.6407499999999997,2.68825,2.6885000000000003,2.6910000000000003,2.7809999999999997,2.79325,2.7937499999999997,2.8345000000000002,2.76825,2.81925,2.9675000000000002,2.90025,1.887,1.8173333333333332,0.018
201,2.4895,2.70925,2.6487499999999997,2.6865000000000006,2.6115,2.62575,2.6475,2.69725,2.701,2.7020000000000004,2.8062500000000004,2.8,2.80325,2.85225,2.782,2.8375,2.9690000000000003,2.903,1.879,1.7996666666666667,0.014
202,2.51475,2.72525,2.6665,2.70425,2.646,2.64325,2.6605,2.726,2.718,2.72175,2.8235,2.81325,2.818,2.883,2.8145000000000002,2.849,2.9867500000000002,2.9217500000000003,1.8735,1.7893333333333332,0.013
203,2.54125,2.7935,2.7017499999999997,2.7277500000000003,2.66875,2.6674999999999995,2.6952499999999997,2.7655,2.7575000000000003,2.76,2.8535,2.8475,2.84625,2.904,2.85175,2.86475,3.0,2.94375,1.85725,1.773,0.012
204,2.55675,2.8310000000000004,2.7465,2.75725,2.6849999999999996,2.71075,2.7175000000000002,2.793,2.781,2.79175,2.8615,2.8737500000000002,2.88125,2.9262500000000005,2.8805,2.886,3.0,2.9585,1.8367499999999999,1.7510000000000001,0.012
