wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
190,0.7,0.525,0.525,0.525,0.625,0.6,0.6,0.55,0.525,0.5,0.4,0.4,0.42500000000000004,0.4,0.4,0.4,0.3,0.3,1.6,1.8999999999999997,89.3
191,0.6499999999999999,0.44999999999999996,0.475,0.45,0.525,0.5,0.5,0.475,0.4,0.45,0.35,0.375,0.32499999999999996,0.32499999999999996,0.325,0.35,0.22500000000000003,0.3,1.5,1.7666666666666666,89.5
192,0.5750000000000001,0.375,0.42500000000000004,0.4,0.45,0.4,0.4,0.4,0.35,0.375,0.3,0.3,0.3,0.275,0.3,0.3,0.2,0.275,1.45,1.6333333333333335,91.3
193,0.5,0.3,0.35000000000000003,0.375,0.4,0.4,0.375,0.375,0.3,0.3,0.275,0.3,0.27499999999999997,0.22499999999999998,0.25,0.3,0.2,0.2,1.4,1.6000000000000003,91.9
194,0.475,0.3,0.325,0.3,0.375,0.325,0.3,0.3,0.3,0.3,0.2,0.22499999999999998,0.25,0.2,0.2,0.25,0.2,0.2,1.3749999999999998,1.5333333333333332,93.3
195,0.42500000000000004,0.275,0.3,0.3,0.325,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.3499999999999999,1.5,94.1
196,0.4,0.22499999999999998,0.3,0.275,0.3,0.3,0.3,0.275,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0.17500000000000002,1.325,1.5,94.5
197,0.35,0.2,0.3,0.22499999999999998,0.3,0.275,0.27499999999999997,0.2,0.2,0.22499999999999998,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,1.3,1.5,94.9
198,0.35,0.2,0.27499999999999997,0.2,0.3,0.22499999999999998,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.17500000000000002,0.2,0.2,0.1,0.1,1.3,1.5,95.3
199,0.35,0.2,0.25,0.2,0.25,0.22499999999999998,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.2,0.175,0.1,0.1,1.3,1.5,95.4
200,0.325,0.2,0.2,0.2,0.22499999999999998,0.22499999999999998,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0.2,0.15000000000000002,0.1,0.1,1.3,1.5333333333333332,95.9
201,0.3,0.2,0.2,0.2,0.22499999999999998,0.2,0.2,0.2,0.2,0.2,0.17500000000000002,0.2,0.175,0.125,0.2,0.125,0.1,0.1,1.3,1.6000000000000003,96.9
202,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.175,0.1,0.175,0.1,0.1,0.1,1.325,1.6333333333333335,97.0
203,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.125,0.1,0.1,0.125,0.1,0.1,0.1,1.4,1.7,97.2
