wavelength,S6 Post Irrad Day 1 1,S6 Post Irrad Day 1 2,S6 Post Irrad Day 1 3,S6 Post Irrad Day 1 4,S6 Post Irrad Day 1 5,S6 Post Irrad Day 1 6,S6 Post Irrad Day 1 7
190,2.37,2.408,2.376,2.4,2.331,2.286,2.348
191,2.46,2.44,2.468,2.445,2.405,2.405,2.471
192,2.488,2.527,2.487,2.472,2.479,2.444,2.513
193,2.53,2.569,2.537,2.557,2.538,2.515,2.544
194,2.638,2.588,2.561,2.572,2.594,2.547,2.553
195,2.663,2.667,2.598,2.686,2.597,2.602,2.569
196,2.695,2.689,2.64,2.691,2.603,2.641,2.621
197,2.714,2.713,2.686,2.713,2.649,2.676,2.654
198,2.75,2.775,2.726,2.732,2.652,2.722,2.677
199,2.747,2.782,2.766,2.731,2.685,2.731,2.682
200,2.769,2.81,2.768,2.733,2.686,2.733,2.727
201,2.775,2.813,2.783,2.764,2.699,2.734,2.728
202,2.79,2.822,2.829,2.827,2.714,2.749,2.758
203,2.84,2.827,2.837,2.842,2.75,2.783,2.813
204,2.852,2.852,2.965,2.842,2.763,2.816,2.814
205,2.86,2.926,2.927,2.87,2.805,2.821,2.812
206,2.873,2.928,2.952,2.874,2.857,2.834,2.824
207,2.888,2.933,2.955,2.895,2.856,2.849,2.871
208,2.896,2.932,2.976,2.908,2.858,2.851,2.872
209,2.956,2.923,2.974,2.932,2.891,2.863,2.879
210,2.956,2.937,2.977,2.933,2.892,2.881,2.884
211,2.954,2.935,2.951,2.921,2.894,2.881,2.881
212,2.962,2.946,2.958,2.913,2.895,2.884,2.908
213,2.964,2.96,2.961,2.925,2.896,2.901,2.914
214,2.966,2.962,2.963,2.93,2.898,2.903,2.91
215,3,3,3,3,3,3,3
216,3,3,3,3,3,3,3
217,3,3,3,3,3,3,3
218,3,3,3,3,3,3,3
219,3,3,3,3,3,3,3
220,3,3,3,3,3,3,3
221,3,3,3,3,3,3,3
222,3,3,3,3,3,3,3
223,3,3,3,3,3,3,3
224,3,3,3,3,3,3,3
225,3,3,3,3,3,3,3
226,3,3,3,3,3,3,3
227,3,3,3,3,3,3,3
228,3,3,3,3,3,3,3
229,3,3,3,3,3,3,3
230,3,3,3,3,3,3,3
231,3,3,3,3,3,3,3
232,3,3,3,3,3,3,3
233,3,3,3,3,3,3,3
234,3,3,3,3,3,3,3
235,3,3,3,3,3,3,3
236,3,3,3,3,3,3,3
237,3,3,3,3,3,3,3
238,3,3,3,3,3,3,3
239,3,3,3,3,3,3,3
240,3,3,3,3,3,3,3
241,3,3,3,3,3,3,3
242,3,3,3,3,3,3,3
243,3,3,3,3,3,3,3
244,3,3,3,3,3,3,3
245,3,3,3,3,3,3,3
