wavelength,blank,S6 Irrad 9,S6 Post Irrad Day 1 1,S6 Post Irrad Day 1 2,S6 Post Irrad Day 1 3,S6 Post Irrad Day 1 4,S6 Post Irrad Day 1 5,S6 Post Irrad Day 1 6,S6 Post Irrad Day 1 7
190,89.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4
191,89.5,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3
192,91.3,0.275,0.3,0.3,0.3,0.3,0.3,0.4,0.3
193,91.9,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
194,93.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3
195,94.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3
196,94.5,0.175,0.2,0.2,0.2,0.2,0.2,0.2,0.2
197,94.9,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
198,95.3,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
199,95.4,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
200,95.9,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
201,96.9,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
202,97,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2
203,97.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
204,97.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
205,97.8,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
206,97.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
207,97.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
208,97.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
209,97.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
210,97.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
211,97.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
212,97.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
213,97.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
214,97.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
215,97.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
216,98.1,0,0,0,0,0,0,0,0
217,98.3,0,0,0,0,0,0,0,0
218,98.2,0,0,0,0,0,0,0,0
219,98.5,0,0,0,0,0,0,0,0
220,98.6,0,0,0,0,0,0,0,0
221,98.6,0,0,0,0,0,0,0,0
222,98.7,0,0,0,0,0,0,0,0
223,98.7,0,0,0,0,0,0,0,0
