wavelength,S6 Post Irrad Day 1 1,S6 Post Irrad Day 1 2,S6 Post Irrad Day 1 3,S6 Post Irrad Day 1 4,S6 Post Irrad Day 1 5,S6 Post Irrad Day 1 6,S6 Post Irrad Day 1 7
190,0.4,0.4,0.4,0.4,0.5,0.5,0.4
191,0.3,0.4,0.3,0.4,0.4,0.4,0.3
192,0.3,0.3,0.3,0.3,0.3,0.4,0.3
193,0.3,0.3,0.3,0.3,0.3,0.3,0.3
194,0.2,0.3,0.3,0.3,0.3,0.3,0.3
195,0.2,0.2,0.3,0.2,0.3,0.3,0.3
196,0.2,0.2,0.2,0.2,0.2,0.2,0.2
197,0.2,0.2,0.2,0.2,0.2,0.2,0.2
198,0.2,0.2,0.2,0.2,0.2,0.2,0.2
199,0.2,0.2,0.2,0.2,0.2,0.2,0.2
200,0.2,0.2,0.2,0.2,0.2,0.2,0.2
201,0.2,0.2,0.2,0.2,0.2,0.2,0.2
202,0.2,0.2,0.1,0.1,0.2,0.2,0.2
203,0.1,0.1,0.1,0.1,0.2,0.2,0.2
204,0.1,0.1,0.1,0.1,0.2,0.2,0.2
205,0.1,0.1,0.1,0.1,0.2,0.2,0.2
206,0.1,0.1,0.1,0.1,0.1,0.1,0.1
207,0.1,0.1,0.1,0.1,0.1,0.1,0.1
208,0.1,0.1,0.1,0.1,0.1,0.1,0.1
209,0.1,0.1,0.1,0.1,0.1,0.1,0.1
210,0.1,0.1,0.1,0.1,0.1,0.1,0.1
211,0.1,0.1,0.1,0.1,0.1,0.1,0.1
212,0.1,0.1,0.1,0.1,0.1,0.1,0.1
213,0.1,0.1,0.1,0.1,0.1,0.1,0.1
214,0.1,0.1,0.1,0.1,0.1,0.1,0.1
215,0.1,0.1,0.1,0.1,0.1,0.1,0.1
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
224,0.1,0.1,0.1,0.1,0.1,0.1,0.1
225,0.1,0.1,0.1,0.1,0.1,0.1,0.1
226,0.1,0.1,0.1,0.1,0.1,0.1,0.1
227,0.1,0.1,0.1,0.1,0.1,0.1,0.1
228,0.1,0.1,0.1,0.1,0.1,0.1,0.1
229,0.1,0.1,0.1,0.1,0.1,0.1,0.1
230,0.1,0.1,0.1,0.1,0.1,0.1,0.1
231,0.1,0.1,0.1,0.1,0.1,0.1,0.1
232,0.1,0.1,0.1,0.1,0.1,0.1,0.1
233,0.1,0.1,0.1,0.1,0.1,0.1,0.1
234,0.1,0.1,0.1,0.1,0.1,0.1,0.1
235,0.1,0.1,0.1,0.1,0.1,0.1,0.1
236,0.1,0.1,0.1,0.1,0.1,0.1,0.1
237,0.1,0.1,0.1,0.1,0.1,0.1,0.1
238,0.1,0.1,0.1,0.1,0.1,0.1,0.1
239,0.1,0.1,0.1,0.1,0.1,0.1,0.1
240,0.1,0.1,0.1,0.1,0.1,0.1,0.1
241,0.1,0.1,0.1,0.1,0.1,0.1,0.1
242,0.1,0.1,0.1,0.1,0.1,0.1,0.1
243,0.1,0.1,0.1,0.1,0.1,0.1,0.1
244,0.1,0.1,0.1,0.1,0.1,0.1,0.1
245,0.1,0.1,0.1,0.1,0.1,0.1,0.1
246,0.1,0.1,0.1,0.1,0.1,0.1,0.1
247,0.1,0.1,0.1,0.1,0.1,0.1,0.1
248,0.1,0.1,0.1,0.1,0.1,0.1,0.1
249,0.1,0.1,0.1,0.1,0.1,0.1,0.1
250,0.1,0.1,0.1,0.1,0.1,0.1,0.1
251,0.1,0.1,0.1,0.2,0.2,0.2,0.2
252,0.2,0.2,0.2,0.2,0.2,0.2,0.2
253,0.2,0.2,0.2,0.2,0.2,0.2,0.2
254,0.2,0.2,0.3,0.3,0.3,0.3,0.3
255,0.3,0.3,0.3,0.3,0.3,0.3,0.3
256,0.3,0.4,0.4,0.4,0.4,0.4,0.4
257,0.4,0.4,0.5,0.5,0.5,0.5,0.5
258,0.5,0.5,0.6,0.6,0.6,0.6,0.6
259,0.6,0.6,0.7,0.7,0.7,0.7,0.7
260,0.7,0.7,0.8,0.8,0.8,0.8,0.8
261,0.8,0.8,0.9,0.9,0.9,0.9,0.9
262,0.8,0.9,0.9,1,1,1,1
263,0.9,1,1,1.1,1.1,1.1,1.1
264,1,1.1,1.2,1.2,1.2,1.2,1.3
265,1.2,1.3,1.3,1.3,1.4,1.4,1.4
266,1.3,1.4,1.4,1.5,1.5,1.5,1.5
267,1.4,1.5,1.6,1.6,1.6,1.7,1.7
268,1.5,1.6,1.7,1.7,1.8,1.8,1.8
269,1.6,1.7,1.8,1.8,1.9,1.9,1.9
270,1.7,1.8,1.9,1.9,2,2,2
271,1.8,1.9,2,2.1,2.1,2.1,2.1
272,1.9,2,2.1,2.1,2.2,2.2,2.2
273,2,2.1,2.2,2.2,2.3,2.3,2.3
274,2,2.1,2.2,2.3,2.3,2.3,2.4
275,2.1,2.2,2.3,2.3,2.4,2.4,2.4
276,2.2,2.3,2.4,2.4,2.5,2.5,2.5
277,2.2,2.4,2.4,2.5,2.5,2.6,2.6
278,2.3,2.4,2.5,2.5,2.6,2.6,2.6
279,2.3,2.4,2.5,2.6,2.6,2.6,2.7
280,2.4,2.5,2.6,2.6,2.7,2.7,2.7
281,2.4,2.5,2.6,2.7,2.7,2.8,2.8
282,2.5,2.6,2.7,2.7,2.8,2.8,2.8
283,2.5,2.6,2.7,2.7,2.8,2.8,2.8
284,2.5,2.6,2.7,2.7,2.8,2.8,2.8
285,2.5,2.6,2.7,2.7,2.8,2.8,2.9
286,2.5,2.7,2.7,2.8,2.8,2.9,2.9
287,2.5,2.7,2.7,2.8,2.8,2.9,2.9
288,2.5,2.7,2.7,2.8,2.8,2.9,2.9
289,2.5,2.7,2.8,2.8,2.9,2.9,2.9
290,2.6,2.7,2.8,2.9,2.9,2.9,2.9
291,2.6,2.7,2.8,2.9,2.9,2.9,3
292,2.6,2.7,2.8,2.9,2.9,2.9,3
293,2.6,2.7,2.8,2.9,2.9,3,3
294,2.6,2.8,2.9,2.9,3,3,3
295,2.7,2.8,2.9,2.9,3,3,3
296,2.7,2.8,2.9,3,3,3,3.1
297,2.7,2.8,2.9,3,3,3,3.1
298,2.7,2.8,2.9,3,3,3.1,3.1
299,2.7,2.8,2.9,3,3.1,3.1,3.1
300,2.7,2.9,2.9,3,3.1,3.1,3.1
301,2.8,2.9,3,3.1,3.2,3.2,3.2
302,2.8,3,3.1,3.1,3.2,3.2,3.2
303,2.8,3,3.1,3.2,3.2,3.3,3.3
304,2.9,3,3.2,3.2,3.3,3.3,3.3
305,3,3.1,3.2,3.3,3.3,3.4,3.4
306,3,3.2,3.3,3.4,3.4,3.5,3.5
307,3.1,3.3,3.4,3.5,3.5,3.6,3.6
308,3.2,3.4,3.5,3.5,3.6,3.7,3.7
309,3.3,3.4,3.5,3.6,3.7,3.7,3.7
310,3.3,3.5,3.6,3.7,3.8,3.8,3.8
311,3.4,3.6,3.7,3.8,3.8,3.9,3.9
312,3.5,3.6,3.8,3.8,3.9,3.9,4
313,3.6,3.8,3.9,4,4.1,4.1,4.1
314,3.7,3.9,4,4.1,4.2,4.2,4.2
315,3.8,4,4.1,4.2,4.2,4.3,4.3
316,3.9,4,4.2,4.3,4.3,4.4,4.4
317,4,4.2,4.3,4.4,4.5,4.5,4.6
318,4.1,4.4,4.5,4.6,4.7,4.7,4.7
319,4.3,4.5,4.6,4.7,4.8,4.8,4.9
320,4.4,4.6,4.8,4.9,5,5,5
321,4.6,4.8,5,5.1,5.2,5.2,5.3
