wavelength,blank,S8 Preheat,S6 Irrad 9,S6 Post Irrad Day 1 1,S6 Post Irrad Day 1 2,S6 Post Irrad Day 1 3,S6 Post Irrad Day 1 4,S6 Post Irrad Day 1 5,S6 Post Irrad Day 1 6,S6 Post Irrad Day 1 7,S6 Post Irrad Day 3,S6 Post Irrad Day 5
190,89.3,1.925,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.6,0.6
191,89.5,1.8,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.5,0.5
192,91.3,1.7,0.275,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4
193,91.9,1.625,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
194,93.3,1.575,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
195,94.1,1.55,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3
196,94.5,1.55,0.175,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
197,94.9,1.5,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
198,95.3,1.5,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
199,95.4,1.5,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
200,95.9,1.5,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
201,96.9,1.575,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
202,97,1.575,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2
203,97.2,1.6,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
204,97.3,1.7,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
205,97.8,1.8,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1
206,97.8,1.925,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
207,97.8,2.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
208,97.7,2.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
209,97.6,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
210,97.6,2.925,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
211,97.5,3.275,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
212,97.5,3.675,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
213,97.5,4.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
214,97.6,4.65,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
215,97.9,4.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
216,98.1,5.125,0,0,0,0,0,0,0,0,0,0
217,98.3,5.725,0,0,0,0,0,0,0,0,0,0
218,98.2,6.35,0,0,0,0,0,0,0,0,0,0
219,98.5,7,0,0,0,0,0,0,0,0,0,0
220,98.6,7.65,0,0,0,0,0,0,0,0,0,0
221,98.6,8.35,0,0,0,0,0,0,0,0,0,0
222,98.7,8.95,0,0,0,0,0,0,0,0,0,0
223,98.7,9.85,0,0,0,0,0,0,0,0,0,0
224,98.6,10.45,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
225,98.6,10.925,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
226,98.6,11.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
227,98.7,11.55,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
