wavelength,S7 Clean,S7 Unclean
190,1.6982500000000003,1.6824999999999999
191,1.736,1.72325
192,1.76075,1.7485000000000002
193,1.77275,1.7685
194,1.77875,1.778
195,1.78525,1.78525
196,1.79425,1.78925
197,1.7985,1.794
198,1.8005,1.79825
199,1.801,1.79575
200,1.79075,1.7912499999999998
201,1.7824999999999998,1.7825
202,1.774,1.77225
203,1.7595,1.7567499999999998
204,1.74025,1.73725
205,1.714,1.70675
206,1.6829999999999998,1.672
207,1.64175,1.6295
208,1.5965000000000003,1.58425
209,1.54675,1.5334999999999999
210,1.494,1.482
211,1.442,1.42825
212,1.3885,1.37475
213,1.3365,1.3239999999999998
214,1.287,1.27425
215,1.2665000000000002,1.25475
216,1.23275,1.2197500000000001
217,1.189,1.1767499999999997
218,1.1437499999999998,1.133
219,1.104,1.092
220,1.06575,1.0524999999999998
221,1.031,1.01775
222,0.9984999999999999,0.98625
223,0.96375,0.949
224,0.9384999999999999,0.92325
225,0.92,0.905
226,0.907,0.8922500000000001
227,0.89825,0.8832499999999999
228,0.896,0.88125
229,0.9,0.8845000000000001
230,0.90425,0.89025
231,0.91,0.8967499999999999
232,0.9185000000000001,0.9052500000000001
233,0.92825,0.9137500000000001
234,0.9395,0.9237500000000001
235,0.9509999999999998,0.93675
236,0.9624999999999999,0.9472499999999999
237,0.974,0.9582499999999999
238,0.984,0.96825
239,0.9909999999999999,0.9764999999999999
240,0.9955,0.98175
241,0.9984999999999999,0.98425
242,1.00125,0.9849999999999999
243,1.0022499999999999,0.9862500000000001
244,1.00075,0.9855
245,0.9875,0.9722500000000001
246,0.96925,0.95375
247,0.954,0.9385
248,0.9422499999999999,0.9235000000000001
249,0.9292500000000001,0.9107500000000001
250,0.91125,0.894
251,0.8862500000000001,0.86925
252,0.86025,0.84325
253,0.8385,0.8215
254,0.817,0.80125
255,0.7957500000000001,0.7795000000000001
256,0.7747499999999999,0.757
257,0.7545000000000001,0.735
258,0.7344999999999999,0.71525
259,0.71375,0.694
260,0.6982499999999999,0.6787500000000001
261,0.6892499999999999,0.6695
