wavelength,S7 Clean,S7 Unclean
190,2.0,2.1
191,1.8499999999999999,1.9249999999999998
192,1.75,1.8
193,1.725,1.725
194,1.675,1.65
195,1.625,1.625
196,1.6,1.625
197,1.6,1.625
198,1.6,1.6
199,1.6,1.6
200,1.6,1.6
201,1.65,1.65
202,1.7,1.6749999999999998
203,1.725,1.75
204,1.8,1.825
205,1.9249999999999998,1.9500000000000002
206,2.1,2.125
207,2.3,2.3499999999999996
208,2.525,2.6
209,2.8499999999999996,2.9250000000000003
210,3.2,3.3
211,3.6,3.7249999999999996
212,4.074999999999999,4.225
213,4.625,4.75
214,5.15,5.3
215,5.425,5.55
216,5.85,6.0
217,6.475,6.675000000000001
218,7.199999999999999,7.3500000000000005
219,7.8500000000000005,8.075
220,8.575,8.875
221,9.325,9.6
222,10.05,10.3
223,10.875,11.25
224,11.525,11.924999999999999
225,12.0,12.424999999999999
226,12.375,12.8
227,12.65,13.075
228,12.725000000000001,13.125
229,12.575,13.05
230,12.5,12.875
231,12.325,12.7
232,12.075,12.424999999999999
233,11.8,12.2
234,11.475,11.924999999999999
235,11.200000000000001,11.55
236,10.899999999999999,11.325
237,10.625,11.0
238,10.375,10.75
239,10.2,10.525
240,10.125,10.424999999999999
241,10.025,10.350000000000001
242,9.975,10.350000000000001
243,9.95,10.325000000000001
244,9.975,10.350000000000001
245,10.275,10.65
246,10.725000000000001,11.125
247,11.1,11.525
248,11.424999999999999,11.925
249,11.775000000000002,12.3
250,12.275000000000002,12.75
251,13.0,13.525
252,13.8,14.325
253,14.5,15.1
254,15.250000000000002,15.825
255,16.0,16.625
256,16.775000000000002,17.475
257,17.575,18.4
258,18.400000000000002,19.275000000000002
259,19.35,20.225
260,20.049999999999997,20.95
261,20.425,21.4
262,20.675,21.725
263,21.1,22.174999999999997
264,21.575000000000003,22.575
265,21.974999999999998,22.975
266,22.425,23.5
267,22.825,23.9
268,23.125,24.15
269,23.375,24.375
270,23.6,24.65
271,23.900000000000002,25.0
272,24.050000000000004,25.1
273,24.050000000000004,25.050000000000004
274,24.050000000000004,25.025
275,24.050000000000004,25.050000000000004
276,24.15,25.225
277,24.225,25.4
278,24.299999999999997,25.424999999999997
279,24.299999999999997,25.424999999999997
280,24.375,25.5
281,24.500000000000004,25.75
282,24.675,25.825
283,24.675,25.825
284,24.65,25.85
285,24.675,25.85
286,24.75,26.049999999999997
287,24.825000000000003,26.125
288,24.85,26.1
289,24.925,26.200000000000003
290,25.200000000000003,26.474999999999998
291,25.3,26.525000000000002
292,25.3,26.5
293,25.3,26.55
294,25.450000000000003,26.624999999999996
295,25.575,26.725
296,25.65,26.775
297,25.674999999999997,26.9
298,25.700000000000003,26.825000000000003
299,25.625,26.800000000000004
300,25.625,26.85
301,25.674999999999997,27.0
302,25.775,27.125
303,25.825,27.15
304,25.875000000000004,27.300000000000004
305,25.975,27.5
306,26.275,27.624999999999996
307,26.5,27.875
308,26.7,28.099999999999998
309,26.775,28.15
310,26.775,28.15
311,26.8,28.174999999999997
312,26.85,28.275
313,27.000000000000004,28.45
314,27.174999999999997,28.65
315,27.125,28.474999999999998
316,27.1,28.4
317,27.125,28.6
318,27.299999999999997,28.775000000000002
319,27.35,28.85
320,27.375,28.875
321,27.65,29.200000000000003
322,28.099999999999998,29.625
323,28.174999999999997,29.725
324,28.05,29.525
325,27.925000000000004,29.424999999999997
326,27.9,29.4
327,27.9,29.45
328,28.025,29.6
329,28.2,29.825000000000003
330,28.4,30.025
331,28.575,30.225
332,28.599999999999998,30.275000000000002
333,28.575,30.200000000000003
334,28.55,30.200000000000003
335,28.599999999999998,30.300000000000004
336,28.700000000000003,30.424999999999997
337,28.775,30.499999999999996
338,28.8,30.525
339,28.85,30.674999999999997
340,29.025000000000002,30.875
341,29.225,31.15
342,29.35,31.300000000000004
343,29.3,31.275
344,29.075,31.05
345,28.95,30.9
346,28.975,30.925
347,29.125,31.125
348,29.25,31.325
349,29.275,31.375
350,29.425000000000004,31.45
351,29.5,31.625
352,29.575,31.675
353,29.674999999999997,31.75
354,29.725,31.85
355,29.775,31.85
356,29.675,31.75
357,29.55,31.624999999999996
358,29.65,31.700000000000003
359,29.7,31.775
360,29.475,31.45
361,29.0,31.025
362,28.900000000000002,30.974999999999998
363,28.925,30.900000000000002
364,28.974999999999998,31.075
365,29.075,31.200000000000003
366,29.075,31.225
367,29.174999999999997,31.25
368,29.275,31.425
369,29.4,31.6
370,29.425000000000004,31.625
371,29.425000000000004,31.65
372,29.450000000000003,31.7
373,29.525,31.75
374,29.549999999999997,31.85
375,29.575,31.875
376,29.225,31.55
377,28.925,31.324999999999996
378,28.925,31.0
379,28.9,31.0
380,28.975,31.1
381,29.025,31.15
382,28.950000000000003,31.15
383,28.950000000000003,31.15
384,28.925000000000004,31.125
385,28.85,31.075
386,28.8,30.95
387,28.75,30.925
388,28.75,31.049999999999997
389,28.825000000000003,31.049999999999997
390,29.35,31.6
391,29.55,32.0
392,29.675,32.2
393,29.724999999999998,32.225
394,29.724999999999998,32.225
395,29.775000000000002,32.25
396,29.925,32.3
397,30.0,32.375
398,30.0,32.375
399,30.0,32.375
400,30.049999999999997,32.525
401,30.15,32.525
402,30.2,32.575
403,30.15,32.575
404,30.15,32.525
405,30.099999999999998,32.5
406,30.125,32.5
407,30.15,32.5
408,30.15,32.55
409,30.25,32.575
410,30.25,32.575
411,30.25,32.6
412,30.25,32.574999999999996
413,30.35,32.6
414,30.35,32.6
415,30.4,32.6
416,30.450000000000003,32.725
417,30.525,32.75
418,30.599999999999998,32.849999999999994
419,30.599999999999998,32.900000000000006
420,30.65,32.974999999999994
421,30.65,32.974999999999994
422,30.65,32.974999999999994
423,30.674999999999997,32.95
424,30.674999999999997,32.925
425,30.725,32.900000000000006
426,30.725,32.900000000000006
