wavelength,S7 Unclean 1,S7 Unclean 2,S7 Unclean 3,S7 Unclean 4,S7 Clean 1,S7 Clean 2,S7 Clean 3,S7 Clean 4
190,1.664,1.688,1.687,1.691,1.694,1.693,1.705,1.701
191,1.706,1.73,1.725,1.732,1.727,1.729,1.746,1.742
192,1.739,1.751,1.748,1.756,1.748,1.756,1.77,1.769
193,1.755,1.772,1.772,1.775,1.757,1.777,1.78,1.777
194,1.76,1.778,1.786,1.788,1.769,1.78,1.784,1.782
195,1.775,1.784,1.791,1.791,1.774,1.789,1.786,1.792
196,1.776,1.79,1.798,1.793,1.789,1.791,1.795,1.802
197,1.782,1.794,1.798,1.802,1.794,1.798,1.799,1.803
198,1.788,1.798,1.802,1.805,1.794,1.798,1.802,1.808
199,1.787,1.793,1.801,1.802,1.794,1.799,1.803,1.808
200,1.784,1.785,1.797,1.799,1.783,1.791,1.791,1.798
201,1.773,1.78,1.787,1.79,1.778,1.78,1.786,1.786
202,1.765,1.768,1.773,1.783,1.768,1.772,1.774,1.782
203,1.75,1.755,1.759,1.763,1.754,1.76,1.761,1.763
204,1.731,1.734,1.739,1.745,1.737,1.74,1.742,1.742
205,1.701,1.703,1.711,1.712,1.708,1.714,1.716,1.718
206,1.667,1.669,1.674,1.678,1.68,1.681,1.686,1.685
207,1.625,1.628,1.632,1.633,1.638,1.639,1.644,1.646
208,1.579,1.584,1.585,1.589,1.592,1.595,1.599,1.6
209,1.529,1.532,1.536,1.537,1.543,1.545,1.548,1.551
210,1.478,1.479,1.484,1.487,1.489,1.492,1.495,1.5
211,1.424,1.426,1.432,1.431,1.438,1.438,1.446,1.446
212,1.369,1.372,1.378,1.38,1.382,1.386,1.392,1.394
213,1.319,1.321,1.326,1.33,1.33,1.334,1.34,1.342
214,1.269,1.272,1.276,1.28,1.281,1.285,1.291,1.291
215,1.242,1.259,1.256,1.262,1.26,1.27,1.261,1.275
216,1.211,1.219,1.22,1.229,1.225,1.23,1.234,1.242
217,1.169,1.176,1.18,1.182,1.183,1.186,1.192,1.195
218,1.128,1.133,1.135,1.136,1.139,1.142,1.145,1.149
219,1.086,1.09,1.096,1.096,1.1,1.102,1.106,1.108
220,1.047,1.051,1.055,1.057,1.061,1.064,1.069,1.069
221,1.013,1.016,1.02,1.022,1.027,1.029,1.033,1.035
222,0.984,0.986,0.986,0.989,0.993,0.999,1.001,1.001
223,0.946,0.948,0.95,0.952,0.959,0.963,0.966,0.967
224,0.92,0.923,0.924,0.926,0.934,0.937,0.941,0.942
225,0.902,0.905,0.906,0.907,0.916,0.919,0.922,0.923
226,0.89,0.891,0.894,0.894,0.903,0.906,0.909,0.91
227,0.88,0.883,0.885,0.885,0.895,0.897,0.9,0.901
228,0.879,0.881,0.882,0.883,0.893,0.897,0.896,0.898
229,0.882,0.886,0.884,0.886,0.895,0.903,0.899,0.903
