wavelength,S7 Unclean 1,S7 Unclean 2,S7 Unclean 3,S7 Unclean 4,S7 Clean 1,S7 Clean 2,S7 Clean 3,S7 Clean 4
190,2.2,2.1,2.1,2,2,2,2,2
191,2,1.9,1.9,1.9,1.9,1.9,1.8,1.8
192,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7
193,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.7
194,1.7,1.7,1.6,1.6,1.7,1.7,1.6,1.7
195,1.7,1.6,1.6,1.6,1.7,1.6,1.6,1.6
196,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6
197,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6
198,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
199,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
200,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
201,1.7,1.7,1.6,1.6,1.7,1.7,1.6,1.6
202,1.7,1.7,1.7,1.6,1.7,1.7,1.7,1.7
203,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7
204,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8
205,2,2,1.9,1.9,2,1.9,1.9,1.9
206,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
207,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3
208,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5
209,3,2.9,2.9,2.9,2.9,2.9,2.8,2.8
210,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2
211,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6
212,4.3,4.2,4.2,4.2,4.1,4.1,4.1,4
213,4.8,4.8,4.7,4.7,4.7,4.6,4.6,4.6
214,5.4,5.3,5.3,5.2,5.2,5.2,5.1,5.1
215,5.7,5.5,5.5,5.5,5.5,5.4,5.5,5.3
216,6.1,6,6,5.9,6,5.9,5.8,5.7
217,6.8,6.7,6.6,6.6,6.6,6.5,6.4,6.4
218,7.4,7.4,7.3,7.3,7.3,7.2,7.2,7.1
219,8.2,8.1,8,8,7.9,7.9,7.8,7.8
220,9,8.9,8.8,8.8,8.7,8.6,8.5,8.5
221,9.7,9.6,9.6,9.5,9.4,9.4,9.3,9.2
222,10.4,10.3,10.3,10.2,10.2,10,10,10
223,11.3,11.3,11.2,11.2,11,10.9,10.8,10.8
224,12,11.9,11.9,11.9,11.6,11.6,11.5,11.4
225,12.5,12.4,12.4,12.4,12.1,12,12,11.9
226,12.9,12.8,12.8,12.7,12.5,12.4,12.3,12.3
227,13.2,13.1,13,13,12.7,12.7,12.6,12.6
228,13.2,13.1,13.1,13.1,12.8,12.7,12.7,12.7
229,13.1,13,13.1,13,12.7,12.5,12.6,12.5
