wavelength,blank,S8 Postheat,S8 Preheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15
190,89.8,19.62,1.925,0.78,0.65,0.7,0.675,0.6,0.5,0.54,0.475,0.475,0.425,0.4,0.375,0.375,0.425
191,90,19.54,1.8,0.66,0.55,0.575,0.6,0.5,0.425,0.42,0.4,0.4,0.35,0.3,0.375,0.3,0.375
192,91.9,19.84,1.7,0.6,0.5,0.45,0.5,0.425,0.4,0.36,0.4,0.3,0.3,0.3,0.3,0.3,0.3
193,92.5,19.88,1.625,0.5,0.425,0.4,0.425,0.35,0.3,0.3,0.325,0.3,0.3,0.275,0.225,0.225,0.25
194,93.4,20.04,1.575,0.5,0.4,0.375,0.375,0.35,0.3,0.3,0.3,0.275,0.275,0.225,0.2,0.2,0.2
195,94.7,20.28,1.55,0.46,0.35,0.35,0.35,0.325,0.3,0.28,0.3,0.25,0.225,0.2,0.2,0.2,0.2
196,95.2,20.34,1.55,0.4,0.325,0.35,0.325,0.3,0.225,0.24,0.225,0.225,0.2,0.2,0.2,0.2,0.2
197,95.2,20.32,1.5,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2
198,95.4,20.36,1.5,0.38,0.3,0.3,0.275,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.15,0.2
199,95.5,20.38,1.5,0.34,0.225,0.275,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.1,0.125,0.2
200,95.8,20.46,1.5,0.34,0.225,0.225,0.225,0.2,0.2,0.2,0.2,0.2,0.175,0.175,0.1,0.1,0.175
201,96.3,20.58,1.575,0.32,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.175,0.1,0.1,0.175
202,97,20.74,1.575,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.15,0.1,0.1,0.15
