wavelength,blank
190,89.8
191,90
192,91.9
193,92.5
194,93.4
195,94.7
196,95.2
197,95.2
198,95.4
199,95.5
200,95.8
201,96.3
202,97
203,97
204,97.2
205,97.2
206,97.4
207,97.4
208,97.4
209,97.3
210,97.3
211,97.3
212,97.3
213,97.3
214,97.4
215,97.5
216,97.6
217,98
218,98
219,98
220,98
221,98.3
222,98.5
223,98.5
224,98.5
225,98.6
226,98.6
227,98.7
228,98.9
229,98.9
230,99.5
231,99.5
232,99.5
233,99.4
234,99.3
235,99.1
236,99
237,98.9
238,98.8
239,98.8
240,98.8
241,98.9
242,99.1
243,99.1
244,99.1
245,99.1
246,99.1
247,99.3
248,99.2
249,99.2
250,99.5
251,99.5
252,99.3
253,99.4
254,99.3
255,99.2
256,99.1
257,99.1
258,99.1
259,99.1
260,99.4
261,99.4
262,99.4
263,99.3
264,99.3
265,99.3
266,98.9
267,98.8
268,98.6
269,98.6
270,98.6
271,98.6
272,98.6
273,98.6
274,98.5
275,98.6
276,98.3
277,98.2
278,98.2
279,98.2
280,98.2
281,98.2
282,98.2
283,98.1
284,98.1
285,98.3
286,98.5
287,98.5
288,98.4
289,98.2
290,98.3
291,97.8
292,97.7
293,97.6
294,97.7
295,97.6
296,97.6
297,97.8
298,97.8
299,97.7
300,97.5
301,97.5
302,97.5
303,97.7
304,97.7
305,97.8
306,97.8
307,97.9
308,97.8
309,97.8
310,98.1
311,98.2
312,98.2
313,98.3
314,98.3
315,98.3
316,98.3
317,98.4
318,98.4
319,98.4
320,98.2
321,98.1
322,98.1
323,98.2
324,98.2
325,98.2
326,98.1
327,98.1
328,98.2
329,98.2
330,98.2
331,98.2
332,98.2
333,98.2
334,98.2
335,98.2
336,98.4
337,98.4
338,98.5
339,98.4
340,98.4
341,98.4
342,98.4
343,98.4
344,98.4
345,98.4
346,98.3
347,98.3
348,98.2
349,98.2
350,98.1
351,98.1
352,98.1
353,98
354,98
355,97.9
356,97.7
357,97.9
358,97.4
359,97.4
360,97.4
361,97.3
362,97.3
363,97.3
364,97.3
365,97.6
366,97.7
367,97.7
368,97.8
369,97.8
370,97.8
371,97.8
372,97.8
373,97.8
374,97.7
375,97.7
376,97.8
377,97.8
378,97.8
379,97.7
380,97.7
381,97.8
382,97.8
383,97.9
384,97.9
385,97.8
386,97.8
387,97.8
388,97.9
389,97.8
390,97.8
391,97.8
392,97.8
393,97.7
394,97.7
395,97.8
396,97.8
397,97.8
398,98.1
399,98.1
400,98.1
401,98.1
402,98.1
403,98.1
404,98.1
405,98
406,98
407,98
408,98
409,98
410,98.1
411,98.1
412,98.1
413,98
414,98.1
415,98.1
416,98.1
417,98.1
418,98.1
419,98.1
420,98.1
