wavelength,blank,S8 Preheat,S8 Irrad 15,S8 PostIrrad Day 1,S8 PostIrrad Day 2,S8 PostIrrad Day 3,S8 PostIrrad Day 4,S8 PostIrrad Day 5
190,89.8,1.925,0.425,0.6,0.557142857,0.591666667,0.584,0.6
191,90,1.8,0.375,0.5,0.485714286,0.495833333,0.5,0.525
192,91.9,1.7,0.3,0.4,0.442857143,0.4375,0.42,0.45
193,92.5,1.625,0.25,0.4,0.371428571,0.3875,0.372,0.3875
194,93.4,1.575,0.2,0.3,0.328571429,0.316666667,0.32,0.3375
195,94.7,1.55,0.2,0.3,0.3,0.304166667,0.304,0.3
196,95.2,1.55,0.2,0.3,0.285714286,0.3,0.292,0.3
197,95.2,1.5,0.2,0.2,0.271428571,0.279166667,0.272,0.2625
198,95.4,1.5,0.2,0.2,0.2,0.229166667,0.236,0.2125
199,95.5,1.5,0.2,0.2,0.2,0.2,0.208,0.2125
200,95.8,1.5,0.175,0.2,0.2,0.2,0.204,0.2
201,96.3,1.575,0.175,0.2,0.2,0.2,0.2,0.2
202,97,1.575,0.15,0.2,0.2,0.2,0.2,0.2
203,97,1.6,0.1,0.2,0.2,0.2,0.2,0.2
204,97.2,1.7,0.1,0.2,0.2,0.2,0.2,0.2
205,97.2,1.8,0.1,0.2,0.2,0.2,0.2,0.2
206,97.4,1.925,0.1,0.2,0.2,0.195833333,0.196,0.2
207,97.4,2.1,0.1,0.2,0.185714286,0.191666667,0.196,0.1875
208,97.4,2.3,0.1,0.1,0.171428571,0.183333333,0.184,0.1875
209,97.3,2.6,0.1,0.1,0.157142857,0.166666667,0.164,0.175
210,97.3,2.925,0.1,0.1,0.142857143,0.166666667,0.152,0.1625
211,97.3,3.275,0.1,0.1,0.114285714,0.154166667,0.132,0.1375
212,97.3,3.675,0.1,0.1,0.1,0.129166667,0.108,0.1
213,97.3,4.15,0.1,0.1,0.1,0.116666667,0.1,0.1
214,97.4,4.65,0.1,0.1,0.1,0.104166667,0.1,0.1
215,97.5,4.8,0.1,0.1,0.1,0.1,0.1,0.1
216,97.6,5.125,0,0,0,0.008333333,0,0
217,98,5.725,0,0,0,0,0,0
218,98,6.35,0,0,0,0,0,0
219,98,7,0,0,0,0,0,0
220,98,7.65,0,0,0,0,0,0
221,98.3,8.35,0,0,0,0,0,0
222,98.5,8.95,0,0,0,0,0,0
223,98.5,9.85,0,0,0,0,0,0
224,98.5,10.45,0.1,0.1,0.1,0.1,0.096,0.1
225,98.6,10.925,0.1,0.1,0.1,0.1,0.1,0.1
226,98.6,11.3,0.1,0.1,0.1,0.1,0.1,0.1
227,98.7,11.55,0.1,0.1,0.1,0.1,0.1,0.1
228,98.9,11.625,0.1,0.1,0.1,0.1,0.1,0.1
