S7 Unclean,,
S7 Unclean 1,"Date : 20/07/2021, 11:06:00",
Wavelength (nm),ABS,%T
190,1.664,2.2
191,1.706,2
192,1.739,1.8
193,1.755,1.8
194,1.76,1.7
195,1.775,1.7
196,1.776,1.7
197,1.782,1.7
198,1.788,1.6
199,1.787,1.6
200,1.784,1.6
201,1.773,1.7
202,1.765,1.7
203,1.75,1.8
204,1.731,1.9
205,1.701,2
206,1.667,2.2
207,1.625,2.4
208,1.579,2.6
209,1.529,3
210,1.478,3.3
211,1.424,3.8
212,1.369,4.3
213,1.319,4.8
214,1.269,5.4
215,1.242,5.7
216,1.211,6.1
217,1.169,6.8
218,1.128,7.4
219,1.086,8.2
220,1.047,9
221,1.013,9.7
222,0.984,10.4
223,0.946,11.3
224,0.92,12
225,0.902,12.5
226,0.89,12.9
227,0.88,13.2
228,0.879,13.2
229,0.882,13.1
230,0.889,12.9
231,0.897,12.7
232,0.904,12.5
233,0.912,12.2
234,0.921,12
235,0.934,11.6
236,0.945,11.4
237,0.956,11.1
238,0.966,10.8
239,0.974,10.6
240,0.979,10.5
241,0.982,10.4
242,0.983,10.4
243,0.985,10.4
244,0.984,10.4
245,0.97,10.7
246,0.952,11.2
247,0.937,11.6
248,0.923,11.9
249,0.911,12.3
250,0.892,12.8
251,0.866,13.6
252,0.84,14.4
253,0.819,15.2
254,0.8,15.9
255,0.777,16.7
256,0.754,17.6
257,0.731,18.6
258,0.712,19.4
259,0.692,20.3
260,0.676,21.1
261,0.666,21.6
262,0.66,21.9
263,0.653,22.3
264,0.644,22.7
265,0.636,23.1
266,0.626,23.7
267,0.619,24.1
268,0.613,24.4
269,0.609,24.6
270,0.605,24.9
271,0.599,25.2
272,0.597,25.3
273,0.597,25.3
274,0.598,25.2
275,0.597,25.3
276,0.593,25.5
277,0.591,25.7
278,0.59,25.7
279,0.59,25.7
280,0.588,25.8
281,0.583,26.1
282,0.582,26.2
283,0.581,26.2
284,0.581,26.2
285,0.581,26.2
286,0.579,26.4
