wavelength,blank,S8 Preheat,S8 Postheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15
190,0.047,1.7135,1.6845,2.1132,2.175,2.1655,2.169,2.222,2.291,2.2736,2.3365,2.33575,2.318,2.36025,2.37425,2.416,2.4385,2.3765
191,0.046,1.7515,1.72125,2.173,2.25825,2.24775,2.23175,2.315,2.36475,2.3842,2.37075,2.4175,2.405,2.45075,2.47525,2.483,2.51925,2.453
192,0.037,1.77375,1.739,2.2274,2.312,2.34325,2.3115,2.37125,2.42225,2.4352,2.4215,2.46125,2.493,2.49525,2.52925,2.5225,2.56525,2.55875
193,0.034,1.79075,1.7615,2.2802,2.35825,2.4045,2.36875,2.42525,2.49475,2.4966,2.498,2.5245,2.535,2.5515,2.584,2.60525,2.6285,2.61875
194,0.03,1.80325,1.77325,2.3108,2.40175,2.432,2.42075,2.46525,2.5355,2.535,2.5665,2.592,2.58275,2.59575,2.64375,2.65375,2.67775,2.6635
195,0.024,1.808,1.7765,2.3416,2.438,2.4715,2.47575,2.4865,2.583,2.5758,2.58675,2.61975,2.6025,2.646,2.65375,2.73425,2.7115,2.673
196,0.021,1.81525,1.7825,2.3738,2.48525,2.49,2.52125,2.51875,2.62325,2.62,2.63075,2.6745,2.629,2.69725,2.71025,2.77175,2.755,2.74525
197,0.021,1.82025,1.788,2.4014,2.534,2.544,2.54625,2.57125,2.6475,2.6468,2.68675,2.69925,2.66275,2.74025,2.74125,2.782,2.8045,2.7755
198,0.021,1.82475,1.7895,2.4312,2.563,2.57025,2.57625,2.6035,2.6645,2.6838,2.72375,2.74275,2.69125,2.75275,2.7615,2.81025,2.821,2.7895
199,0.02,1.8255,1.79075,2.4586,2.60625,2.587,2.612,2.62075,2.69375,2.7138,2.73425,2.766,2.71825,2.763,2.7835,2.85525,2.8545,2.79725
200,0.019,1.82075,1.789,2.4636,2.617,2.61175,2.612,2.64225,2.6975,2.7216,2.751,2.78025,2.72625,2.7785,2.794,2.85925,2.86375,2.7995
201,0.016,1.8085,1.7825,2.4706,2.62275,2.6145,2.6295,2.65425,2.71725,2.7508,2.74775,2.78075,2.74925,2.78725,2.7985,2.86075,2.9055,2.80225
202,0.013,1.80025,1.779,2.4916,2.6495,2.62875,2.63975,2.687,2.735,2.7592,2.77325,2.807,2.779,2.79275,2.8165,2.8655,2.91575,2.8315
203,0.013,1.78925,1.76925,2.5286,2.6845,2.66275,2.664,2.72425,2.76,2.76,2.78675,2.8305,2.80625,2.80575,2.8415,2.8945,2.94175,2.8535
204,0.012,1.77,1.753,2.5408,2.704,2.674,2.68975,2.74825,2.7895,2.7894,2.802,2.846,2.853,2.84225,2.8575,2.92,2.96625,2.87775
205,0.012,1.7455,1.73225,2.5692,2.72575,2.7,2.7245,2.76725,2.81575,2.8002,2.82825,2.875,2.863,2.87975,2.87425,2.955,2.97,2.89425
206,0.012,1.71525,1.7025,2.5792,2.75725,2.72675,2.755,2.78175,2.8365,2.8398,2.8365,2.90525,2.87475,2.90075,2.9065,2.94975,2.982,2.923
207,0.011,1.678,1.66825,2.5874,2.7625,2.74225,2.767,2.79375,2.8485,2.8436,2.85725,2.91375,2.88475,2.90225,2.91075,2.96825,2.983,2.9405
208,0.011,1.6355,1.6275,2.594,2.7735,2.75725,2.77475,2.7985,2.853,2.8556,2.86925,2.92425,2.89975,2.92525,2.92875,2.9715,2.9855,2.936
209,0.012,1.5865,1.581,2.5952,2.77875,2.7595,2.7905,2.80075,2.857,2.8652,2.88225,2.92875,2.9015,2.93075,2.93225,2.97275,2.9875,2.9385
210,0.012,1.5355,1.53275,2.5984,2.78925,2.76325,2.78875,2.81575,2.865,2.872,2.89425,2.94525,2.91025,2.93375,2.9405,2.98375,2.9965,2.949
