wavelength,blank,S8 Postheat,S8 Preheat
190,89.8,19.62,1.925
191,90,19.54,1.8
192,91.9,19.84,1.7
193,92.5,19.88,1.625
194,93.4,20.04,1.575
195,94.7,20.28,1.55
196,95.2,20.34,1.55
197,95.2,20.32,1.5
198,95.4,20.36,1.5
199,95.5,20.38,1.5
200,95.8,20.46,1.5
201,96.3,20.58,1.575
202,97,20.74,1.575
203,97,20.76,1.6
204,97.2,20.88,1.7
205,97.2,20.9,1.8
206,97.4,21.08,1.925
207,97.4,21.18,2.1
208,97.4,21.36,2.3
209,97.3,21.56,2.6
210,97.3,21.8,2.925
211,97.3,22.1,3.275
212,97.3,22.44,3.675
213,97.3,22.78,4.15
214,97.4,23.2,4.65
215,97.5,23.34,4.8
216,97.6,23.64,5.125
217,98,24.18,5.725
218,98,24.66,6.35
219,98,25.18,7
220,98,25.74,7.65
221,98.3,26.32,8.35
222,98.5,26.86,8.95
223,98.5,27.54,9.85
224,98.5,28.04,10.45
225,98.6,28.42,10.925
226,98.6,28.72,11.3
227,98.7,28.96,11.55
228,98.9,29.06,11.625
229,98.9,29.02,11.55
230,99.5,28.98,11.4
231,99.5,28.8,11.225
232,99.5,28.64,11
233,99.4,28.44,10.775
234,99.3,28.22,10.5
235,99.1,27.96,10.2
236,99,27.74,9.95
237,98.9,27.5,9.7
238,98.8,27.26,9.45
239,98.8,27.12,9.275
240,98.8,27.02,9.15
241,98.9,27.04,9.1
242,99.1,27.08,9.075
243,99.1,27.02,9.075
244,99.1,27,9.025
245,99.1,27.08,9.15
246,99.1,27.4,9.525
247,99.3,27.8,9.925
248,99.2,28.02,10.2
249,99.2,28.22,10.525
250,99.5,28.56,10.875
251,99.5,29.04,11.5
252,99.3,29.56,12.2
253,99.4,30.18,12.875
254,99.3,30.68,13.525
255,99.2,31.16,14.175
256,99.1,31.68,14.85
257,99.1,32.36,15.65
258,99.1,33.02,16.425
259,99.1,33.7,17.25
260,99.4,34.38,18.05
261,99.4,34.78,18.5
262,99.4,34.9,18.7
263,99.3,35,18.975
264,99.3,35.34,19.35
265,99.3,35.72,19.775
266,98.9,36.02,20.125
267,98.8,36.42,20.55
268,98.6,36.58,20.85
269,98.6,36.78,21.05
270,98.6,36.92,21.25
271,98.6,37.12,21.55
272,98.6,37.34,21.75
273,98.6,37.38,21.775
274,98.5,37.36,21.65
275,98.6,37.38,21.725
276,98.3,37.38,21.825
277,98.2,37.52,21.925
278,98.2,37.62,22
279,98.2,37.68,22
280,98.2,37.7,22.025
281,98.2,37.86,22.1
282,98.2,37.98,22.325
283,98.1,37.96,22.375
284,98.1,37.96,22.35
285,98.3,38.04,22.4
286,98.5,38.2,22.575
287,98.5,38.28,22.65
288,98.4,38.26,22.65
289,98.2,38.22,22.725
290,98.3,38.42,22.875
291,97.8,38.42,23.05
292,97.7,38.4,23.075
293,97.6,38.4,23.1
294,97.7,38.58,23.15
295,97.6,38.66,23.375
296,97.6,38.74,23.375
297,97.8,38.86,23.55
298,97.8,38.88,23.575
299,97.7,38.84,23.55
300,97.5,38.76,23.55
301,97.5,38.82,23.575
302,97.5,38.88,23.6
303,97.7,39.04,23.775
304,97.7,39.1,23.85
305,97.8,39.18,24.025
306,97.8,39.32,24.25
307,97.9,39.64,24.525
308,97.8,39.78,24.775
309,97.8,39.88,25
310,98.1,40,25.025
311,98.2,40.08,25.05
312,98.2,40.1,25.175
313,98.3,40.26,25.375
314,98.3,40.5,25.675
315,98.3,40.5,25.65
316,98.3,40.36,25.55
317,98.4,40.46,25.6
318,98.4,40.62,25.85
319,98.4,40.76,26
320,98.2,40.74,26.05
321,98.1,40.86,26.325
322,98.1,41.24,26.875
323,98.2,41.56,27.15
324,98.2,41.56,27.15
325,98.2,41.42,27.05
326,98.1,41.4,27.025
327,98.1,41.38,27.025
328,98.2,41.5,27.25
329,98.2,41.68,27.525
330,98.2,41.92,27.825
331,98.2,42.14,28.05
332,98.2,42.26,28.175
333,98.2,42.26,28.2
334,98.2,42.2,28.2
335,98.2,42.26,28.3
336,98.4,42.48,28.475
337,98.4,42.64,28.725
338,98.5,42.74,28.825
339,98.4,42.8,28.975
340,98.4,42.92,29.2
