wavelength,blank,S8 Preheat,S8 Postheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 PostIrrad Day 1,S8 PostIrrad Day 2,S8 PostIrrad Day 3,S8 PostIrrad Day 4,S8 PostIrrad Day 5
190,89.8,1.925,19.62,0.78,0.65,0.7,0.675,0.6,0.5,0.54,0.475,0.475,0.475,0.425,0.4,0.375,0.375,0.425,0.6,0.557142857,0.591666667,0.584,0.6
191,90,1.8,19.54,0.66,0.55,0.575,0.6,0.5,0.425,0.42,0.4,0.4,0.4,0.35,0.3,0.375,0.3,0.375,0.5,0.485714286,0.495833333,0.5,0.525
192,91.9,1.7,19.84,0.6,0.5,0.45,0.5,0.425,0.4,0.36,0.4,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.442857143,0.4375,0.42,0.45
193,92.5,1.625,19.88,0.5,0.425,0.4,0.425,0.35,0.3,0.3,0.325,0.3,0.3,0.3,0.275,0.225,0.225,0.25,0.4,0.371428571,0.3875,0.372,0.3875
194,93.4,1.575,20.04,0.5,0.4,0.375,0.375,0.35,0.3,0.3,0.3,0.25,0.275,0.275,0.225,0.2,0.2,0.2,0.3,0.328571429,0.316666667,0.32,0.3375
195,94.7,1.55,20.28,0.46,0.35,0.35,0.35,0.325,0.3,0.28,0.3,0.25,0.25,0.225,0.2,0.2,0.2,0.2,0.3,0.3,0.304166667,0.304,0.3
196,95.2,1.55,20.34,0.4,0.325,0.35,0.325,0.3,0.225,0.24,0.225,0.2,0.225,0.2,0.2,0.2,0.2,0.2,0.3,0.285714286,0.3,0.292,0.3
197,95.2,1.5,20.32,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,0.271428571,0.279166667,0.272,0.2625
198,95.4,1.5,20.36,0.38,0.3,0.3,0.275,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.15,0.2,0.2,0.2,0.229166667,0.236,0.2125
199,95.5,1.5,20.38,0.34,0.225,0.275,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.1,0.125,0.2,0.2,0.2,0.2,0.208,0.2125
200,95.8,1.5,20.46,0.34,0.225,0.225,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.175,0.1,0.1,0.175,0.2,0.2,0.2,0.204,0.2
201,96.3,1.575,20.58,0.32,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.175,0.1,0.1,0.175,0.2,0.2,0.2,0.2,0.2
202,97,1.575,20.74,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.175,0.15,0.1,0.1,0.15,0.2,0.2,0.2,0.2,0.2
203,97,1.6,20.76,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.2,0.175,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
204,97.2,1.7,20.88,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.125,0.125,0.15,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
205,97.2,1.8,20.9,0.28,0.2,0.2,0.2,0.2,0.175,0.18,0.15,0.1,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
206,97.4,1.925,21.08,0.28,0.2,0.2,0.2,0.2,0.125,0.12,0.125,0.1,0.125,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.195833333,0.196,0.2
207,97.4,2.1,21.18,0.28,0.2,0.2,0.2,0.175,0.125,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.185714286,0.191666667,0.196,0.1875
