wavelength,S8 Unclean 1,S8 Unclean 2,S8 Unclean 3,S8 Unclean 4,S8 Unclean 5,S8 Clean 1,S8 Clean 2,S8 Clean 3,S8 Clean 4
190,2,2,1.9,1.9,1.9,2.1,2.1,2,2
191,1.8,1.8,1.8,1.7,1.8,2,2,1.9,1.9
192,1.7,1.7,1.7,1.7,1.7,1.9,1.8,1.9,1.8
193,1.7,1.7,1.7,1.7,1.6,1.8,1.8,1.8,1.8
194,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
195,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
196,1.6,1.6,1.6,1.5,1.6,1.7,1.7,1.7,1.7
197,1.5,1.6,1.6,1.5,1.5,1.7,1.7,1.6,1.7
198,1.5,1.6,1.5,1.5,1.5,1.7,1.6,1.6,1.6
199,1.5,1.6,1.5,1.5,1.5,1.7,1.6,1.6,1.6
200,1.6,1.6,1.6,1.5,1.5,1.7,1.7,1.7,1.7
201,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
202,1.7,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.7
203,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8
204,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9
205,1.9,1.9,1.9,1.9,1.9,2,2,2,2
206,2.1,2.1,2,2.1,2.1,2.2,2.2,2.2,2.2
207,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4
208,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.6,2.6
209,2.8,2.8,2.8,2.8,2.8,3,3,2.9,3
210,3.2,3.2,3.2,3.1,3.1,3.4,3.3,3.3,3.3
211,3.6,3.6,3.6,3.6,3.6,3.8,3.7,3.7,3.7
212,4.1,4.1,4.1,4,4,4.3,4.2,4.2,4.2
213,4.6,4.6,4.6,4.5,4.5,4.8,4.7,4.7,4.7
214,5.2,5.2,5.1,5.1,5.1,5.3,5.3,5.3,5.2
215,5.4,5.3,5.5,5.5,5.4,5.5,5.4,5.5,5.4
216,5.8,5.8,5.9,5.9,5.8,6,5.8,5.8,5.9
217,6.4,6.5,6.2,6.4,6.4,6.6,6.4,6.5,6.5
218,7.2,7.2,7,7.1,7.1,7.3,7.2,7.2,7.2
219,7.9,7.9,7.7,7.7,7.8,8,7.9,7.9,7.9
220,8.6,8.6,8.5,8.5,8.6,8.8,8.7,8.7,8.6
221,9.3,9.3,9.3,9.2,9.3,9.5,9.4,9.4,9.3
222,10,10,10,9.9,10,10.2,10.1,10.1,10
223,10.9,10.9,10.8,10.8,10.8,11.1,11,11,10.9
224,11.5,11.5,11.4,11.4,11.4,11.7,11.6,11.6,11.5
225,12,12,11.9,11.9,11.9,12.2,12.2,12.1,12.1
226,12.3,12.3,12.3,12.3,12.2,12.7,12.6,12.5,12.5
227,12.6,12.6,12.5,12.5,12.5,12.9,12.8,12.8,12.8
228,12.6,12.6,12.5,12.5,12.5,12.9,12.8,12.9,12.8
229,12.4,12.4,12.4,12.4,12.4,12.8,12.7,12.8,12.7
230,12.3,12.2,12.2,12.3,12.2,12.6,12.5,12.5,12.5
231,12.1,12,12,12,12,12.4,12.3,12.3,12.2
232,11.8,11.8,11.8,11.8,11.7,12.2,12.1,12,12
233,11.6,11.6,11.6,11.5,11.5,11.9,11.8,11.7,11.7
234,11.3,11.3,11.3,11.2,11.2,11.6,11.5,11.4,11.4
235,11,11,10.9,10.9,10.9,11.3,11.2,11.1,11.1
236,10.7,10.6,10.6,10.6,10.6,11,10.9,10.8,10.8
237,10.4,10.4,10.4,10.3,10.3,10.8,10.7,10.6,10.6
238,10.2,10.1,10.1,10.1,10,10.5,10.4,10.3,10.3
