S8 Preheat,,
S8 Preheat 1,"Date : 22/07/2021, 10:44:14",
Wavelength (nm),ABS,%T
190,1.713,1.9
191,1.751,1.8
192,1.759,1.7
193,1.78,1.7
194,1.794,1.6
195,1.802,1.6
196,1.807,1.6
197,1.812,1.5
198,1.816,1.5
199,1.816,1.5
200,1.81,1.5
201,1.801,1.6
202,1.795,1.6
203,1.785,1.6
204,1.764,1.7
205,1.738,1.8
206,1.71,2
207,1.672,2.1
208,1.631,2.3
209,1.582,2.6
210,1.529,3
211,1.476,3.3
212,1.427,3.7
213,1.376,4.2
214,1.327,4.7
215,1.316,4.8
216,1.281,5.2
217,1.237,5.8
218,1.196,6.4
219,1.153,7
220,1.112,7.7
221,1.077,8.4
222,1.045,9
223,1.004,9.9
224,0.977,10.5
225,0.958,11
226,0.944,11.4
227,0.934,11.6
228,0.931,11.7
229,0.936,11.6
230,0.941,11.5
231,0.946,11.3
232,0.956,11.1
233,0.964,10.9
234,0.975,10.6
235,0.987,10.3
236,0.998,10
237,1.01,9.8
238,1.021,9.5
239,1.029,9.4
240,1.036,9.2
241,1.038,9.2
242,1.04,9.1
243,1.041,9.1
244,1.043,9.1
245,1.036,9.2
246,1.018,9.6
247,1.001,10
248,0.989,10.2
249,0.977,10.5
250,0.962,10.9
251,0.937,11.6
252,0.911,12.3
253,0.887,13
254,0.865,13.6
255,0.846,14.3
256,0.825,15
257,0.802,15.8
258,0.781,16.6
259,0.76,17.4
260,0.74,18.2
261,0.73,18.6
262,0.726,18.8
263,0.719,19.1
264,0.709,19.5
265,0.7,20
266,0.694,20.2
267,0.683,20.7
268,0.677,21
269,0.673,21.2
270,0.669,21.4
271,0.663,21.7
272,0.658,22
273,0.658,22
274,0.66,21.9
275,0.66,21.9
276,0.656,22.1
277,0.653,22.2
278,0.652,22.3
279,0.652,22.3
280,0.652,22.3
281,0.651,22.3
282,0.646,22.6
283,0.646,22.6
284,0.646,22.6
285,0.644,22.7
286,0.642,22.8
287,0.639,23
288,0.639,23
289,0.638,23
290,0.636,23.1
291,0.631,23.4
292,0.631,23.4
293,0.631,23.4
294,0.629,23.5
295,0.625,23.7
296,0.624,23.7
297,0.623,23.8
298,0.623,23.8
299,0.623,23.8
300,0.623,23.8
301,0.622,23.9
302,0.621,23.9
303,0.619,24
304,0.617,24.1
305,0.614,24.3
306,0.61,24.5
307,0.606,24.8
308,0.601,25
309,0.599,25.2
310,0.598,25.3
311,0.598,25.3
312,0.595,25.4
313,0.592,25.6
314,0.587,25.9
315,0.588,25.8
316,0.588,25.8
317,0.587,25.9
318,0.583,26.1
319,0.58,26.3
320,0.579,26.4
321,0.574,26.6
322,0.566,27.2
323,0.562,27.4
324,0.562,27.4
325,0.563,27.3
326,0.564,27.3
327,0.564,27.3
328,0.56,27.5
329,0.556,27.8
330,0.552,28.1
331,0.547,28.4
332,0.546,28.4
333,0.545,28.5
334,0.545,28.5
335,0.544,28.6
336,0.54,28.8
337,0.537,29
338,0.536,29.1
339,0.534,29.2
340,0.531,29.5
341,0.526,29.8
342,0.522,30.1
343,0.521,30.1
344,0.522,30
345,0.525,29.8
346,0.525,29.9
347,0.521,30.2
348,0.517,30.4
349,0.514,30.6
350,0.512,30.7
351,0.51,30.9
352,0.507,31.1
353,0.506,31.2
354,0.505,31.2
355,0.503,31.4
356,0.502,31.5
357,0.506,31.2
358,0.506,31.2
359,0.502,31.5
360,0.502,31.5
361,0.503,31.4
362,0.507,31.1
363,0.507,31.1
364,0.507,31.1
365,0.506,31.2
366,0.505,31.2
367,0.503,31.4
368,0.5,31.6
369,0.497,31.9
370,0.495,32
371,0.495,32
372,0.494,32
373,0.494,32.1
374,0.493,32.1
375,0.491,32.3
376,0.491,32.2
377,0.496,32
378,0.497,31.8
379,0.498,31.8
380,0.498,31.8
381,0.498,31.8
382,0.497,31.8
383,0.497,31.8
384,0.497,31.8
385,0.497,31.8
386,0.498,31.8
387,0.497,31.8
388,0.497,31.8
389,0.497,31.8
390,0.485,32.7
391,0.482,33
392,0.48,33.1
393,0.479,33.2
394,0.48,33.1
395,0.48,33.1
396,0.48,33.1
397,0.477,33.4
398,0.477,33.4
399,0.476,33.4
400,0.476,33.5
401,0.475,33.5
402,0.474,33.6
403,0.473,33.6
404,0.473,33.6
405,0.474,33.6
406,0.473,33.6
407,0.473,33.6
408,0.472,33.7
409,0.472,33.8
410,0.472,33.8
411,0.472,33.7
412,0.472,33.7
413,0.472,33.7
414,0.472,33.8
415,0.47,33.9
416,0.47,33.9
417,0.469,34
418,0.469,34
419,0.467,34.1
420,0.467,34.2
421,0.467,34.1
422,0.467,34.1
423,0.467,34.1
424,0.467,34.1
425,0.467,34.1
426,0.467,34.1
427,0.467,34.1
428,0.467,34.1
429,0.467,34.2
430,0.466,34.2
431,0.466,34.2
432,0.465,34.3
433,0.465,34.3
434,0.465,34.3
435,0.465,34.3
436,0.463,34.4
437,0.463,34.4
438,0.462,34.5
439,0.462,34.5
440,0.462,34.6
441,0.461,34.6
442,0.461,34.6
443,0.461,34.6
444,0.461,34.6
445,0.46,34.7
