wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
190,2.207,2.31725,2.3392500000000003,2.348,2.33025,2.32875,2.30825,2.26875,2.2856,2.2842499999999997,2.29575,2.2895000000000003,2.2912500000000002,2.35075,2.3449999999999998,2.31025,1.6827999999999999,1.7053333333333331,1.6405,1.692
191,2.3075,2.3855,2.4267499999999997,2.4472500000000004,2.3945,2.4017500000000003,2.3729999999999998,2.34775,2.3654,2.3705,2.40525,2.39025,2.38525,2.4387499999999998,2.44025,2.3907499999999997,1.7242000000000002,1.7483333333333333,1.68775,1.736
192,2.39975,2.45725,2.4825,2.498,2.44125,2.4730000000000003,2.4685,2.4002499999999998,2.4298,2.428,2.4385,2.43825,2.45675,2.48825,2.47975,2.4667499999999998,1.7541999999999998,1.7776666666666667,1.713,1.762
193,2.4589999999999996,2.52225,2.5755000000000003,2.55925,2.51425,2.55725,2.52625,2.4619999999999997,2.5186,2.4965,2.5255,2.53275,2.51025,2.5535,2.55475,2.55225,1.7702000000000002,1.8003333333333333,1.741,1.784
194,2.5149999999999997,2.58375,2.61425,2.60525,2.546,2.6182499999999997,2.5475,2.51275,2.563,2.5672499999999996,2.58,2.598,2.572,2.609,2.592,2.56775,1.7752,1.8106666666666669,1.7534999999999998,1.8
195,2.5365,2.614,2.6537499999999996,2.6717500000000003,2.60675,2.6742500000000002,2.5889999999999995,2.57725,2.6138,2.5997500000000002,2.6189999999999998,2.6245000000000003,2.60425,2.6445,2.612,2.6355,1.7802,1.8150000000000002,1.76075,1.8
196,2.56825,2.6495,2.689,2.69725,2.65775,2.693,2.6395,2.6085,2.6344000000000003,2.63725,2.66425,2.681,2.64175,2.7155,2.66575,2.6595,1.7881999999999998,1.8226666666666667,1.7675,1.807
197,2.5865,2.66625,2.723,2.73125,2.69125,2.7175000000000002,2.65275,2.6465,2.6726,2.683,2.6745,2.72325,2.685,2.7744999999999997,2.7117500000000003,2.71,1.7952,1.8293333333333335,1.7705000000000002,1.815
198,2.61825,2.704,2.7705,2.7455000000000003,2.71875,2.7504999999999997,2.6947500000000004,2.6635,2.7322,2.6944999999999997,2.7142500000000003,2.7615,2.7115,2.791,2.7495000000000003,2.74775,1.8008,1.834666666666667,1.7745,1.817
199,2.648,2.752,2.81075,2.7544999999999997,2.74775,2.7750000000000004,2.72075,2.68225,2.7384,2.7295000000000003,2.7234999999999996,2.787,2.7277500000000003,2.807,2.7655000000000003,2.7757500000000004,1.8028,1.8376666666666666,1.77525,1.822
200,2.66025,2.7715,2.81975,2.775,2.765,2.79325,2.729,2.7,2.7536,2.76975,2.765,2.8015,2.75975,2.8129999999999997,2.7795,2.7887500000000003,1.8014,1.8363333333333334,1.77325,1.821
201,2.6759999999999997,2.7832500000000002,2.81975,2.7917499999999995,2.78125,2.80775,2.732,2.72675,2.771,2.7835,2.777,2.8047500000000003,2.7722499999999997,2.8115,2.8045,2.7897499999999997,1.7952,1.8313333333333333,1.76,1.819
202,2.69575,2.79325,2.83325,2.80975,2.811,2.82675,2.74575,2.74425,2.8028,2.80025,2.78875,2.80925,2.783,2.837,2.8182500000000004,2.8057499999999997,1.7890000000000001,1.8216666666666665,1.75075,1.81
203,2.7465,2.8075,2.868,2.844,2.8327500000000003,2.8417499999999998,2.77025,2.75525,2.8190000000000004,2.8235,2.818,2.8347499999999997,2.796,2.8529999999999998,2.859,2.8242499999999997,1.7762,1.8126666666666666,1.738,1.809
204,2.77325,2.8314999999999997,2.89025,2.886,2.8345,2.873,2.815,2.7864999999999998,2.8590000000000004,2.8485,2.843,2.87125,2.81475,2.8815,2.8945,2.85325,1.7628,1.798,1.72325,1.787
205,2.819,2.847,2.91075,2.919,2.8985000000000003,2.9004999999999996,2.8352500000000003,2.822,2.875,2.88375,2.86475,2.89125,2.8289999999999997,2.91075,2.9152499999999995,2.8702500000000004,1.7391999999999999,1.777,1.7005,1.763
206,2.8339999999999996,2.88,2.9212499999999997,2.94475,2.9174999999999995,2.92225,2.8545,2.8447500000000003,2.8850000000000002,2.88725,2.8804999999999996,2.91025,2.8520000000000003,2.93075,2.9507499999999998,2.89275,1.7112000000000003,1.7489999999999999,1.6695,1.737
207,2.8502500000000004,2.88275,2.93375,2.96,2.92275,2.9490000000000003,2.874,2.8625000000000003,2.905,2.90725,2.8957499999999996,2.9212499999999997,2.87225,2.9475,2.9565,2.92325,1.6764,1.711,1.6324999999999998,1.701
208,2.85125,2.88625,2.9445,2.9625000000000004,2.9212499999999997,2.975,2.89725,2.871,2.9238,2.923,2.90525,2.9387499999999998,2.879,2.9485,2.96825,2.9322500000000002,1.6366,1.672,1.589,1.661
209,2.86425,2.9027499999999997,2.95125,2.97275,2.9292499999999997,2.9825000000000004,2.9095,2.8747499999999997,2.9343999999999997,2.9315,2.915,2.9465,2.895,2.9665,2.969,2.9515,1.5886,1.626666666666667,1.5407499999999998,1.615
210,2.87,2.9295,2.9537500000000003,2.98625,2.949,2.99125,2.9204999999999997,2.8925,2.94,2.94325,2.933,2.9507499999999998,2.90325,2.9665,2.97275,2.9655,1.5416,1.579,1.491,1.567
211,2.88825,2.9185,2.9685,2.9905,2.9567500000000004,2.993,2.9245,2.8990000000000005,2.9546,2.9555,2.94475,2.9727500000000004,2.9117499999999996,2.9575,2.9825,2.976,1.491,1.5306666666666668,1.4392500000000001,1.517
212,2.88975,2.9307499999999997,2.9619999999999997,2.997,2.9615,2.98875,2.9295000000000004,2.9185,2.9548,2.96,2.9502499999999996,2.97475,2.91875,2.9707500000000002,2.99825,2.9844999999999997,1.4406,1.4773333333333334,1.38625,1.465
213,2.89425,2.9457500000000003,2.9695,2.98875,2.97,2.99625,2.94025,2.925,2.9634,2.9720000000000004,2.95275,2.97325,2.92725,2.9825,2.99975,2.9857500000000003,1.3925999999999998,1.4293333333333333,1.338,1.416
214,2.914,2.9465000000000003,2.9907500000000002,2.98975,2.9724999999999997,2.9995000000000003,2.95225,2.9387499999999998,2.9661999999999997,2.9745,2.96825,2.97825,2.941,2.9865000000000004,3.0,2.9865,1.3428,1.3803333333333334,1.2850000000000001,1.368
215,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3326,1.3686666666666667,1.26875,1.357
216,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.3044,1.3423333333333334,1.23775,1.326
217,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2574,1.2963333333333333,1.1895,1.282
218,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2098,1.249,1.1432499999999999,1.238
219,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1703999999999999,1.2066666666666668,1.10175,1.196
220,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.129,1.1680000000000001,1.06025,1.156
