wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
190,0.625,0.475,0.44999999999999996,0.42500000000000004,0.5,0.44999999999999996,0.475,0.525,0.52,0.525,0.5,0.525,0.525,0.45,0.42500000000000004,0.5,2.08,1.9666666666666668,2.275,2.0
191,0.5,0.4,0.37500000000000006,0.35000000000000003,0.4,0.4,0.42500000000000004,0.44999999999999996,0.42000000000000004,0.42500000000000004,0.4,0.42500000000000004,0.4,0.35,0.375,0.4,1.9,1.8,2.0749999999999997,1.8
192,0.4,0.375,0.325,0.325,0.4,0.325,0.35,0.4,0.38,0.375,0.375,0.375,0.375,0.3,0.35000000000000003,0.35,1.7399999999999998,1.6666666666666667,1.9249999999999998,1.7
193,0.35,0.3,0.275,0.3,0.3,0.3,0.3,0.325,0.3,0.325,0.3,0.3,0.3,0.275,0.275,0.275,1.72,1.5666666666666667,1.8,1.6
194,0.3,0.27499999999999997,0.25,0.275,0.3,0.22499999999999998,0.3,0.3,0.3,0.3,0.27499999999999997,0.275,0.3,0.25,0.275,0.275,1.6599999999999997,1.5333333333333332,1.775,1.6
195,0.3,0.22499999999999998,0.2,0.2,0.25,0.2,0.25,0.27499999999999997,0.24,0.25,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.25,0.25,0.22499999999999998,1.6599999999999997,1.5333333333333332,1.75,1.6
196,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.27499999999999997,0.2,0.22499999999999998,0.2,0.2,0.22499999999999998,0.2,0.2,0.2,1.6199999999999999,1.5,1.7,1.6
197,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,1.6,1.5,1.7,1.5
198,0.22499999999999998,0.2,0.17500000000000002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,1.58,1.4666666666666668,1.7,1.5
199,0.2,0.2,0.17500000000000002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,1.58,1.4666666666666668,1.7,1.5
200,0.2,0.2,0.17500000000000002,0.2,0.175,0.17500000000000002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.175,1.58,1.4666666666666668,1.7,1.5
201,0.2,0.175,0.17500000000000002,0.2,0.2,0.17500000000000002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.175,1.6199999999999999,1.4666666666666668,1.725,1.5
202,0.2,0.175,0.125,0.175,0.175,0.15,0.2,0.2,0.16,0.2,0.2,0.175,0.2,0.125,0.15,0.175,1.6199999999999999,1.5,1.8,1.5
203,0.2,0.17500000000000002,0.1,0.1,0.15000000000000002,0.1,0.2,0.2,0.16,0.175,0.175,0.125,0.2,0.125,0.125,0.15000000000000002,1.6599999999999997,1.5333333333333332,1.825,1.6
204,0.2,0.15,0.1,0.1,0.15000000000000002,0.1,0.175,0.2,0.13999999999999999,0.1,0.125,0.1,0.15,0.1,0.1,0.125,1.72,1.6000000000000003,1.9,1.6
205,0.15000000000000002,0.125,0.1,0.1,0.1,0.1,0.15,0.175,0.1,0.1,0.1,0.1,0.125,0.1,0.1,0.1,1.8199999999999998,1.6666666666666667,2.0,1.7
206,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.92,1.8,2.125,1.8
207,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.12,1.9333333333333333,2.3249999999999997,2.0
208,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.3,2.1333333333333333,2.575,2.2
209,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.6,2.333333333333333,2.875,2.4
210,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.88,2.6333333333333333,3.2249999999999996,2.7
211,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.2199999999999998,2.966666666666667,3.625,3.0
212,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.62,3.3333333333333335,4.125,3.4
213,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.04,3.733333333333333,4.6,3.8
214,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.5200000000000005,4.166666666666667,5.199999999999999,4.3
215,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.640000000000001,4.3,5.375000000000001,4.4
