wavelength,blank,S9 Preheat,S9 Postheat,S9 Postheat Day 1,S9 Irrad 1,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15
190,1.692,1.6405,1.6828,1.705333333,2.207,2.26875,2.2856,2.28425,2.29575,2.2895,2.29125,2.35075,2.345,2.31025,2.31725,2.33925,2.348,2.33025,2.32875,2.30825
191,1.736,1.68775,1.7242,1.748333333,2.3075,2.34775,2.3654,2.3705,2.40525,2.39025,2.38525,2.43875,2.44025,2.39075,2.3855,2.42675,2.44725,2.3945,2.40175,2.373
192,1.762,1.713,1.7542,1.777666667,2.39975,2.40025,2.4298,2.428,2.4385,2.43825,2.45675,2.48825,2.47975,2.46675,2.45725,2.4825,2.498,2.44125,2.473,2.4685
193,1.784,1.741,1.7702,1.800333333,2.459,2.462,2.5186,2.4965,2.5255,2.53275,2.51025,2.5535,2.55475,2.55225,2.52225,2.5755,2.55925,2.51425,2.55725,2.52625
194,1.8,1.7535,1.7752,1.810666667,2.515,2.51275,2.563,2.56725,2.58,2.598,2.572,2.609,2.592,2.56775,2.58375,2.61425,2.60525,2.546,2.61825,2.5475
195,1.8,1.76075,1.7802,1.815,2.5365,2.57725,2.6138,2.59975,2.619,2.6245,2.60425,2.6445,2.612,2.6355,2.614,2.65375,2.67175,2.60675,2.67425,2.589
196,1.807,1.7675,1.7882,1.822666667,2.56825,2.6085,2.6344,2.63725,2.66425,2.681,2.64175,2.7155,2.66575,2.6595,2.6495,2.689,2.69725,2.65775,2.693,2.6395
197,1.815,1.7705,1.7952,1.829333333,2.5865,2.6465,2.6726,2.683,2.6745,2.72325,2.685,2.7745,2.71175,2.71,2.66625,2.723,2.73125,2.69125,2.7175,2.65275
198,1.817,1.7745,1.8008,1.834666667,2.61825,2.6635,2.7322,2.6945,2.71425,2.7615,2.7115,2.791,2.7495,2.74775,2.704,2.7705,2.7455,2.71875,2.7505,2.69475
199,1.822,1.77525,1.8028,1.837666667,2.648,2.68225,2.7384,2.7295,2.7235,2.787,2.72775,2.807,2.7655,2.77575,2.752,2.81075,2.7545,2.74775,2.775,2.72075
200,1.821,1.77325,1.8014,1.836333333,2.66025,2.7,2.7536,2.76975,2.765,2.8015,2.75975,2.813,2.7795,2.78875,2.7715,2.81975,2.775,2.765,2.79325,2.729
201,1.819,1.76,1.7952,1.831333333,2.676,2.72675,2.771,2.7835,2.777,2.80475,2.77225,2.8115,2.8045,2.78975,2.78325,2.81975,2.79175,2.78125,2.80775,2.732
202,1.81,1.75075,1.789,1.821666667,2.69575,2.74425,2.8028,2.80025,2.78875,2.80925,2.783,2.837,2.81825,2.80575,2.79325,2.83325,2.80975,2.811,2.82675,2.74575
203,1.809,1.738,1.7762,1.812666667,2.7465,2.75525,2.819,2.8235,2.818,2.83475,2.796,2.853,2.859,2.82425,2.8075,2.868,2.844,2.83275,2.84175,2.77025
204,1.787,1.72325,1.7628,1.798,2.77325,2.7865,2.859,2.8485,2.843,2.87125,2.81475,2.8815,2.8945,2.85325,2.8315,2.89025,2.886,2.8345,2.873,2.815
205,1.763,1.7005,1.7392,1.777,2.819,2.822,2.875,2.88375,2.86475,2.89125,2.829,2.91075,2.91525,2.87025,2.847,2.91075,2.919,2.8985,2.9005,2.83525
206,1.737,1.6695,1.7112,1.749,2.834,2.84475,2.885,2.88725,2.8805,2.91025,2.852,2.93075,2.95075,2.89275,2.88,2.92125,2.94475,2.9175,2.92225,2.8545
207,1.701,1.6325,1.6764,1.711,2.85025,2.8625,2.905,2.90725,2.89575,2.92125,2.87225,2.9475,2.9565,2.92325,2.88275,2.93375,2.96,2.92275,2.949,2.874
208,1.661,1.589,1.6366,1.672,2.85125,2.871,2.9238,2.923,2.90525,2.93875,2.879,2.9485,2.96825,2.93225,2.88625,2.9445,2.9625,2.92125,2.975,2.89725
209,1.615,1.54075,1.5886,1.626666667,2.86425,2.87475,2.9344,2.9315,2.915,2.9465,2.895,2.9665,2.969,2.9515,2.90275,2.95125,2.97275,2.92925,2.9825,2.9095
210,1.567,1.491,1.5416,1.579,2.87,2.8925,2.94,2.94325,2.933,2.95075,2.90325,2.9665,2.97275,2.9655,2.9295,2.95375,2.98625,2.949,2.99125,2.9205
211,1.517,1.43925,1.491,1.530666667,2.88825,2.899,2.9546,2.9555,2.94475,2.97275,2.91175,2.9575,2.9825,2.976,2.9185,2.9685,2.9905,2.95675,2.993,2.9245
