wavelength,blank,S9 Preheat,S9 Postheat,S9 Postheat Day 1,S9 Irrad 1,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6 ,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15
190,2,2.275,2.08,1.966666667,0.625,0.525,0.52,0.525,0.5,0.525,0.45,0.425,0.5,0.475,0.45,0.425,0.5,0.45,0.475
191,1.8,2.075,1.9,1.8,0.5,0.45,0.42,0.425,0.4,0.4,0.35,0.375,0.4,0.4,0.375,0.35,0.4,0.4,0.425
192,1.7,1.925,1.74,1.666666667,0.4,0.4,0.38,0.375,0.375,0.375,0.3,0.35,0.35,0.375,0.325,0.325,0.4,0.325,0.35
193,1.6,1.8,1.72,1.566666667,0.35,0.325,0.3,0.325,0.3,0.3,0.275,0.275,0.275,0.3,0.275,0.3,0.3,0.3,0.3
194,1.6,1.775,1.66,1.533333333,0.3,0.3,0.3,0.3,0.275,0.3,0.25,0.275,0.275,0.275,0.25,0.275,0.3,0.225,0.3
195,1.6,1.75,1.66,1.533333333,0.3,0.275,0.24,0.25,0.225,0.225,0.25,0.25,0.225,0.225,0.2,0.2,0.25,0.2,0.25
196,1.6,1.7,1.62,1.5,0.3,0.275,0.2,0.225,0.2,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
197,1.5,1.7,1.6,1.5,0.3,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
198,1.5,1.7,1.58,1.466666667,0.225,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,0.2,0.175,0.2,0.2,0.2,0.2
199,1.5,1.7,1.58,1.466666667,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.2,0.2,0.175,0.2,0.2,0.2,0.2
200,1.5,1.7,1.58,1.466666667,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.175,0.2,0.175,0.2,0.175,0.175,0.2
