S10 Preheat,,
S10 Preheat 1,"Date : 28/07/2021, 14:59:12",
Wavelength (nm),ABS,%T
190,1.661,2.2
191,1.693,2
192,1.718,1.9
193,1.741,1.8
194,1.756,1.8
195,1.761,1.7
196,1.769,1.7
197,1.776,1.7
198,1.778,1.7
199,1.776,1.7
200,1.774,1.7
201,1.761,1.7
202,1.754,1.8
203,1.749,1.8
204,1.731,1.9
205,1.707,2
206,1.676,2.1
207,1.638,2.3
208,1.594,2.5
209,1.546,2.8
210,1.501,3.2
211,1.449,3.6
212,1.397,4
213,1.347,4.5
214,1.294,5.1
215,1.281,5.2
216,1.242,5.7
217,1.197,6.4
218,1.155,7
219,1.115,7.7
220,1.077,8.4
221,1.042,9.1
222,1.011,9.7
223,0.97,10.7
224,0.944,11.4
225,0.924,11.9
226,0.91,12.3
227,0.9,12.6
228,0.898,12.7
229,0.9,12.6
230,0.909,12.3
231,0.913,12.2
232,0.921,12
233,0.929,11.8
234,0.938,11.5
235,0.95,11.2
236,0.962,10.9
237,0.975,10.6
238,0.985,10.4
239,0.993,10.2
240,0.999,10
241,1,10
242,1.002,10
243,1.004,9.9
244,1.004,9.9
245,0.998,10
246,0.981,10.4
247,0.963,10.9
248,0.948,11.3
249,0.939,11.5
250,0.924,11.9
251,0.903,12.5
252,0.876,13.3
253,0.851,14.1
254,0.83,14.8
255,0.81,15.5
256,0.788,16.3
257,0.765,17.2
258,0.744,18
259,0.723,18.9
260,0.705,19.7
261,0.695,20.2
262,0.689,20.5
263,0.686,20.6
264,0.676,21.1
265,0.666,21.6
266,0.656,22.1
267,0.647,22.5
268,0.641,22.8
269,0.639,23
270,0.635,23.2
271,0.629,23.5
272,0.624,23.8
273,0.623,23.8
274,0.625,23.7
275,0.625,23.7
276,0.623,23.8
277,0.621,23.9
278,0.618,24.1
279,0.617,24.2
280,0.616,24.2
281,0.615,24.3
282,0.609,24.6
283,0.609,24.6
284,0.61,24.6
285,0.609,24.6
286,0.608,24.6
287,0.608,24.7
288,0.608,24.7
289,0.607,24.7
290,0.604,24.9
291,0.601,25.1
292,0.601,25.1
293,0.601,25.1
294,0.6,25.1
295,0.599,25.2
296,0.597,25.3
297,0.595,25.4
298,0.595,25.4
299,0.595,25.4
300,0.595,25.4
301,0.594,25.5
302,0.591,25.6
303,0.59,25.7
304,0.589,25.8
305,0.587,25.9
306,0.584,26.1
307,0.578,26.4
308,0.573,26.7
309,0.57,26.9
310,0.57,26.9
311,0.57,26.9
312,0.569,27
313,0.567,27.1
314,0.562,27.4
315,0.562,27.4
316,0.564,27.3
317,0.563,27.4
318,0.557,27.8
319,0.555,27.8
320,0.555,27.9
321,0.552,28.1
322,0.543,28.6
323,0.539,28.9
324,0.54,28.9
325,0.543,28.6
326,0.544,28.6
327,0.543,28.6
328,0.54,28.8
329,0.536,29.1
330,0.532,29.4
331,0.527,29.7
332,0.525,29.9
333,0.525,29.8
334,0.526,29.8
335,0.525,29.8
336,0.522,30
337,0.52,30.2
338,0.519,30.3
339,0.516,30.4
340,0.513,30.7
341,0.509,31
342,0.505,31.3
343,0.504,31.3
344,0.507,31.1
345,0.507,31.1
346,0.508,31
347,0.505,31.2
348,0.503,31.4
349,0.5,31.6
350,0.497,31.9
351,0.492,32.2
352,0.491,32.2
353,0.491,32.3
354,0.491,32.3
355,0.488,32.5
356,0.488,32.5
357,0.489,32.5
358,0.488,32.5
359,0.486,32.7
360,0.488,32.5
361,0.497,31.9
362,0.498,31.8
363,0.499,31.7
364,0.5,31.6
365,0.497,31.8
366,0.495,32
367,0.494,32
368,0.489,32.5
369,0.485,32.7
370,0.484,32.8
371,0.484,32.8
372,0.483,32.9
373,0.48,33.1
374,0.478,33.2
375,0.478,33.3
376,0.478,33.3
377,0.481,33
378,0.488,32.5
379,0.488,32.5
380,0.488,32.5
381,0.485,32.7
382,0.485,32.7
383,0.485,32.7
384,0.485,32.7
385,0.485,32.7
386,0.485,32.7
387,0.486,32.7
388,0.486,32.7
389,0.484,32.8
390,0.475,33.5
391,0.467,34.1
392,0.467,34.1
393,0.467,34.1
394,0.467,34.1
395,0.468,34.1
396,0.467,34.1
397,0.467,34.1
398,0.465,34.3
399,0.465,34.3
400,0.464,34.4
401,0.463,34.5
402,0.462,34.6
403,0.461,34.6
404,0.46,34.6
405,0.46,34.6
406,0.46,34.6
407,0.46,34.6
408,0.459,34.8
409,0.458,34.8
410,0.458,34.8
411,0.458,34.8
412,0.458,34.8
413,0.458,34.8
414,0.458,34.8
415,0.458,34.9
416,0.456,35
417,0.455,35
418,0.455,35.1
419,0.453,35.2
420,0.452,35.3
421,0.453,35.3
422,0.453,35.2
423,0.453,35.2
424,0.454,35.2
425,0.454,35.2
426,0.454,35.1
427,0.454,35.1
428,0.454,35.1
429,0.454,35.1
430,0.454,35.1
431,0.454,35.2
432,0.453,35.2
433,0.453,35.3
434,0.451,35.4
435,0.451,35.4
436,0.45,35.5
437,0.449,35.5
438,0.448,35.6
439,0.448,35.6
440,0.447,35.7
441,0.447,35.7
442,0.447,35.7
443,0.447,35.8
444,0.446,35.8
445,0.445,35.9
446,0.443,36
447,0.443,36
448,0.443,36
449,0.443,36.1
450,0.442,36.2
451,0.441,36.2
452,0.441,36.2
453,0.44,36.3
454,0.439,36.4
455,0.439,36.4
456,0.438,36.5
457,0.435,36.7
458,0.432,37
459,0.432,37
460,0.431,37.1
461,0.432,36.9
462,0.433,36.9
463,0.433,36.9
464,0.43,37.1
465,0.429,37.2
466,0.429,37.3
467,0.428,37.3
468,0.428,37.3
469,0.427,37.4
470,0.427,37.4
471,0.425,37.6
472,0.425,37.6
473,0.423,37.8
474,0.422,37.9
475,0.421,38
476,0.419,38.1
477,0.416,38.4
478,0.415,38.5
479,0.414,38.6
480,0.411,38.8
481,0.407,39.2
482,0.401,39.7
483,0.398,40
484,0.399,39.9
485,0.405,39.3
486,0.406,39.3
487,0.404,39.5
488,0.404,39.4
489,0.404,39.4
490,0.403,39.6
491,0.4,39.8
492,0.401,39.7
493,0.402,39.6
494,0.402,39.6
495,0.399,39.9
496,0.395,40.3
497,0.394,40.3
498,0.394,40.3
499,0.394,40.4
500,0.392,40.6
501,0.39,40.8
502,0.389,40.8
503,0.387,41.1
504,0.386,41.1
505,0.386,41.1
506,0.384,41.3
507,0.382,41.5
508,0.38,41.6
509,0.379,41.8
510,0.377,41.9
511,0.377,42
512,0.377,42
513,0.377,42
514,0.375,42.1
515,0.373,42.3
516,0.372,42.5
517,0.369,42.7
518,0.37,42.6
519,0.371,42.6
520,0.371,42.5
521,0.371,42.6
522,0.367,43
523,0.363,43.4
524,0.361,43.6
525,0.358,43.8
526,0.356,44.1
527,0.356,44.1
528,0.361,43.5
529,0.366,43.1
530,0.364,43.2
531,0.359,43.7
532,0.358,43.9
533,0.359,43.7
534,0.359,43.7
535,0.358,43.9
536,0.358,43.9
537,0.357,43.9
538,0.353,44.4
539,0.348,44.9
540,0.347,45
541,0.348,44.9
542,0.352,44.5
