S6 Preheat,,
S6 Preheat 1,"Date : 15/07/2021, 08:47:57",
Wavelength (nm),ABS,%T
190,0.049,89.3
191,0.048,89.5
192,0.04,91.3
193,0.037,91.9
194,0.03,93.3
195,0.026,94.1
196,0.024,94.5
197,0.023,94.9
198,0.021,95.3
199,0.02,95.4
200,0.018,95.9
201,0.014,96.9
202,0.013,97
203,0.012,97.2
204,0.012,97.3
205,0.01,97.8
206,0.01,97.8
207,0.01,97.8
208,0.01,97.7
209,0.01,97.6
210,0.011,97.6
211,0.011,97.5
212,0.011,97.5
213,0.011,97.5
214,0.01,97.6
215,0.009,97.9
216,0.008,98.1
217,0.008,98.3
218,0.008,98.2
219,0.006,98.5
220,0.006,98.6
221,0.006,98.6
222,0.006,98.7
223,0.006,98.7
224,0.006,98.6
225,0.006,98.6
226,0.006,98.6
227,0.006,98.7
228,0.005,98.8
229,0.005,98.8
230,0.005,98.9
231,0.004,99
232,0.004,99
233,0.005,98.9
234,0.005,98.8
235,0.005,98.8
236,0.005,98.8
237,0.006,98.6
238,0.007,98.5
239,0.007,98.5
240,0.007,98.5
241,0.006,98.6
242,0.006,98.7
243,0.005,99
244,0.005,98.9
245,0.005,98.9
246,0.005,98.9
247,0.005,98.9
248,0.004,99
249,0.004,99.1
250,0.004,99.1
251,0.004,99
252,0.005,98.8
253,0.005,98.8
254,0.005,98.8
255,0.005,98.8
256,0.005,98.8
257,0.006,98.7
258,0.006,98.6
259,0.006,98.6
260,0.006,98.6
261,0.005,98.7
262,0.005,98.8
263,0.005,98.8
264,0.005,98.7
265,0.006,98.7
266,0.006,98.7
267,0.006,98.5
268,0.007,98.5
269,0.007,98.5
270,0.007,98.4
271,0.008,98.2
272,0.008,98.2
273,0.008,98.2
274,0.008,98.2
275,0.008,98.2
276,0.008,98.2
277,0.008,98.2
278,0.008,98.2
279,0.008,98.1
280,0.008,98.1
281,0.008,98.1
282,0.008,98.1
283,0.009,97.9
284,0.009,97.9
285,0.009,97.9
286,0.009,97.9
287,0.009,97.9
288,0.009,97.9
289,0.009,97.9
290,0.009,97.9
291,0.009,97.9
292,0.009,98
293,0.009,98
294,0.009,98
295,0.009,97.9
296,0.009,98
297,0.008,98.2
298,0.008,98.1
299,0.008,98.1
300,0.008,98.1
301,0.008,98.1
302,0.008,98.1
303,0.008,98.1
304,0.008,98.1
305,0.009,98
306,0.009,98
307,0.009,98
308,0.009,98
