wavelength,standard,Blank,Pre-Heat 1,Pre-heat 2,Pre-heat 3,Post-Heat 1,Post-Heat 2,Post-Heat 3,Post-Heat 4
190,3.5,89.3,1.9,1.9,1.9,1.6,1.6,1.6,1.6
191,2.8,89.5,1.8,1.8,1.7,1.5,1.5,1.5,1.5
192,2.4,91.3,1.6,1.6,1.7,1.5,1.4,1.4,1.5
193,2.2,91.9,1.6,1.6,1.6,1.4,1.4,1.4,1.4
194,2,93.3,1.6,1.5,1.5,1.4,1.4,1.4,1.3
195,1.9,94.1,1.5,1.5,1.5,1.4,1.4,1.3,1.3
196,1.8,94.5,1.5,1.5,1.5,1.4,1.3,1.3,1.3
197,1.7,94.9,1.5,1.5,1.5,1.3,1.3,1.3,1.3
198,1.7,95.3,1.5,1.5,1.5,1.3,1.3,1.3,1.3
199,1.6,95.4,1.5,1.5,1.5,1.3,1.3,1.3,1.3
200,1.6,95.9,1.6,1.5,1.5,1.3,1.3,1.3,1.3
201,1.6,96.9,1.6,1.6,1.6,1.3,1.3,1.3,1.3
202,1.6,97,1.7,1.6,1.6,1.4,1.3,1.3,1.3
203,1.6,97.2,1.7,1.7,1.7,1.4,1.4,1.4,1.4
204,1.6,97.3,1.8,1.8,1.8,1.5,1.5,1.5,1.4
205,1.7,97.8,1.9,1.9,1.9,1.6,1.5,1.5,1.5
206,1.8,97.8,2.1,2,2,1.7,1.7,1.7,1.6
207,1.9,97.8,2.3,2.3,2.2,1.8,1.8,1.8,1.8
208,2.1,97.7,2.5,2.5,2.5,2,2,2,2
209,2.4,97.6,2.9,2.8,2.8,2.3,2.2,2.2,2.2
210,2.7,97.6,3.2,3.2,3.2,2.5,2.5,2.5,2.5
211,3.2,97.5,3.6,3.6,3.6,2.8,2.8,2.8,2.8
212,3.7,97.5,4.1,4,4,3.2,3.2,3.1,3.1
213,4.4,97.5,4.6,4.6,4.5,3.6,3.5,3.5,3.5
214,5.2,97.6,5.2,5.1,5.1,4,3.9,3.9,3.9
215,5.5,97.9,5.5,5.4,5.4,4.1,4.1,4,4
216,6.2,98.1,6,5.8,5.9,4.4,4.3,4.4,4.3
