S1 2 Cm Preheat,,
Default Batch 5,"Date : 15/07/2021, 08:53:35",
Wavelength (nm),ABS,%T
190,1.744,1.8
191,1.767,1.7
192,1.799,1.6
193,1.8,1.6
194,1.813,1.5
195,1.82,1.5
196,1.82,1.5
197,1.828,1.5
198,1.834,1.5
199,1.834,1.5
200,1.824,1.5
201,1.813,1.5
202,1.805,1.6
203,1.784,1.6
204,1.756,1.8
205,1.728,1.9
206,1.693,2
207,1.651,2.2
208,1.608,2.5
209,1.554,2.8
210,1.503,3.1
211,1.447,3.6
212,1.394,4
213,1.343,4.5
214,1.292,5.1
215,1.272,5.3
216,1.234,5.8
217,1.193,6.4
218,1.149,7.1
219,1.107,7.8
220,1.069,8.5
221,1.032,9.3
222,1.001,10
223,0.964,10.9
224,0.938,11.5
225,0.92,12
226,0.905,12.4
227,0.895,12.7
228,0.893,12.8
229,0.897,12.7
230,0.903,12.5
231,0.912,12.2
232,0.921,12
233,0.931,11.7
234,0.942,11.4
235,0.953,11.1
236,0.965,10.8
237,0.977,10.6
238,0.987,10.3
239,0.994,10.1
240,0.995,10.1
241,0.996,10.1
242,0.996,10.1
243,0.996,10.1
244,0.996,10.1
245,0.985,10.3
246,0.966,10.8
247,0.949,11.2
248,0.936,11.6
249,0.929,11.8
250,0.912,12.2
251,0.885,13
252,0.859,13.8
253,0.836,14.6
254,0.816,15.3
255,0.795,16
256,0.772,16.9
257,0.751,17.8
258,0.729,18.7
259,0.706,19.7
260,0.69,20.4
261,0.68,20.9
262,0.68,20.9
263,0.676,21.1
264,0.667,21.5
265,0.656,22.1
266,0.646,22.6
267,0.638,23
268,0.633,23.3
269,0.631,23.4
270,0.627,23.6
271,0.621,24
272,0.617,24.2
273,0.617,24.1
274,0.618,24.1
275,0.619,24
276,0.616,24.2
277,0.614,24.3
278,0.614,24.3
279,0.614,24.3
280,0.613,24.4
281,0.611,24.5
282,0.608,24.7
283,0.607,24.7
284,0.608,24.7
285,0.606,24.8
286,0.604,24.9
287,0.603,24.9
288,0.603,24.9
