S8 Irrad 1,,
S8 Irrad 1 1,"Date : 22/07/2021, 12:14:01",
Wavelength (nm),ABS,%T
190.00,2.098,0.8
191.00,2.173,0.7
192.00,2.25,0.6
193.00,2.283,0.5
194.00,2.297,0.5
195.00,2.347,0.4
196.00,2.374,0.4
197.00,2.392,0.4
198.00,2.436,0.4
199.00,2.465,0.3
200.00,2.476,0.3
201.00,2.501,0.3
202.00,2.518,0.3
203.00,2.55,0.3
204.00,2.553,0.3
205.00,2.621,0.2
206.00,2.622,0.2
207.00,2.624,0.2
208.00,2.63,0.2
209.00,2.63,0.2
210.00,2.634,0.2
211.00,2.634,0.2
212.00,2.634,0.2
213.00,2.632,0.2
214.00,2.624,0.2
215.00,2.806,0.2
216.00,3,0.1
217.00,3,0
218.00,3,0
219.00,3,0
220.00,3,0
221.00,3,0
222.00,3,0
223.00,2.521,0.3
224.00,2.264,0.5
225.00,2.133,0.7
226.00,2.039,0.9
227.00,1.959,1.1
228.00,1.898,1.3
229.00,1.854,1.4
230.00,1.814,1.5
231.00,1.776,1.7
232.00,1.732,1.9
233.00,1.691,2
234.00,1.654,2.2
235.00,1.62,2.4
236.00,1.594,2.5
237.00,1.572,2.7
238.00,1.55,2.8
239.00,1.529,3
240.00,1.505,3.1
241.00,1.482,3.3
242.00,1.464,3.4
243.00,1.45,3.5
244.00,1.433,3.7
245.00,1.409,3.9
246.00,1.379,4.2
247.00,1.35,4.5
248.00,1.333,4.6
249.00,1.314,4.9
250.00,1.29,5.1
251.00,1.262,5.5
252.00,1.234,5.8
253.00,1.206,6.2
254.00,1.182,6.6
255.00,1.16,6.9
256.00,1.139,7.3
257.00,1.117,7.6
258.00,1.095,8
259.00,1.073,8.4
260.00,1.054,8.8
261.00,1.045,9
262.00,1.037,9.2
263.00,1.027,9.4
264.00,1.017,9.6
265.00,1.008,9.8
266.00,0.999,10
267.00,0.992,10.2
268.00,0.988,10.3
269.00,0.984,10.4
270.00,0.98,10.5
271.00,0.976,10.6
272.00,0.973,10.6
273.00,0.975,10.6
274.00,0.976,10.6
275.00,0.976,10.6
276.00,0.974,10.6
277.00,0.972,10.7
278.00,0.972,10.7
279.00,0.972,10.7
280.00,0.97,10.7
281.00,0.97,10.7
282.00,0.97,10.7
283.00,0.971,10.7
284.00,0.972,10.7
285.00,0.974,10.6
286.00,0.975,10.6
287.00,0.975,10.6
288.00,0.977,10.5
289.00,0.979,10.5
290.00,0.979,10.5
291.00,0.978,10.5
292.00,0.979,10.5
293.00,0.982,10.4
294.00,0.982,10.4
295.00,0.981,10.4
296.00,0.981,10.4
297.00,0.98,10.5
298.00,0.981,10.4
299.00,0.981,10.4
300.00,0.981,10.4
301.00,0.981,10.4
302.00,0.98,10.5
303.00,0.98,10.5
304.00,0.98,10.5
305.00,0.976,10.6
306.00,0.974,10.6
307.00,0.971,10.7
308.00,0.968,10.8
309.00,0.966,10.8
310.00,0.965,10.8
311.00,0.964,10.9
312.00,0.963,10.9
313.00,0.959,11
314.00,0.954,11.1
315.00,0.953,11.1
316.00,0.953,11.1
317.00,0.948,11.3
318.00,0.944,11.4
319.00,0.94,11.5
320.00,0.938,11.5
321.00,0.931,11.7
322.00,0.922,12
323.00,0.917,12.1
324.00,0.917,12.1
325.00,0.915,12.1
326.00,0.913,12.2
327.00,0.909,12.3
328.00,0.903,12.5
329.00,0.896,12.7
330.00,0.89,12.9
331.00,0.883,13.1
332.00,0.879,13.2
333.00,0.877,13.3
334.00,0.875,13.3
335.00,0.87,13.5
336.00,0.863,13.7
337.00,0.857,13.9
338.00,0.852,14
339.00,0.847,14.2
340.00,0.841,14.4
341.00,0.834,14.7
342.00,0.827,14.9
343.00,0.823,15
344.00,0.821,15.1
345.00,0.821,15.1
346.00,0.817,15.2
347.00,0.809,15.5
348.00,0.803,15.8
349.00,0.797,16
350.00,0.792,16.1
351.00,0.785,16.4
352.00,0.78,16.6
353.00,0.774,16.8
354.00,0.771,17
355.00,0.766,17.1
356.00,0.765,17.2
357.00,0.765,17.2
358.00,0.761,17.3
359.00,0.754,17.6
360.00,0.749,17.8
361.00,0.752,17.7
362.00,0.753,17.7
363.00,0.751,17.7
364.00,0.743,18.1
365.00,0.737,18.3
366.00,0.733,18.5
367.00,0.732,18.5
368.00,0.727,18.8
369.00,0.722,19
370.00,0.718,19.2
371.00,0.715,19.3
372.00,0.71,19.5
373.00,0.706,19.7
374.00,0.704,19.8
375.00,0.7,19.9
376.00,0.7,19.9
377.00,0.7,19.9
378.00,0.7,19.9
379.00,0.7,20
380.00,0.697,20.1
381.00,0.69,20.4
382.00,0.687,20.5
383.00,0.686,20.6
384.00,0.683,20.7
385.00,0.682,20.8
386.00,0.678,21
387.00,0.678,21
388.00,0.675,21.2
389.00,0.672,21.3
390.00,0.656,22.1
391.00,0.652,22.3
392.00,0.647,22.5
393.00,0.646,22.6
394.00,0.643,22.7
395.00,0.64,22.9
396.00,0.636,23.1
397.00,0.634,23.2
398.00,0.63,23.4
399.00,0.628,23.5
400.00,0.624,23.8
401.00,0.622,23.9
402.00,0.618,24.1
403.00,0.618,24.1
404.00,0.615,24.2
405.00,0.615,24.2
406.00,0.614,24.3
407.00,0.612,24.4
408.00,0.608,24.7
409.00,0.606,24.8
410.00,0.604,24.9
411.00,0.603,25
412.00,0.601,25.1
413.00,0.598,25.2
414.00,0.597,25.3
415.00,0.594,25.5
416.00,0.592,25.6
417.00,0.589,25.8
418.00,0.586,25.9
419.00,0.584,26
420.00,0.582,26.2
421.00,0.582,26.2
422.00,0.581,26.2
423.00,0.579,26.4
424.00,0.577,26.5
425.00,0.577,26.5
426.00,0.575,26.6
427.00,0.574,26.7
428.00,0.571,26.8
429.00,0.57,26.9
430.00,0.57,26.9
431.00,0.568,27.1
432.00,0.565,27.2
