S9 Preheat,,
S9 Preheat 1,"Date : 28/07/2021, 14:46:54",
Wavelength (nm),ABS,%T
190,1.638,2.3
191,1.688,2.1
192,1.706,2
193,1.738,1.8
194,1.759,1.7
195,1.768,1.7
196,1.77,1.7
197,1.77,1.7
198,1.77,1.7
199,1.771,1.7
200,1.768,1.7
201,1.754,1.8
202,1.744,1.8
203,1.73,1.9
204,1.718,1.9
205,1.694,2
206,1.662,2.2
207,1.626,2.4
208,1.581,2.6
209,1.532,2.9
210,1.483,3.3
211,1.433,3.7
212,1.38,4.2
213,1.332,4.7
214,1.278,5.3
215,1.258,5.5
216,1.232,5.9
217,1.183,6.6
218,1.139,7.3
219,1.097,8
220,1.054,8.8
221,1.019,9.6
222,0.986,10.3
223,0.947,11.3
224,0.921,12
225,0.903,12.5
226,0.89,12.9
227,0.881,13.2
228,0.879,13.2
229,0.88,13.2
230,0.884,13.1
231,0.89,12.9
232,0.897,12.7
233,0.904,12.5
234,0.914,12.2
235,0.924,11.9
236,0.937,11.6
237,0.947,11.3
238,0.957,11
239,0.966,10.8
240,0.973,10.6
241,0.977,10.5
242,0.978,10.5
243,0.981,10.4
244,0.981,10.4
245,0.972,10.7
246,0.955,11.1
247,0.937,11.6
248,0.923,11.9
249,0.909,12.3
250,0.892,12.8
251,0.868,13.5
252,0.844,14.3
253,0.819,15.2
254,0.798,15.9
255,0.778,16.7
256,0.758,17.4
257,0.735,18.4
258,0.715,19.3
259,0.695,20.2
260,0.679,20.9
261,0.666,21.6
262,0.658,22
263,0.648,22.5
264,0.639,23
265,0.63,23.4
266,0.621,23.9
267,0.613,24.4
268,0.608,24.6
269,0.604,24.9
270,0.601,25.1
271,0.595,25.4
272,0.591,25.7
273,0.59,25.7
274,0.59,25.7
275,0.589,25.8
276,0.586,26
277,0.582,26.2
278,0.581,26.2
279,0.581,26.3
280,0.58,26.3
281,0.576,26.6
282,0.572,26.8
283,0.572,26.8
284,0.571,26.8
285,0.571,26.9
286,0.57,26.9
287,0.568,27
288,0.567,27.1
289,0.566,27.2
290,0.56,27.5
291,0.557,27.7
292,0.557,27.8
293,0.557,27.8
294,0.552,28.1
295,0.55,28.2
296,0.546,28.4
297,0.546,28.4
298,0.546,28.4
299,0.546,28.4
300,0.546,28.4
301,0.546,28.5
302,0.544,28.6
303,0.541,28.8
304,0.539,28.9
305,0.537,29.1
306,0.532,29.4
307,0.527,29.7
308,0.524,29.9
309,0.522,30.1
310,0.521,30.1
311,0.52,30.2
312,0.519,30.3
313,0.516,30.5
314,0.511,30.8
315,0.511,30.8
316,0.513,30.7
317,0.512,30.8
318,0.505,31.2
319,0.503,31.4
320,0.503,31.4
321,0.5,31.6
322,0.493,32.1
323,0.489,32.4
324,0.49,32.3
325,0.491,32.3
326,0.491,32.3
327,0.491,32.3
328,0.489,32.4
329,0.485,32.7
330,0.482,33
331,0.478,33.2
332,0.476,33.4
333,0.476,33.4
334,0.476,33.4
335,0.475,33.5
336,0.473,33.7
337,0.471,33.8
338,0.47,33.9
339,0.468,34
340,0.466,34.2
341,0.462,34.5
342,0.459,34.7
343,0.458,34.8
344,0.459,34.7
345,0.46,34.7
346,0.46,34.7
