wavelength,Tim Quartz Clear 1,Tim Quartz Clear 2,Tim Quartz Clear 3,Tim Quartz Clear 4,Tim Quartz Dark 1,Tim Quartz Dark 2,Tim Quartz Dark 3,Tim Quartz Dark 4
190,7.1,6.8,6.9,6.8,2,1.9,1.9,1.9
191,6.8,6.6,6.7,6.6,1.9,1.9,1.9,1.9
192,6.6,6.5,6.5,6.5,1.9,1.9,1.8,1.9
193,6.5,6.4,6.4,6.4,1.9,1.9,1.8,1.9
194,6.4,6.3,6.3,6.3,1.8,1.8,1.8,1.8
195,6.4,6.3,6.3,6.3,1.8,1.8,1.8,1.8
196,6.3,6.2,6.2,6.3,1.8,1.8,1.8,1.8
197,6.3,6.2,6.2,6.2,1.8,1.8,1.8,1.8
198,6.2,6.1,6.1,6.2,1.8,1.8,1.8,1.8
199,6.2,6.1,6.1,6.2,1.8,1.8,1.8,1.8
200,6.2,6.1,6.2,6.2,1.8,1.8,1.8,1.8
201,6.2,6.2,6.2,6.3,1.9,1.9,1.9,1.9
202,6.3,6.3,6.3,6.4,1.9,1.9,1.9,1.9
203,6.5,6.4,6.4,6.5,1.9,1.9,1.9,1.9
204,6.6,6.5,6.6,6.6,1.9,1.9,1.9,1.9
205,6.8,6.8,6.8,6.8,1.9,1.9,1.9,1.9
206,7.1,7.1,7.1,7.1,1.9,1.9,1.9,1.9
207,7.5,7.4,7.4,7.5,1.9,1.9,1.9,1.9
208,8,7.9,7.9,8,1.9,2,2,2
209,8.6,8.5,8.5,8.6,2,2,2,2
210,9.3,9.2,9.2,9.2,2,2,2,2
211,10,9.9,9.9,10,2,2.1,2,2
212,10.8,10.7,10.7,10.8,2.1,2.1,2.1,2.1
213,11.7,11.6,11.5,11.6,2.1,2.1,2.1,2.1
214,12.6,12.4,12.3,12.4,2.1,2.1,2.2,2.1
215,13.1,12.9,12.9,12.8,2,1.9,2,1.9
216,13.7,13.5,13.5,13.5,1.9,1.8,1.8,1.8
217,14.4,14.3,14.3,14.3,1.9,1.8,1.8,1.8
218,15.3,15.2,15.2,15.2,1.9,1.8,1.8,1.8
219,16.1,16,15.9,15.9,1.9,1.9,1.8,1.8
220,16.9,16.7,16.7,16.7,1.9,1.9,1.9,1.9
221,17.7,17.5,17.5,17.5,2,2,2,1.9
222,18.4,18.3,18.2,18.2,2,2.1,2,2.1
223,19.4,19.2,19.2,19.3,2.3,2.4,2.3,2.4
224,20.2,20,19.9,20,2.5,2.6,2.5,2.6
225,20.8,20.6,20.6,20.6,2.7,2.7,2.7,2.7
226,21.3,21.1,21.1,21.1,2.9,2.9,2.9,2.9
227,21.7,21.6,21.6,21.6,3,3.1,3,3.1
228,22,21.8,21.9,21.9,3.1,3.1,3.2,3.1
229,22,22,22,22,3.1,3.2,3.2,3.2
230,22.1,22,22.1,22.2,3.1,3.2,3.2,3.2
231,22.2,22.1,22.1,22.2,3.2,3.2,3.2,3.2
232,22.2,22.1,22.1,22.2,3.3,3.3,3.3,3.3
233,22.3,22.1,22.1,22.2,3.4,3.4,3.4,3.4
234,22.4,22.1,22.1,22.2,3.6,3.6,3.6,3.6
235,22.4,22.1,22.1,22.2,3.8,3.8,3.7,3.7
236,22.4,22.2,22.1,22.2,3.9,3.9,3.9,3.9
237,22.4,22.1,22.1,22.2,4.1,4.1,4.1,4.1
238,22.4,22.1,22.1,22.1,4.3,4.3,4.2,4.2
239,22.4,22.1,22.1,22.2,4.5,4.5,4.5,4.5
240,22.5,22.2,22.2,22.3,4.8,4.8,4.8,4.7
241,22.7,22.5,22.4,22.6,5.1,5.1,5,5
242,23,22.6,22.6,22.7,5.4,5.4,5.3,5.3
243,23.1,22.9,22.8,23,5.5,5.5,5.5,5.5
244,23.3,23.2,22.9,23.4,5.7,5.7,5.7,5.7
245,23.9,23.7,23.5,23.8,5.9,5.9,5.9,5.9
246,24.6,24.4,24.3,24.4,6.4,6.4,6.3,6.3
247,25.3,25,25.1,25.2,6.8,6.8,6.8,6.7
248,26,25.7,25.5,25.9,7,7,7,7
249,26.4,26.3,26.1,26.4,7.2,7.2,7.2,7.1
250,26.9,26.8,26.6,27,7.5,7.4,7.4,7.4
251,27.8,27.5,27.4,27.6,7.8,7.8,7.7,7.7
252,28.8,28.5,28.3,28.5,8.2,8.2,8.2,8.1
253,29.7,29.5,29.4,29.5,8.6,8.6,8.5,8.5
254,30.6,30.3,30.2,30.3,9,8.9,8.9,8.8
255,31.4,31.1,30.9,31.2,9.2,9.2,9.1,9.1
256,32.2,31.9,31.7,32,9.6,9.5,9.5,9.5
257,33.2,32.7,32.5,32.9,10,9.9,9.8,9.9
258,34,33.6,33.4,33.8,10.4,10.3,10.2,10.2
259,35,34.6,34.5,34.8,10.8,10.7,10.6,10.6
260,35.8,35.2,35,35.4,11.1,11,11,11
261,36.2,35.8,35.5,35.8,11.2,11.3,11.2,11.1
262,36.4,36.1,36.1,36.1,11.3,11.3,11.2,11.2
263,36.7,36.4,36.4,36.5,11.4,11.4,11.3,11.2
264,37.2,36.8,36.8,37,11.5,11.5,11.5,11.4
265,37.7,37.1,37.2,37.4,11.7,11.7,11.6,11.6
266,38.2,37.6,37.6,37.8,11.9,11.8,11.7,11.7
267,38.6,38,38,38.2,12.1,12,11.9,11.9
268,38.9,38.3,38.3,38.5,12.3,12.2,12.1,12
269,39.1,38.5,38.5,38.7,12.3,12.2,12.1,12.1
270,39.3,38.7,38.7,38.9,12.3,12.2,12.2,12.1
271,39.5,39,38.8,39.1,12.4,12.3,12.3,12.2
272,39.7,39.2,39,39.3,12.5,12.4,12.3,12.3
273,39.8,39.3,39.2,39.4,12.5,12.5,12.4,12.3
274,39.8,39.3,39.2,39.4,12.5,12.5,12.3,12.3
275,39.8,39.3,39.1,39.4,12.4,12.4,12.3,12.2
276,39.8,39.2,39.1,39.4,12.4,12.4,12.3,12.2
277,39.8,39.4,39.2,39.4,12.4,12.4,12.3,12.2
278,40,39.5,39.3,39.5,12.4,12.4,12.3,12.2
279,40,39.5,39.4,39.5,12.4,12.4,12.3,12.2
280,40,39.5,39.4,39.5,12.4,12.4,12.2,12.2
281,40.1,39.5,39.4,39.8,12.4,12.4,12.2,12.2
282,40.3,39.6,39.5,39.9,12.4,12.4,12.2,12.2
283,40.4,39.9,39.7,40,12.4,12.4,12.2,12.2
284,40.6,40,39.9,40,12.4,12.3,12.2,12.2
285,40.6,40,39.9,40.1,12.4,12.3,12.2,12.2
286,40.6,40.2,40,40.1,12.4,12.3,12.2,12.2
287,40.9,40.4,40.3,40.4,12.4,12.3,12.2,12.2
288,41.1,40.5,40.6,40.7,12.4,12.3,12.2,12.2
289,41.3,40.9,40.8,41,12.4,12.3,12.2,12.2
290,41.7,41.3,41.2,41.3,12.5,12.4,12.2,12.2
291,42.2,41.6,41.5,41.5,12.5,12.5,12.3,12.3
292,42.5,41.9,41.8,42,12.6,12.6,12.4,12.4
293,42.7,42.1,41.9,42.1,12.6,12.6,12.4,12.4
294,43.1,42.4,42.3,42.6,12.7,12.6,12.4,12.4
295,43.5,43,42.6,43,12.8,12.7,12.6,12.5
296,43.6,43.1,42.7,43.1,12.9,12.8,12.6,12.6
297,43.7,43.4,42.9,43.4,12.9,12.8,12.6,12.6
298,44,43.5,43,43.4,12.9,12.8,12.7,12.6
299,44,43.5,43,43.4,12.9,12.8,12.8,12.6
300,44,43.5,43.1,43.4,12.9,12.9,12.8,12.6
301,44,43.5,43.2,43.4,12.9,12.9,12.8,12.6
302,44,43.5,43.2,43.5,13,12.9,12.8,12.6
303,44.3,43.5,43.4,43.6,13.1,13,12.8,12.7
304,44.5,43.6,43.6,43.9,13.2,13.1,12.9,12.9
305,44.6,43.6,43.7,43.9,13.2,13.2,13,13
306,44.8,44,43.9,44.1,13.3,13.3,13.1,13.1
307,45,44.1,44,44.3,13.5,13.4,13.3,13.2
308,45.1,44.5,44.4,44.6,13.7,13.6,13.4,13.4
309,45.3,44.6,44.5,44.8,13.8,13.8,13.6,13.6
310,45.4,44.7,44.6,45,13.9,13.9,13.7,13.7
311,45.4,44.9,44.6,45,14,14,13.8,13.8
312,45.4,44.9,44.7,45,14.2,14.1,14,13.9
313,45.5,44.9,44.7,45.1,14.3,14.2,14.1,14.1
314,45.7,45.1,45,45.2,14.5,14.5,14.3,14.3
315,45.9,45.3,45.2,45.3,14.7,14.6,14.5,14.5
316,45.9,45.3,45.2,45.4,14.7,14.7,14.6,14.5
317,45.9,45.2,45.2,45.3,14.8,14.7,14.6,14.5
318,45.9,45.2,45.2,45.3,15.1,15,14.8,14.7
319,45.9,45.3,45.2,45.6,15.3,15.2,15.1,15
320,46,45.4,45.3,45.6,15.5,15.4,15.3,15.2
321,46.1,45.4,45.4,45.6,15.7,15.6,15.4,15.3
322,46.4,45.7,45.6,45.8,16,15.9,15.8,15.7
323,46.7,46.1,46,46.3,16.3,16.2,16,16
324,46.8,46.2,46.1,46.4,16.5,16.4,16.2,16.2
325,46.7,46.1,46,46.3,16.5,16.4,16.3,16.2
326,46.4,46,45.9,46,16.6,16.5,16.4,16.4
327,46.4,45.9,45.8,46,16.8,16.7,16.6,16.5
328,46.4,46,45.7,46.1,17,16.9,16.8,16.7
329,46.6,46,45.8,46.1,17.3,17.2,17,16.9
330,46.7,46.1,45.9,46.3,17.5,17.4,17.3,17.2
331,46.9,46.3,46.1,46.5,17.7,17.7,17.5,17.5
332,47.1,46.5,46.3,46.6,18,17.9,17.7,17.7
333,47.1,46.5,46.3,46.7,18.1,18,17.9,17.8
334,47.1,46.5,46.3,46.7,18.2,18.1,18,17.9
335,47.1,46.5,46.3,46.7,18.4,18.3,18.1,18
336,47.1,46.5,46.3,46.7,18.6,18.5,18.3,18.3
337,47.1,46.5,46.4,46.7,18.8,18.7,18.5,18.5
338,47.1,46.6,46.5,46.7,18.9,18.8,18.7,18.7
339,47.1,46.6,46.5,46.8,19.1,19,18.8,18.8
340,47.2,46.6,46.6,46.8,19.3,19.2,19,19
341,47.4,46.8,46.7,46.9,19.5,19.4,19.3,19.2
342,47.6,47,46.9,47.1,19.8,19.7,19.5,19.5
343,47.7,47,47,47.2,20,19.9,19.7,19.6
344,47.7,47,47,47.2,20.1,19.9,19.7,19.7
345,47.4,46.8,46.7,46.8,20.1,19.9,19.7,19.7
346,47.2,46.5,46.5,46.7,20.1,19.9,19.7,19.7
347,47.2,46.5,46.5,46.7,20.1,20,19.8,19.8
348,47.3,46.8,46.6,46.8,20.4,20.3,20.1,20
349,47.3,46.8,46.7,47,20.5,20.4,20.2,20.2
350,47.3,46.8,46.7,47,20.7,20.6,20.4,20.3
351,47.5,46.9,46.8,47.1,20.9,20.8,20.6,20.5
352,47.6,46.9,46.9,47.1,21.1,20.9,20.7,20.6
353,47.6,46.9,46.9,47.1,21.3,21.1,20.8,20.8
354,47.6,46.9,46.9,47.1,21.3,21.2,20.8,20.8
355,47.7,47.2,46.9,47.2,21.4,21.3,20.9,20.9
356,47.7,47.2,46.9,47.2,21.4,21.3,21,20.9
357,47.5,47.1,46.9,47.2,21.5,21.4,21.1,20.9
358,47.3,46.9,46.8,47,21.5,21.3,21.1,21
359,47.4,46.9,46.9,47,21.5,21.5,21.2,21
360,47.4,46.9,46.9,47,21.6,21.6,21.3,21
361,47.3,46.5,46.7,46.7,21.6,21.4,21.2,21.1
362,47,46.1,46.2,46,21.2,21.1,20.9,21
363,46.7,46.1,45.7,45.7,21.2,21.1,20.8,20.9
364,46.6,46.1,45.7,45.7,21.2,21.1,20.8,20.9
365,46.5,46.1,45.6,45.7,21.3,21.1,20.9,20.9
366,46.6,46.1,45.7,45.9,21.3,21.2,21.1,20.9
367,46.6,46.1,45.7,46,21.3,21.2,21.1,20.9
368,46.6,46.1,45.7,46,21.4,21.2,21.1,21
369,46.6,46.1,45.8,46,21.4,21.3,21.1,21
370,46.8,46.2,46,46.2,21.5,21.3,21.2,21
371,46.8,46.2,46,46.2,21.5,21.4,21.3,21.1
372,46.7,46.1,46,46.2,21.5,21.4,21.2,21.2
373,46.7,46.1,46,46.2,21.5,21.4,21.3,21.2
374,46.7,46.2,46.1,46.3,21.6,21.5,21.3,21.2
375,46.7,46.3,46,46.3,21.6,21.5,21.3,21.2
376,46.8,46.3,46,46.3,21.7,21.5,21.3,21.3
377,46.4,45.8,46,46.2,21.5,21.4,21.2,21.1
378,46.2,45.6,45.9,46,21.3,21.1,21.1,20.8
379,45.9,45.4,45.3,45.7,21.2,21.1,20.9,20.7
380,45.8,45.4,45.3,45.7,21.2,21.1,20.9,20.7
381,45.9,45.4,45.4,45.7,21.3,21.1,20.9,20.8
382,45.9,45.4,45.6,45.7,21.3,21.2,20.9,20.9
383,45.9,45.5,45.5,45.7,21.3,21.2,20.9,20.9
384,45.9,45.3,45.4,45.5,21.3,21.2,20.9,20.9
385,46,45.2,45.4,45.5,21.3,21.2,20.9,20.9
386,46,45.2,45.4,45.5,21.3,21.2,20.9,20.9
387,46,45.2,45.4,45.4,21.2,21.1,20.9,20.9
388,45.7,45.2,45.3,45.4,21.2,21.1,20.8,20.8
389,45.7,45.2,45.1,45.3,21.3,21.1,20.8,20.8
390,46.8,46.4,46.2,46.6,21.9,21.6,21.3,21.3
391,47.6,46.8,46.8,47.2,22,21.7,21.5,21.5
392,47.8,46.9,46.9,47.2,22,21.8,21.6,21.5
393,47.8,46.8,46.9,47.2,22,21.8,21.6,21.5
394,47.8,46.9,47,47.2,22,21.8,21.6,21.5
395,47.8,46.9,46.9,47.2,21.9,21.8,21.6,21.4
396,47.7,46.9,46.9,47.2,21.9,21.7,21.5,21.4
397,47.8,47,46.9,47.2,21.9,21.7,21.5,21.4
398,47.8,47.2,47,47.3,21.9,21.7,21.5,21.4
399,47.8,47.2,47.2,47.3,21.9,21.7,21.5,21.4
400,48,47.3,47.3,47.5,21.9,21.7,21.5,21.4
401,48.1,47.5,47.4,47.6,21.9,21.7,21.5,21.4
402,48.2,47.7,47.4,47.6,21.9,21.7,21.5,21.4
403,48.4,47.8,47.5,47.8,21.9,21.7,21.5,21.4
404,48.4,47.7,47.5,48,21.9,21.6,21.5,21.4
405,48.3,47.6,47.5,48,21.7,21.6,21.4,21.3
406,48.2,47.5,47.3,47.8,21.6,21.5,21.3,21.2
407,48.2,47.6,47.3,47.7,21.6,21.4,21.2,21.1
408,48.2,47.6,47.3,47.7,21.6,21.4,21.2,21.1
409,48.3,47.6,47.6,47.8,21.6,21.5,21.2,21.1
410,48.4,47.7,47.7,47.9,21.6,21.5,21.2,21.1
411,48.3,47.7,47.7,47.9,21.5,21.4,21.2,21.1
412,48.4,47.7,47.7,47.9,21.4,21.3,21.1,21.1
413,48.5,47.8,48,47.9,21.4,21.3,21.1,21
414,48.7,48,48.1,48,21.4,21.3,21.1,21
415,48.6,48.1,48.1,48.1,21.4,21.3,21.1,21
416,48.7,48.1,48.1,48.2,21.4,21.3,21.1,21
417,48.8,48.3,48.2,48.3,21.3,21.2,21.1,21
418,49,48.6,48.3,48.5,21.3,21.2,21.1,21
419,49.2,48.7,48.6,48.8,21.3,21.2,21.1,21
420,49.4,48.8,48.7,49,21.3,21.2,21,21
421,49.5,49,48.9,49.1,21.3,21.2,21,21
422,49.5,48.9,48.8,49.1,21.1,21,20.9,20.8
423,49.4,48.9,48.7,48.9,21,20.9,20.8,20.7
424,49.4,48.9,48.7,49,21,20.9,20.8,20.7
425,49.4,48.9,48.7,49,20.9,20.9,20.7,20.6
426,49.4,48.9,48.6,49,20.9,20.7,20.5,20.5
427,49.4,48.8,48.6,48.9,20.8,20.6,20.4,20.4
428,49.4,48.8,48.7,48.8,20.7,20.6,20.4,20.4
429,49.4,48.8,48.6,48.8,20.6,20.6,20.4,20.3
430,49.4,48.8,48.7,48.9,20.6,20.5,20.3,20.3
431,49.4,48.8,48.7,48.9,20.6,20.5,20.3,20.3
432,49.4,49,48.7,49,20.6,20.5,20.3,20.2
433,49.4,49,48.7,49,20.5,20.5,20.3,20.2
