wavelength,Tim Quartz Clear 1,Tim Quartz Clear 2,Tim Quartz Clear 3,Tim Quartz Clear 4,Tim Quartz Dark 1,Tim Quartz Dark 2,Tim Quartz Dark 3,Tim Quartz Dark 4
190,1.151,1.165,1.163,1.164,1.7,1.723,1.719,1.715
191,1.168,1.18,1.173,1.177,1.714,1.723,1.729,1.721
192,1.181,1.186,1.187,1.184,1.728,1.725,1.733,1.725
193,1.186,1.194,1.196,1.192,1.73,1.726,1.739,1.732
194,1.195,1.202,1.2,1.199,1.739,1.735,1.738,1.737
195,1.195,1.204,1.201,1.2,1.74,1.735,1.738,1.737
196,1.199,1.206,1.205,1.202,1.739,1.735,1.736,1.737
197,1.2,1.208,1.207,1.205,1.74,1.735,1.736,1.738
198,1.205,1.213,1.211,1.209,1.74,1.736,1.741,1.737
199,1.205,1.214,1.212,1.209,1.74,1.74,1.74,1.737
200,1.206,1.212,1.211,1.206,1.738,1.739,1.737,1.736
201,1.205,1.209,1.208,1.199,1.732,1.728,1.73,1.726
202,1.197,1.201,1.202,1.195,1.727,1.724,1.73,1.724
203,1.189,1.192,1.193,1.189,1.727,1.723,1.73,1.724
204,1.181,1.184,1.184,1.179,1.725,1.721,1.726,1.724
205,1.166,1.17,1.169,1.167,1.724,1.721,1.721,1.724
206,1.148,1.152,1.151,1.148,1.722,1.719,1.72,1.723
207,1.125,1.129,1.128,1.126,1.719,1.715,1.717,1.714
208,1.098,1.102,1.101,1.099,1.71,1.709,1.705,1.707
209,1.065,1.068,1.07,1.067,1.704,1.701,1.703,1.705
210,1.033,1.036,1.037,1.035,1.694,1.695,1.695,1.698
211,0.998,1.004,1.006,1.001,1.689,1.688,1.689,1.692
212,0.965,0.97,0.972,0.968,1.68,1.681,1.681,1.685
213,0.931,0.936,0.938,0.935,1.673,1.677,1.675,1.679
214,0.901,0.906,0.909,0.905,1.669,1.669,1.667,1.674
215,0.884,0.889,0.89,0.893,1.692,1.71,1.704,1.715
216,0.865,0.868,0.868,0.871,1.712,1.734,1.744,1.751
217,0.843,0.844,0.845,0.844,1.72,1.744,1.747,1.75
218,0.816,0.818,0.819,0.819,1.721,1.744,1.749,1.75
219,0.794,0.797,0.799,0.798,1.72,1.73,1.737,1.745
220,0.773,0.777,0.776,0.777,1.716,1.714,1.732,1.721
221,0.753,0.756,0.757,0.757,1.709,1.695,1.702,1.712
222,0.735,0.738,0.739,0.739,1.694,1.683,1.696,1.687
223,0.711,0.716,0.716,0.715,1.631,1.624,1.648,1.628
224,0.695,0.7,0.7,0.699,1.593,1.589,1.6,1.593
225,0.682,0.687,0.687,0.686,1.566,1.563,1.567,1.565
226,0.671,0.675,0.676,0.675,1.542,1.538,1.541,1.54
227,0.663,0.666,0.666,0.665,1.518,1.515,1.516,1.514
228,0.658,0.661,0.66,0.66,1.507,1.505,1.501,1.505
229,0.657,0.657,0.658,0.657,1.502,1.499,1.497,1.499
230,0.655,0.657,0.655,0.653,1.502,1.499,1.5,1.5
231,0.654,0.656,0.655,0.653,1.5,1.498,1.5,1.5
232,0.653,0.656,0.655,0.653,1.486,1.484,1.487,1.487
233,0.651,0.655,0.655,0.653,1.467,1.466,1.47,1.469
234,0.65,0.655,0.655,0.653,1.445,1.446,1.449,1.448
235,0.65,0.655,0.655,0.653,1.424,1.424,1.427,1.426
236,0.65,0.655,0.655,0.653,1.405,1.405,1.408,1.408
237,0.65,0.655,0.656,0.654,1.387,1.387,1.39,1.392
238,0.65,0.656,0.657,0.655,1.369,1.369,1.372,1.374
239,0.65,0.655,0.655,0.654,1.347,1.347,1.35,1.351
240,0.648,0.654,0.653,0.652,1.32,1.32,1.323,1.325
241,0.644,0.648,0.649,0.646,1.293,1.294,1.297,1.297
242,0.639,0.645,0.646,0.643,1.27,1.27,1.272,1.273
243,0.636,0.64,0.642,0.639,1.257,1.256,1.259,1.26
244,0.632,0.634,0.639,0.632,1.246,1.244,1.248,1.248
245,0.621,0.626,0.629,0.623,1.229,1.226,1.23,1.231
246,0.61,0.613,0.614,0.612,1.196,1.194,1.198,1.198
247,0.596,0.601,0.601,0.598,1.168,1.167,1.17,1.171
248,0.586,0.59,0.593,0.587,1.155,1.152,1.156,1.157
249,0.578,0.58,0.584,0.578,1.142,1.142,1.144,1.146
250,0.57,0.571,0.574,0.569,1.126,1.13,1.132,1.131
