Tim Quartz Clear,,
Tim Quartz Clear 1,"Date : 21/07/2021, 16:20:17",
Wavelength (nm),ABS,%T
190,1.151,7.1
191,1.168,6.8
192,1.181,6.6
193,1.186,6.5
194,1.195,6.4
195,1.195,6.4
196,1.199,6.3
197,1.2,6.3
198,1.205,6.2
199,1.205,6.2
200,1.206,6.2
201,1.205,6.2
202,1.197,6.3
203,1.189,6.5
204,1.181,6.6
205,1.166,6.8
206,1.148,7.1
207,1.125,7.5
208,1.098,8
209,1.065,8.6
210,1.033,9.3
211,0.998,10
212,0.965,10.8
213,0.931,11.7
214,0.901,12.6
215,0.884,13.1
216,0.865,13.7
217,0.843,14.4
218,0.816,15.3
219,0.794,16.1
220,0.773,16.9
221,0.753,17.7
222,0.735,18.4
223,0.711,19.4
224,0.695,20.2
225,0.682,20.8
226,0.671,21.3
227,0.663,21.7
228,0.658,22
229,0.657,22
230,0.655,22.1
231,0.654,22.2
232,0.653,22.2
233,0.651,22.3
234,0.65,22.4
235,0.65,22.4
236,0.65,22.4
237,0.65,22.4
238,0.65,22.4
239,0.65,22.4
240,0.648,22.5
241,0.644,22.7
242,0.639,23
243,0.636,23.1
244,0.632,23.3
245,0.621,23.9
246,0.61,24.6
247,0.596,25.3
248,0.586,26
249,0.578,26.4
250,0.57,26.9
251,0.555,27.8
252,0.541,28.8
253,0.527,29.7
254,0.515,30.6
255,0.503,31.4
256,0.492,32.2
257,0.479,33.2
258,0.469,34
259,0.455,35
260,0.446,35.8
261,0.442,36.2
262,0.438,36.4
263,0.435,36.7
264,0.429,37.2
265,0.424,37.7
266,0.418,38.2
267,0.414,38.6
268,0.41,38.9
269,0.408,39.1
270,0.406,39.3
271,0.403,39.5
272,0.401,39.7
273,0.4,39.8
274,0.4,39.8
275,0.401,39.8
276,0.401,39.8
277,0.4,39.8
278,0.398,40
279,0.398,40
280,0.398,40
281,0.396,40.1
282,0.395,40.3
283,0.394,40.4
284,0.391,40.6
285,0.391,40.6
286,0.391,40.6
287,0.388,40.9
288,0.386,41.1
289,0.384,41.3
290,0.38,41.7
291,0.375,42.2
292,0.371,42.5
293,0.369,42.7
294,0.365,43.1
295,0.361,43.5
296,0.361,43.6
297,0.359,43.7
298,0.356,44
299,0.357,44
300,0.357,44
301,0.357,44
302,0.356,44
303,0.353,44.3
304,0.352,44.5
305,0.351,44.6
306,0.349,44.8
307,0.347,45
308,0.346,45.1
309,0.344,45.3
310,0.343,45.4
311,0.343,45.4
312,0.343,45.4
313,0.342,45.5
314,0.34,45.7
315,0.338,45.9
316,0.338,45.9
317,0.338,45.9
318,0.339,45.9
319,0.338,45.9
320,0.337,46
321,0.337,46.1
322,0.334,46.4
323,0.331,46.7
324,0.33,46.8
325,0.33,46.7
326,0.333,46.4
327,0.334,46.4
328,0.333,46.4
329,0.332,46.6
330,0.331,46.7
331,0.329,46.9
332,0.327,47.1
333,0.327,47.1
334,0.327,47.1
335,0.327,47.1
336,0.327,47.1
337,0.327,47.1
338,0.327,47.1
339,0.327,47.1
340,0.326,47.2
341,0.324,47.4
342,0.323,47.6
343,0.321,47.7
344,0.321,47.7
345,0.325,47.4
346,0.326,47.2
347,0.326,47.2
348,0.325,47.3
349,0.325,47.3
350,0.325,47.3
351,0.323,47.5
352,0.323,47.6
353,0.322,47.6
354,0.322,47.6
355,0.322,47.7
356,0.322,47.7
357,0.323,47.5
358,0.325,47.3
359,0.324,47.4
360,0.324,47.4
361,0.325,47.3
362,0.328,47
363,0.331,46.7
364,0.331,46.6
365,0.332,46.5
366,0.332,46.6
367,0.331,46.6
368,0.331,46.6
369,0.331,46.6
370,0.33,46.8
371,0.33,46.8
372,0.331,46.7
373,0.33,46.7
374,0.331,46.7
375,0.331,46.7
376,0.33,46.8
377,0.334,46.4
378,0.335,46.2
379,0.338,45.9
