Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
0,0,0,1800,3600,5400,7200,9000,27000,45000,63000,81000,99000,199000,271882,355421,435829,514994
190,1.93,2.08,0.78,0.65,0.75,0.68,0.6,0.5,0.54,0.48,0.48,0.48,0.43,0.4,0.38,0.38,0.43
191,1.8,1.93,0.66,0.55,0.56,0.6,0.5,0.425,0.42,0.4,0.4,0.4,0.35,0.3,0.38,0.3,0.38
192,1.7,1.83,0.6,0.5,0.45,0.5,0.43,0.4,0.36,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
193,1.63,1.73,0.5,0.43,0.4,0.43,0.35,0.3,0.3,0.33,0.33,0.3,0.3,0.28,0.23,0.23,0.25
194,1.58,1.7,0.5,0.43,0.38,0.38,0.35,0.3,0.3,0.3,0.3,0.28,0.28,0.23,0.2,0.2,0.2
195,1.55,1.68,0.46,0.46,0.35,0.35,0.33,0.3,0.28,0.3,0.3,0.25,0.23,0.2,0.2,0.2,0.2
196,1.55,1.63,0.4,0.4,0.35,0.33,0.3,0.225,0.24,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2
197,1.5,1.6,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.2
198,1.5,1.6,0.38,0.38,0.3,0.28,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.15,0.2
199,1.5,1.6,0.34,0.34,0.28,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.1,0.13,0.2
200,1.5,1.63,0.34,0.34,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.1,0.1,0.18
201,1.58,1.65,0.32,0.32,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.1,0.1,0.18
202,1.58,1.68,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.15,0.1,0.1,0.15
203,1.6,1.7,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.1,0.1,0.1,0.1
204,1.7,1.8,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.125,0.15,0.1,0.1,0.1,0.1
205,1.8,1.83,0.28,0.28,0.2,0.2,0.2,0.175,0.18,0.15,0.15,0.125,0.1,0.1,0.1,0.1,0.1
206,1.93,2,0.28,0.28,0.2,0.2,0.2,0.125,0.12,0.13,0.13,0.125,0.1,0.1,0.1,0.1,0.1
207,2.1,2.13,0.28,0.28,0.2,0.2,0.18,0.125,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
208,2.3,2.35,0.26,0.26,0.2,0.2,0.18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
209,2.6,2.63,0.26,0.26,0.2,0.2,0.18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
210,2.93,2.93,0.26,0.26,0.2,0.2,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
