wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10
190,89.3,1.9,1.6,0.7,0.525,0.525,0.625,0.6,0.6,0.55,0.525,0.5,0.525
191,89.5,1.766666667,1.5,0.65,0.475,0.45,0.525,0.5,0.5,0.475,0.4,0.45,0.45
192,91.3,1.633333333,1.45,0.575,0.425,0.4,0.45,0.4,0.4,0.4,0.35,0.375,0.375
193,91.9,1.6,1.4,0.5,0.35,0.375,0.4,0.4,0.375,0.375,0.3,0.3,0.3
194,93.3,1.533333333,1.375,0.475,0.325,0.3,0.375,0.325,0.3,0.3,0.3,0.3,0.3
195,94.1,1.5,1.35,0.425,0.3,0.3,0.325,0.3,0.3,0.3,0.3,0.3,0.275
196,94.5,1.5,1.325,0.4,0.3,0.275,0.3,0.3,0.3,0.275,0.25,0.25,0.225
197,94.9,1.5,1.3,0.35,0.3,0.225,0.3,0.275,0.275,0.2,0.2,0.225,0.2
198,95.3,1.5,1.3,0.35,0.275,0.2,0.3,0.225,0.2,0.2,0.2,0.2,0.2
199,95.4,1.5,1.3,0.35,0.25,0.2,0.25,0.225,0.2,0.2,0.2,0.2,0.2
200,95.9,1.533333333,1.3,0.325,0.2,0.2,0.225,0.225,0.2,0.2,0.2,0.2,0.2
201,96.9,1.6,1.3,0.3,0.2,0.2,0.225,0.2,0.2,0.2,0.2,0.2,0.2
202,97,1.633333333,1.325,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
203,97.2,1.7,1.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
204,97.3,1.8,1.475,0.3,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.175,0.15
205,97.8,1.9,1.525,0.275,0.2,0.2,0.2,0.2,0.2,0.175,0.175,0.15,0.125
206,97.8,2.033333333,1.675,0.275,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.1
207,97.8,2.266666667,1.8,0.25,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
208,97.7,2.5,2,0.25,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
209,97.6,2.833333333,2.225,0.225,0.2,0.175,0.2,0.2,0.2,0.1,0.1,0.1,0.1
210,97.6,3.2,2.5,0.25,0.175,0.175,0.2,0.2,0.15,0.1,0.1,0.1,0.1
211,97.5,3.6,2.8,0.25,0.175,0.125,0.2,0.175,0.125,0.1,0.1,0.1,0.1
212,97.5,4.033333333,3.15,0.25,0.15,0.125,0.2,0.15,0.125,0.1,0.1,0.1,0.1
213,97.5,4.566666667,3.525,0.25,0.125,0.1,0.2,0.15,0.1,0.1,0.1,0.1,0.1
214,97.6,5.133333333,3.925,0.275,0.1,0.1,0.2,0.15,0.1,0.1,0.1,0.1,0.1
215,97.9,5.433333333,4.05,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
216,98.1,5.9,4.35,0.1,0,0,0,0.025,0,0,0,0,0
217,98.3,6.5,4.8,0.1,0,0,0,0,0,0,0,0,0
218,98.2,7.166666667,5.325,0.025,0,0,0,0,0,0,0,0,0
219,98.5,7.9,5.825,0.025,0,0,0,0,0,0,0,0,0
