wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
190,89.3,1.9,1.6,0.7,0.525,0.525,0.525,0.625,0.6,0.6,0.55,0.525,0.5,0.4,0.4,0.425,0.4,0.4,0.4,0.3,0.3
191,89.5,1.766666667,1.5,0.65,0.45,0.475,0.45,0.525,0.5,0.5,0.475,0.4,0.45,0.35,0.375,0.325,0.325,0.325,0.35,0.225,0.3
192,91.3,1.633333333,1.45,0.575,0.375,0.425,0.4,0.45,0.4,0.4,0.4,0.35,0.375,0.3,0.3,0.3,0.275,0.3,0.3,0.2,0.275
193,91.9,1.6,1.4,0.5,0.3,0.35,0.375,0.4,0.4,0.375,0.375,0.3,0.3,0.275,0.3,0.275,0.225,0.25,0.3,0.2,0.2
194,93.3,1.533333333,1.375,0.475,0.3,0.325,0.3,0.375,0.325,0.3,0.3,0.3,0.3,0.2,0.225,0.25,0.2,0.2,0.25,0.2,0.2
195,94.1,1.5,1.35,0.425,0.275,0.3,0.3,0.325,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
196,94.5,1.5,1.325,0.4,0.225,0.3,0.275,0.3,0.3,0.3,0.275,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0.175
197,94.9,1.5,1.3,0.35,0.2,0.3,0.225,0.3,0.275,0.275,0.2,0.2,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
198,95.3,1.5,1.3,0.35,0.2,0.275,0.2,0.3,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.175,0.175,0.2,0.2,0.1,0.1
199,95.4,1.5,1.3,0.35,0.2,0.25,0.2,0.25,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.2,0.175,0.1,0.1
200,95.9,1.533333333,1.3,0.325,0.2,0.2,0.2,0.225,0.225,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0.2,0.15,0.1,0.1
201,96.9,1.6,1.3,0.3,0.2,0.2,0.2,0.225,0.2,0.2,0.2,0.2,0.2,0.175,0.2,0.175,0.125,0.2,0.125,0.1,0.1
