wavelength,blank,S6 Preheat,S6 Irrad 9,S6 Post irrad Day 1,S6 Post Irrad Day 3,S6 Post Irrad Day 5
190,89.3,1.9,0.3,0.428571429,0.6,0.6
191,89.5,1.766666667,0.3,0.357142857,0.5,0.5
192,91.3,1.633333333,0.275,0.314285714,0.4,0.4
193,91.9,1.6,0.2,0.3,0.3,0.3
194,93.3,1.533333333,0.2,0.285714286,0.3,0.3
195,94.1,1.5,0.2,0.257142857,0.3,0.3
196,94.5,1.5,0.175,0.2,0.2,0.3
197,94.9,1.5,0.1,0.2,0.2,0.3
198,95.3,1.5,0.1,0.2,0.2,0.2
199,95.4,1.5,0.1,0.2,0.2,0.2
200,95.9,1.533333333,0.1,0.2,0.2,0.2
201,96.9,1.6,0.1,0.2,0.2,0.2
202,97,1.633333333,0.1,0.171428571,0.2,0.2
203,97.2,1.7,0.1,0.142857143,0.2,0.2
204,97.3,1.8,0.1,0.142857143,0.2,0.2
205,97.8,1.9,0.1,0.142857143,0.1,0.1
206,97.8,2.033333333,0.1,0.1,0.1,0.1
207,97.8,2.266666667,0.1,0.1,0.1,0.1
208,97.7,2.5,0.1,0.1,0.1,0.1
209,97.6,2.833333333,0.1,0.1,0.1,0.1
210,97.6,3.2,0.1,0.1,0.1,0.1
211,97.5,3.6,0.1,0.1,0.1,0.1
212,97.5,4.033333333,0.1,0.1,0.1,0.1
213,97.5,4.566666667,0.1,0.1,0.1,0.1
214,97.6,5.133333333,0.1,0.1,0.1,0.1
215,97.9,5.433333333,0.1,0.1,0.1,0.1
216,98.1,5.9,0,0,0,0
217,98.3,6.5,0,0,0,0
218,98.2,7.166666667,0,0,0,0
219,98.5,7.9,0,0,0,0
220,98.6,8.6,0,0,0,0
221,98.6,9.4,0,0,0,0
222,98.7,10.1,0,0,0,0
223,98.7,11,0,0,0,0
224,98.6,11.63333333,0.1,0.1,0.1,0.1
225,98.6,12.13333333,0.1,0.1,0.1,0.1
226,98.6,12.53333333,0.1,0.1,0.1,0.1
227,98.7,12.83333333,0.1,0.1,0.1,0.1
228,98.8,12.86666667,0.1,0.1,0.1,0.1
229,98.8,12.73333333,0.1,0.1,0.1,0.1
230,98.9,12.5,0.1,0.1,0.1,0.1
231,99,12.26666667,0.1,0.1,0.1,0.1
232,99,12.06666667,0.1,0.1,0.1,0.1
233,98.9,11.76666667,0.1,0.1,0.1,0.1
234,98.8,11.46666667,0.1,0.1,0.1,0.1
235,98.8,11.2,0.175,0.1,0.1,0.1
236,98.8,10.93333333,0.2,0.1,0.1,0.1
237,98.6,10.63333333,0.2,0.1,0.1,0.1
238,98.5,10.36666667,0.2,0.1,0.1,0.1
239,98.5,10.23333333,0.2,0.1,0.1,0.1
240,98.5,10.16666667,0.2,0.1,0.1,0.1
241,98.6,10.16666667,0.2,0.1,0.1,0.1
242,98.7,10.13333333,0.2,0.1,0.1,0.1
243,99,10.1,0.2,0.1,0.1,0.1
244,98.9,10.1,0.2,0.1,0.1,0.1
245,98.9,10.33333333,0.2,0.1,0.1,0.1
246,98.9,10.83333333,0.2,0.1,0.1,0.1
247,98.9,11.23333333,0.3,0.1,0.1,0.1
248,99,11.6,0.3,0.1,0.1,0.2
249,99.1,11.86666667,0.3,0.1,0.1,0.2
250,99.1,12.33333333,0.3,0.1,0.2,0.2
251,99,13.1,0.3,0.157142857,0.2,0.3
252,98.8,13.93333333,0.3,0.2,0.2,0.3
253,98.8,14.7,0.4,0.2,0.3,0.4
254,98.8,15.4,0.4,0.271428571,0.4,0.5
255,98.8,16.13333333,0.4,0.3,0.4,0.6
256,98.8,17,0.5,0.385714286,0.5,0.7
257,98.7,17.9,0.6,0.471428571,0.6,0.8
258,98.6,18.9,0.65,0.571428571,0.8,1
259,98.6,19.8,0.75,0.671428571,0.9,1.2
