wavelength,Ud Qb Fibers
190,0.278
191,0.2745
192,0.27
193,0.2685
194,0.268
195,0.268
196,0.26825
197,0.2685
198,0.2685
199,0.26925
200,0.269
201,0.268
202,0.267
203,0.2665
204,0.26625
205,0.266
206,0.26375000000000004
207,0.26
208,0.25475000000000003
209,0.24975
210,0.24875
211,0.24875
212,0.24875
213,0.24625
214,0.24125
215,0.41474999999999995
216,0.753
217,1.09175
218,1.4295
219,1.7685
220,2.10675
221,2.4450000000000003
222,2.783
223,0.6964999999999999
224,0.43275
225,0.35025
226,0.3095
227,0.27875000000000005
228,0.254
229,0.2425
230,0.24
231,0.23825
232,0.235
233,0.2305
234,0.22875
235,0.22825
236,0.22775
237,0.228
238,0.2285
239,0.2285
240,0.2285
241,0.22825
242,0.22675
243,0.22625
244,0.226
245,0.2245
246,0.22375
247,0.224
248,0.228
249,0.23475000000000001
250,0.23875
251,0.236
252,0.22325
253,0.207
254,0.20375
255,0.208
256,0.20375
257,0.19425000000000003
258,0.194
259,0.20174999999999998
260,0.20675
261,0.20725
262,0.21825
263,0.23825
264,0.25025
265,0.2505
266,0.2415
267,0.23025
268,0.222
269,0.21625
270,0.21275
271,0.2125
272,0.2125
273,0.212
274,0.209
275,0.20425
276,0.19975000000000004
277,0.1955
278,0.1915
279,0.18775000000000003
280,0.1845
281,0.18175000000000002
282,0.17924999999999996
283,0.179
284,0.18
285,0.18274999999999997
286,0.18624999999999997
287,0.18874999999999997
288,0.189
289,0.18775000000000003
290,0.18625000000000003
291,0.188
292,0.188
293,0.185
294,0.18375000000000002
295,0.1825
296,0.1805
297,0.17625000000000002
298,0.17075
299,0.1615
300,0.14475
301,0.1395
302,0.14725
303,0.156
304,0.15725
305,0.151
306,0.151
307,0.156
308,0.157
309,0.15775
310,0.1655
311,0.17149999999999999
312,0.17149999999999999
313,0.1625
314,0.1555
315,0.156
316,0.15875
317,0.1625
318,0.163
319,0.161
320,0.15925
321,0.16275
322,0.16875
323,0.17475000000000002
324,0.17825000000000002
325,0.17825000000000002
326,0.17724999999999996
327,0.178
328,0.17925000000000002
329,0.18025000000000002
330,0.18174999999999997
331,0.18374999999999997
332,0.18625000000000003
333,0.1885
334,0.19075000000000003
335,0.194
336,0.198
337,0.19975000000000004
338,0.19774999999999998
339,0.19275000000000003
340,0.18825000000000003
341,0.18875000000000003
342,0.192
343,0.1935
344,0.1935
345,0.19275000000000003
346,0.19
347,0.1885
348,0.18675000000000003
349,0.18324999999999997
350,0.18225000000000002
351,0.18424999999999997
352,0.18875000000000003
353,0.1955
354,0.201
355,0.20525
356,0.20675
357,0.207
358,0.20675
359,0.20675
360,0.20775
361,0.21025
362,0.2125
363,0.214
364,0.21375
365,0.21375
366,0.21375
367,0.215
368,0.21675
369,0.2165
370,0.2115
371,0.20425
372,0.19424999999999998
373,0.18424999999999997
374,0.181
375,0.1815
376,0.184
377,0.18525000000000003
378,0.18525000000000003
379,0.18174999999999997
380,0.17424999999999996
381,0.1665
382,0.16275
383,0.1645
384,0.16575
385,0.16575
386,0.1615
387,0.159
388,0.16
389,0.1625
390,0.15025
391,0.14075000000000001
392,0.13725
393,0.13625
394,0.136
395,0.13575
396,0.13575
397,0.13575
398,0.13575
399,0.13775
400,0.13875
401,0.14075000000000001
402,0.14150000000000001
403,0.13975
404,0.13575
405,0.13325
406,0.1325
407,0.13275
408,0.13425
409,0.13625
410,0.13775
411,0.13775
412,0.13625
413,0.13575
414,0.13575
415,0.13575
416,0.13575
417,0.13575
418,0.13575
419,0.1365
420,0.13675
421,0.137
422,0.1375
423,0.13875
424,0.13875
425,0.13925
426,0.1395
427,0.14025
428,0.1405
429,0.1405
430,0.13975
431,0.139
432,0.13875
433,0.13875
434,0.14125000000000001
435,0.14475
436,0.14625
437,0.14625
438,0.14300000000000002
439,0.1375
440,0.13325
441,0.133
442,0.134
443,0.13525
444,0.13675
445,0.13925
446,0.14
447,0.14025
448,0.1405
449,0.14025
450,0.13925
451,0.13875
452,0.13875
453,0.139
454,0.13925
455,0.14
456,0.14100000000000001
457,0.14375000000000002
458,0.1455
459,0.145
460,0.14350000000000002
461,0.14075000000000001
462,0.137
463,0.13575
464,0.13575
465,0.13575
466,0.13725
467,0.13825
468,0.1385
469,0.1395
470,0.13925
471,0.13975
472,0.13975
473,0.1395
474,0.14
475,0.14100000000000001
476,0.14250000000000002
477,0.1455
478,0.149
479,0.1505
480,0.148
481,0.14375
482,0.13575
483,0.131
484,0.131
485,0.1325
486,0.13475
487,0.13675
488,0.13925
489,0.14100000000000001
490,0.14200000000000002
491,0.14300000000000002
492,0.14300000000000002
493,0.1435
494,0.1445
495,0.146
496,0.147
497,0.148
498,0.148
499,0.14675
500,0.14625
501,0.14475
502,0.1455
503,0.1465
504,0.1485
505,0.1515
506,0.1535
507,0.154
508,0.1545
509,0.1545
510,0.155
511,0.15475
512,0.1545
513,0.15425
514,0.1535
515,0.15275
516,0.15275
517,0.151
518,0.1495
519,0.14775
520,0.147
521,0.147
522,0.14725
523,0.1475
524,0.148
525,0.148
526,0.1485
527,0.1485
528,0.149
529,0.14925
530,0.149
531,0.149
532,0.149
533,0.15
534,0.15
535,0.15025
536,0.15125
537,0.15225
538,0.15275
539,0.15325
540,0.1535
541,0.154
542,0.15525
543,0.15525
544,0.15525
545,0.15525
546,0.15675
547,0.15725
548,0.16025
549,0.1635
550,0.163
551,0.16025
552,0.1585
553,0.1535
554,0.1505
555,0.1515
556,0.1535
557,0.15475
558,0.1595
559,0.16025
560,0.152
561,0.14625
562,0.14475000000000002
563,0.14450000000000002
564,0.14225000000000002
565,0.14300000000000002
566,0.14350000000000002
567,0.14250000000000002
568,0.14325000000000002
569,0.14300000000000002
570,0.14275000000000002
571,0.14425000000000002
572,0.1465
573,0.1465
574,0.14725
575,0.14825
576,0.152
577,0.15525
578,0.15675
579,0.1575
580,0.15775
581,0.15725
582,0.1575
583,0.15775
584,0.15875
585,0.15875
586,0.15675
587,0.15375
588,0.1505
589,0.14675
590,0.14275000000000002
591,0.14100000000000001
592,0.1395
593,0.13725
594,0.13675
595,0.13375
596,0.13175
597,0.1305
598,0.13
599,0.12975
600,0.12925
601,0.129
602,0.12925
603,0.12925
604,0.129
605,0.13
606,0.131
607,0.13325
608,0.1355
609,0.13925
610,0.14475
611,0.164
612,0.1865
613,0.17824999999999996
614,0.155
615,0.13825
616,0.1235
617,0.12
618,0.119
619,0.11525
620,0.11525
621,0.11375
622,0.109
623,0.11575
624,0.138
625,0.14425
626,0.137
627,0.131
628,0.12475
629,0.11699999999999999
630,0.11375
631,0.11674999999999999
632,0.12275
633,0.12375
634,0.12425
635,0.125
636,0.12525
637,0.12525
638,0.12675
639,0.128
640,0.129
641,0.12975
642,0.13
643,0.131
644,0.1335
645,0.13425
646,0.13425
647,0.13425
648,0.135
649,0.13575
650,0.1375
651,0.139
652,0.13875
653,0.13925
654,0.14
655,0.1405
656,0.14125000000000001
657,0.14150000000000001
658,0.14150000000000001
659,0.14100000000000001
660,0.14100000000000001
661,0.14075000000000001
662,0.1405
663,0.14075000000000001
664,0.1405
665,0.1405
666,0.14100000000000001
667,0.14100000000000001
668,0.14100000000000001
669,0.14
670,0.14075000000000001
671,0.1405
672,0.1405
673,0.14125000000000001
674,0.1425
675,0.14425
676,0.1505
677,0.1635
678,0.188
679,0.1985
680,0.17225000000000001
681,0.1435
682,0.133
683,0.12675
684,0.1125
685,0.099
686,0.099
687,0.107
688,0.11625
689,0.12275
690,0.12575
691,0.1305
692,0.13625
693,0.146
694,0.16525
695,0.1625
696,0.14250000000000002
697,0.1345
698,0.12925
699,0.121
700,0.1155
701,0.11525
702,0.12075
703,0.1305
704,0.15325
705,0.17374999999999996
706,0.1555
707,0.13225
708,0.128
709,0.1215
710,0.1105
711,0.10825
712,0.116
713,0.12525
714,0.1325
715,0.13925
716,0.14875
717,0.17625000000000002
718,0.19025000000000003
719,0.163
720,0.14225000000000002
721,0.13125
722,0.123
723,0.10775
724,0.103
725,0.109
726,0.11575
727,0.12075
728,0.1225
729,0.12575
730,0.12825
731,0.13125
732,0.1325
733,0.13575
734,0.1365
735,0.1375
736,0.138
737,0.14
738,0.142
739,0.14375
740,0.1485
741,0.15725
742,0.1615
743,0.15975
744,0.1535
745,0.15025
746,0.146
747,0.14150000000000001
748,0.14
749,0.14075000000000001
750,0.14275
751,0.14225
752,0.14225
753,0.1425
754,0.14375
755,0.14525
756,0.14825
757,0.1485
758,0.14525
759,0.14125000000000001
760,0.13925
761,0.138
762,0.13525
763,0.13425
764,0.1345
765,0.13525
766,0.13725
767,0.13775
768,0.1385
769,0.139
770,0.13925
771,0.14
772,0.143
773,0.14425
774,0.14475
775,0.1485
776,0.15
777,0.15125
778,0.151
779,0.15075
780,0.1505
781,0.14925
782,0.14575
783,0.145
784,0.145
785,0.147
786,0.15
787,0.16125
788,0.18324999999999997
789,0.20525
790,0.18525000000000003
791,0.14625
792,0.13874999999999998
793,0.123
794,0.11449999999999999
795,0.101
796,0.10275000000000001
797,0.11649999999999999
798,0.12925
799,0.14150000000000001
800,0.14575
801,0.14675
802,0.1565
803,0.18925000000000003
804,0.21425
805,0.18325000000000002
806,0.14525
807,0.135
808,0.12975
809,0.11674999999999999
810,0.1045
811,0.1025
812,0.10725
813,0.11649999999999999
814,0.12425
815,0.13025
816,0.13625
817,0.13875
818,0.14250000000000002
819,0.14225000000000002
820,0.14150000000000001
821,0.14175000000000001
822,0.14200000000000002
823,0.1435
824,0.147
825,0.1515
826,0.15575
827,0.1555
828,0.153
829,0.14825
830,0.146
831,0.14425
832,0.14075000000000001
833,0.14
834,0.13925
835,0.13925
836,0.13875
837,0.1385
838,0.1395
839,0.13975
840,0.13975
841,0.14025
842,0.14125000000000001
843,0.14150000000000001
844,0.14375000000000002
845,0.14425
846,0.14425
847,0.14475
848,0.14525
849,0.14525
850,0.14475
851,0.1455
852,0.14725
853,0.147
854,0.147
855,0.1475
856,0.14725
857,0.1475
858,0.14825
859,0.1485
860,0.14825
861,0.1475
862,0.1475
863,0.1465
864,0.14625
865,0.1465
866,0.14775
867,0.1485
868,0.1485
869,0.1505
870,0.15125
871,0.15075
872,0.15175
873,0.15375
874,0.1535
875,0.15425
876,0.15
877,0.149
878,0.1485
879,0.147
880,0.14875
881,0.14925
882,0.149
883,0.15025
884,0.15225
885,0.15125
886,0.1515
887,0.1545
888,0.1565
889,0.157
890,0.1565
891,0.1575
892,0.16
893,0.16
894,0.16025
895,0.161
896,0.1605
897,0.1625
898,0.1625
899,0.16699999999999998
900,0.16349999999999998
901,0.16
902,0.16475
903,0.1695
904,0.16775
905,0.17124999999999996
906,0.172
907,0.17174999999999996
908,0.173
909,0.17424999999999996
910,0.1765
911,0.185
912,0.17775000000000002
913,0.1745
914,0.17425000000000002
915,0.16599999999999998
916,0.16325
917,0.161
918,0.1635
919,0.1655
920,0.16799999999999998
921,0.17075
922,0.1725
923,0.17275000000000001
924,0.17825000000000002
925,0.174
926,0.17875000000000002
927,0.18
928,0.17675000000000002
929,0.1765
930,0.17874999999999996
931,0.18274999999999997
932,0.1855
933,0.18974999999999997
934,0.1935
935,0.19524999999999998
936,0.19849999999999998
937,0.19924999999999998
938,0.19674999999999998
939,0.19775
940,0.19924999999999998
941,0.19924999999999998
942,0.20049999999999998
943,0.19949999999999998
944,0.19899999999999998
945,0.19124999999999998
946,0.186
947,0.188
948,0.18824999999999997
949,0.188
950,0.19074999999999998
951,0.19424999999999998
952,0.19575000000000004
953,0.19875000000000004
954,0.20975
955,0.2085
956,0.208
957,0.21275
958,0.21575
959,0.216
960,0.21675
961,0.217
962,0.21825
963,0.21975
964,0.2205
965,0.2225
966,0.22475
967,0.22575
968,0.22675
969,0.2295
970,0.23324999999999999
971,0.23399999999999999
972,0.23399999999999999
973,0.2345
974,0.24175
975,0.24025
976,0.23975
977,0.24175
978,0.24325
979,0.24825
980,0.24975
981,0.25
982,0.25125
983,0.2585
984,0.25925
985,0.26225
986,0.267
987,0.26525
988,0.2735
989,0.275
990,0.277
991,0.28200000000000003
992,0.285
993,0.28975
994,0.29525
995,0.29875
996,0.3015
997,0.30275
998,0.30825
