Ud Qb Fibers,,
Ud Qb Fibers 1,"Date : 29/10/2021, 14:40:31",
Wavelength (nm),ABS,%T
190,0.277,52.9
191,0.273,53.4
192,0.268,53.9
193,0.266,54.1
194,0.266,54.2
195,0.266,54.2
196,0.267,54.1
197,0.267,54.1
198,0.267,54
199,0.267,54
200,0.267,54
201,0.266,54.2
202,0.264,54.4
203,0.264,54.4
204,0.264,54.5
205,0.263,54.5
206,0.261,54.8
207,0.257,55.3
208,0.252,56
209,0.247,56.6
210,0.246,56.7
211,0.246,56.7
212,0.246,56.7
213,0.244,57.1
214,0.239,57.7
215,0.412,38.7
216,0.75,17.8
217,1.089,8.2
218,1.427,3.7
219,1.766,1.7
220,2.104,0.8
221,2.443,0.4
222,2.781,0.2
223,0.693,20.3
224,0.429,37.2
225,0.346,45
226,0.306,49.5
227,0.275,53
228,0.251,56.2
229,0.239,57.7
230,0.236,58
231,0.234,58.3
232,0.23,58.8
233,0.226,59.4
234,0.224,59.6
235,0.224,59.8
236,0.223,59.8
237,0.223,59.8
238,0.224,59.8
239,0.224,59.7
240,0.224,59.7
241,0.223,59.9
242,0.222,60
243,0.221,60.1
244,0.221,60.1
245,0.219,60.4
246,0.219,60.5
247,0.219,60.4
248,0.223,59.9
249,0.23,58.9
250,0.234,58.4
251,0.231,58.7
252,0.219,60.4
253,0.203,62.7
254,0.2,63.1
255,0.204,62.5
256,0.2,63.1
257,0.191,64.4
258,0.19,64.6
259,0.197,63.5
260,0.202,62.8
261,0.203,62.6
262,0.214,61
263,0.234,58.3
264,0.246,56.8
265,0.246,56.8
266,0.236,58
267,0.225,59.5
268,0.217,60.7
269,0.211,61.5
270,0.207,62
271,0.207,62.1
272,0.207,62.1
273,0.206,62.2
274,0.204,62.5
275,0.199,63.2
276,0.195,63.8
277,0.191,64.5
278,0.187,65
279,0.183,65.5
280,0.18,66.1
281,0.177,66.5
282,0.175,66.9
283,0.175,66.9
284,0.176,66.7
285,0.178,66.3
286,0.182,65.8
287,0.185,65.4
288,0.185,65.4
289,0.183,65.6
290,0.182,65.7
291,0.184,65.5
292,0.184,65.5
293,0.181,65.9
294,0.179,66.3
295,0.178,66.4
296,0.177,66.6
297,0.172,67.3
298,0.166,68.2
299,0.158,69.5
300,0.142,72.2
301,0.136,73.1
302,0.143,72
303,0.151,70.6
304,0.153,70.3
305,0.147,71.2
306,0.147,71.3
307,0.152,70.4
308,0.153,70.3
309,0.154,70.1
310,0.162,68.9
311,0.167,68
312,0.167,68
313,0.158,69.4
314,0.151,70.6
315,0.152,70.4
316,0.155,69.9
317,0.159,69.3
318,0.159,69.3
319,0.157,69.7
320,0.155,70
321,0.158,69.5
322,0.164,68.5
323,0.171,67.5
324,0.174,67
325,0.174,66.9
326,0.173,67.1
327,0.174,67
328,0.176,66.7
329,0.176,66.6
330,0.178,66.4
331,0.18,66.1
332,0.182,65.7
333,0.184,65.4
334,0.187,65
335,0.19,64.6
336,0.194,63.9
